NO_OF_FRAMES	779
NO_OF_CAMERAS	16
NO_OF_MARKERS	71
FREQUENCY	400
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-08-07, 12:56:57.763	3555.36470950
DATA_INCLUDED	3D
MARKER_NAMES	R_illiac	R_troch	R_asis	L_illiac	L_troch	L_asis	R_PSIS	Sacrum	L_PSIS	R_thigh1	R_thigh2	R_thigh3	R_thigh4	RL_knee	RM_Knee	R_shank1	R_shank2	R_shank3	R_shank4	R_heel	RL_ankle	RM_ankle	R_Metatarsal5	R_Metatarsal1	L_thigh1	L_thigh2	L_thigh3	L_thigh4	LL_knee	LM_Knee	L_shank1	L_shank2	L_shank3	L_shank4	L_heel	LL_ankle	LM_Ankle	L_Metatarsal5	L_Metatarsal1	Back_down	Neck	Back_right	Back_left	Head_up	Head_front	Head_left	Head_right	R_shoulder	R_humerus1	R_humerus2	R_humerus3	Rl_elbow	RM_elbow	R_radius1	R_radius2	R_radius3	RL_wrist	Rm_wrist	R_hand	L_shoulder	L_humerus1	L_humerus2	L_humerus3	LL_elbow	LM_elbow	L_radius1	L_radius2	L_radius3	LL_wrist	Lm_wrist	L_hand
R_illiac X	R_illiac Y	R_illiac Z	R_troch X	R_troch Y	R_troch Z	R_asis X	R_asis Y	R_asis Z	L_illiac X	L_illiac Y	L_illiac Z	L_troch X	L_troch Y	L_troch Z	L_asis X	L_asis Y	L_asis Z	R_PSIS X	R_PSIS Y	R_PSIS Z	Sacrum X	Sacrum Y	Sacrum Z	L_PSIS X	L_PSIS Y	L_PSIS Z	R_thigh1 X	R_thigh1 Y	R_thigh1 Z	R_thigh2 X	R_thigh2 Y	R_thigh2 Z	R_thigh3 X	R_thigh3 Y	R_thigh3 Z	R_thigh4 X	R_thigh4 Y	R_thigh4 Z	RL_knee X	RL_knee Y	RL_knee Z	RM_Knee X	RM_Knee Y	RM_Knee Z	R_shank1 X	R_shank1 Y	R_shank1 Z	R_shank2 X	R_shank2 Y	R_shank2 Z	R_shank3 X	R_shank3 Y	R_shank3 Z	R_shank4 X	R_shank4 Y	R_shank4 Z	R_heel X	R_heel Y	R_heel Z	RL_ankle X	RL_ankle Y	RL_ankle Z	RM_ankle X	RM_ankle Y	RM_ankle Z	R_Metatarsal5 X	R_Metatarsal5 Y	R_Metatarsal5 Z	R_Metatarsal1 X	R_Metatarsal1 Y	R_Metatarsal1 Z	L_thigh1 X	L_thigh1 Y	L_thigh1 Z	L_thigh2 X	L_thigh2 Y	L_thigh2 Z	L_thigh3 X	L_thigh3 Y	L_thigh3 Z	L_thigh4 X	L_thigh4 Y	L_thigh4 Z	LL_knee X	LL_knee Y	LL_knee Z	LM_Knee X	LM_Knee Y	LM_Knee Z	L_shank1 X	L_shank1 Y	L_shank1 Z	L_shank2 X	L_shank2 Y	L_shank2 Z	L_shank3 X	L_shank3 Y	L_shank3 Z	L_shank4 X	L_shank4 Y	L_shank4 Z	L_heel X	L_heel Y	L_heel Z	LL_ankle X	LL_ankle Y	LL_ankle Z	LM_Ankle X	LM_Ankle Y	LM_Ankle Z	L_Metatarsal5 X	L_Metatarsal5 Y	L_Metatarsal5 Z	L_Metatarsal1 X	L_Metatarsal1 Y	L_Metatarsal1 Z	Back_down X	Back_down Y	Back_down Z	Neck X	Neck Y	Neck Z	Back_right X	Back_right Y	Back_right Z	Back_left X	Back_left Y	Back_left Z	Head_up X	Head_up Y	Head_up Z	Head_front X	Head_front Y	Head_front Z	Head_left X	Head_left Y	Head_left Z	Head_right X	Head_right Y	Head_right Z	R_shoulder X	R_shoulder Y	R_shoulder Z	R_humerus1 X	R_humerus1 Y	R_humerus1 Z	R_humerus2 X	R_humerus2 Y	R_humerus2 Z	R_humerus3 X	R_humerus3 Y	R_humerus3 Z	Rl_elbow X	Rl_elbow Y	Rl_elbow Z	RM_elbow X	RM_elbow Y	RM_elbow Z	R_radius1 X	R_radius1 Y	R_radius1 Z	R_radius2 X	R_radius2 Y	R_radius2 Z	R_radius3 X	R_radius3 Y	R_radius3 Z	RL_wrist X	RL_wrist Y	RL_wrist Z	Rm_wrist X	Rm_wrist Y	Rm_wrist Z	R_hand X	R_hand Y	R_hand Z	L_shoulder X	L_shoulder Y	L_shoulder Z	L_humerus1 X	L_humerus1 Y	L_humerus1 Z	L_humerus2 X	L_humerus2 Y	L_humerus2 Z	L_humerus3 X	L_humerus3 Y	L_humerus3 Z	LL_elbow X	LL_elbow Y	LL_elbow Z	LM_elbow X	LM_elbow Y	LM_elbow Z	L_radius1 X	L_radius1 Y	L_radius1 Z	L_radius2 X	L_radius2 Y	L_radius2 Z	L_radius3 X	L_radius3 Y	L_radius3 Z	LL_wrist X	LL_wrist Y	LL_wrist Z	Lm_wrist X	Lm_wrist Y	Lm_wrist Z	L_hand X	L_hand Y	L_hand Z	
710.675	540.553	1206.484	735.473	559.526	1025.512	624.967	506.947	1151.583	712.995	201.841	1190.012	710.311	190.290	1047.683	631.301	237.741	1138.986	819.265	428.229	1176.853	827.180	370.391	1196.007	823.060	315.574	1171.865	755.964	557.186	904.488	681.124	571.181	909.472	681.671	566.128	784.575	748.306	553.543	780.643	700.795	537.013	615.367	712.431	404.000	598.873	788.366	545.508	493.715	717.365	544.784	486.648	737.499	543.042	377.956	796.553	542.728	387.906	853.161	475.785	175.987	810.623	517.239	202.332	773.544	433.111	203.470	641.882	558.643	135.502	626.022	465.249	140.215	728.546	197.040	879.139	649.993	201.915	882.963	646.829	211.360	761.228	706.888	205.335	753.348	691.693	224.600	610.500	694.669	352.238	575.271	687.180	243.957	453.674	757.623	210.467	457.458	707.658	251.654	347.745	765.494	229.272	349.882	849.727	291.579	165.353	794.590	252.437	197.638	765.170	346.148	208.122	632.132	235.734	138.782	616.471	314.298	145.635	822.470	369.888	1328.042	781.963	364.103	1655.573	843.160	449.990	1493.517	849.464	297.273	1484.042	619.417	349.897	1916.555	506.772	319.052	1814.499	629.980	250.481	1807.143	584.774	442.033	1820.082	700.783	547.831	1630.266	661.669	605.083	1432.076	784.711	644.292	1465.120	737.420	647.325	1369.908	749.954	669.221	1306.414	773.770	566.236	1278.480	635.782	650.618	1224.015	754.637	701.304	1194.776	674.272	675.213	1133.015	617.032	601.664	1072.508	653.308	679.893	1048.411	595.107	666.553	1014.523	718.204	183.212	1636.589	664.450	142.179	1438.397	783.343	85.866	1440.477	723.634	105.882	1358.790	751.839	81.119	1274.313	765.718	191.605	1264.942	655.187	161.438	1224.320	703.799	50.334	1211.863	660.857	107.117	1137.594	612.447	133.805	1039.420	682.398	87.209	1008.755	619.995	87.593	977.544
710.614	540.355	1206.504	735.533	559.406	1025.613	624.921	506.786	1151.586	712.820	201.656	1189.964	710.119	190.128	1047.665	631.027	237.545	1138.943	819.138	427.975	1176.853	826.933	369.940	1196.204	822.921	315.434	1171.681	755.952	557.046	904.541	681.110	571.068	909.500	681.662	566.022	784.594	748.282	553.429	780.675	700.698	536.927	615.357	712.296	403.921	598.835	788.310	545.398	493.721	717.309	544.714	486.652	737.457	542.983	377.960	796.531	542.667	387.961	853.161	475.781	175.993	810.676	517.239	202.378	773.534	433.070	203.462	641.890	558.651	135.515	626.047	465.265	140.235	728.447	196.942	879.096	649.742	201.774	882.899	646.657	211.280	761.194	706.743	205.274	753.294	691.551	224.559	610.473	694.613	352.186	575.280	687.089	243.961	453.604	757.490	210.425	457.423	707.589	251.647	347.696	765.447	229.258	349.838	849.758	291.589	165.319	794.626	252.464	197.624	765.154	346.151	208.069	632.147	235.729	138.778	616.501	314.298	145.608	822.337	369.582	1328.020	781.835	363.820	1655.575	843.030	449.756	1493.460	849.311	296.980	1484.005	619.379	349.593	1916.530	506.671	318.823	1814.484	629.890	250.186	1807.119	584.734	441.760	1820.089	700.672	547.562	1630.293	661.573	604.834	1432.095	784.603	644.011	1465.171	737.356	647.105	1369.944	749.877	669.027	1306.471	773.716	566.024	1278.554	635.720	650.459	1224.002	754.561	701.131	1194.788	674.277	675.079	1133.009	616.983	601.556	1072.486	653.329	679.787	1048.430	595.116	666.467	1014.557	718.037	182.949	1636.555	664.245	141.914	1438.368	783.159	85.494	1440.519	723.457	105.650	1358.724	751.641	80.869	1274.289	765.384	191.278	1264.870	655.049	161.225	1224.273	703.602	50.121	1211.824	660.685	106.925	1137.531	612.274	133.658	1039.368	682.217	87.047	1008.735	619.791	87.445	977.482
710.566	540.155	1206.515	735.552	559.249	1025.620	624.855	506.629	1151.567	712.626	201.381	1189.860	709.927	189.951	1047.664	630.820	237.385	1138.882	819.061	427.743	1176.847	826.786	369.680	1196.200	822.782	315.180	1171.660	755.890	556.841	904.475	681.087	570.926	909.505	681.620	565.916	784.602	748.245	553.289	780.652	700.626	536.844	615.354	712.144	403.823	598.809	788.273	545.304	493.756	717.229	544.646	486.669	737.437	542.938	377.979	796.553	542.678	388.203	853.165	475.774	175.987	810.711	517.201	202.381	773.538	433.057	203.439	641.883	558.655	135.526	626.041	465.266	140.237	728.385	196.847	878.949	649.559	201.640	882.819	646.524	211.211	761.147	706.511	205.150	753.279	691.389	224.496	610.439	694.523	352.124	575.237	686.989	243.949	453.575	757.387	210.379	457.402	707.526	251.653	347.659	765.349	229.222	349.829	849.759	291.568	165.282	794.620	252.450	197.588	765.159	346.159	208.076	632.153	235.726	138.799	616.459	314.305	145.636	822.179	369.279	1327.980	781.710	363.523	1655.503	842.908	449.486	1493.466	849.176	296.671	1483.961	619.342	349.292	1916.497	506.585	318.527	1814.530	629.794	249.939	1807.060	584.682	441.481	1820.088	700.574	547.313	1630.353	661.423	604.596	1432.174	784.501	643.779	1465.222	737.267	646.885	1370.007	749.795	668.818	1306.512	773.603	565.797	1278.565	635.585	650.291	1224.142	754.528	700.952	1194.891	674.278	674.951	1133.031	616.967	601.430	1072.484	653.349	679.666	1048.438	595.114	666.368	1014.547	717.886	182.678	1636.517	664.045	141.649	1438.319	782.973	85.224	1440.457	723.284	105.403	1358.693	751.449	80.608	1274.246	765.220	191.053	1264.890	654.880	160.977	1224.176	703.407	49.893	1211.758	660.508	106.719	1137.493	612.078	133.471	1039.354	682.021	86.860	1008.649	619.591	87.263	977.444
710.529	539.959	1206.537	735.486	559.046	1025.586	624.768	506.442	1151.574	712.505	201.189	1189.778	709.614	189.808	1047.484	630.579	237.211	1138.853	818.949	427.525	1176.856	826.659	369.408	1196.161	822.628	314.927	1171.632	755.876	556.689	904.587	681.020	570.774	909.480	681.601	565.808	784.591	748.235	553.149	780.677	700.543	536.763	615.354	712.034	403.737	598.778	788.184	545.214	493.756	717.161	544.565	486.656	737.390	542.888	377.963	796.508	542.612	388.224	853.155	475.772	176.006	810.761	517.209	202.420	773.563	433.046	203.458	641.886	558.638	135.529	626.060	465.256	140.234	728.035	196.686	878.985	649.101	201.588	882.591	646.346	211.141	761.090	706.356	205.080	753.255	691.238	224.433	610.386	694.397	352.083	575.238	686.897	243.927	453.516	757.237	210.336	457.370	707.463	251.630	347.634	765.332	229.215	349.771	849.766	291.592	165.276	794.636	252.436	197.595	765.165	346.184	207.981	632.157	235.739	138.794	616.490	314.308	145.671	822.048	369.005	1327.943	781.611	363.229	1655.484	842.832	449.233	1493.477	849.027	296.417	1483.890	619.290	348.997	1916.501	506.524	318.274	1814.563	629.690	249.632	1807.039	584.659	441.202	1820.112	700.482	547.067	1630.356	661.291	604.364	1432.240	784.407	643.519	1465.264	737.155	646.644	1370.039	749.718	668.606	1306.618	773.512	565.579	1278.600	635.547	650.092	1224.155	754.458	700.795	1194.973	674.266	674.798	1133.076	616.943	601.319	1072.477	653.374	679.570	1048.479	595.114	666.249	1014.558	717.732	182.421	1636.480	663.859	141.397	1438.249	782.833	84.964	1440.440	723.119	105.159	1358.630	751.262	80.365	1274.167	764.990	190.783	1264.770	654.704	160.774	1224.122	703.216	49.669	1211.693	660.348	106.516	1137.396	611.925	133.300	1039.294	681.845	86.657	1008.619	619.384	87.099	977.386
710.478	539.762	1206.562	735.449	558.866	1025.612	624.698	506.294	1151.567	712.252	200.966	1189.741	709.420	189.658	1047.411	630.336	237.027	1138.807	818.846	427.266	1176.849	826.547	369.171	1196.105	822.440	314.653	1171.608	755.891	556.548	904.595	680.991	570.612	909.460	681.594	565.703	784.595	748.206	552.998	780.663	700.452	536.659	615.316	711.900	403.638	598.764	788.113	545.087	493.759	717.099	544.496	486.658	737.360	542.831	377.962	796.454	542.525	388.201	853.175	475.759	175.986	810.774	517.179	202.434	773.551	433.025	203.455	641.900	558.634	135.533	626.045	465.261	140.252	727.931	196.550	878.910	649.110	201.354	882.521	646.191	211.078	761.067	706.200	205.014	753.219	691.091	224.380	610.367	694.311	352.035	575.204	686.786	243.924	453.442	757.844	210.846	457.137	707.409	251.628	347.575	765.251	229.193	349.747	849.777	291.568	165.248	794.638	252.423	197.588	765.188	346.182	207.971	632.153	235.731	138.814	616.505	314.311	145.666	821.903	368.726	1327.897	781.502	362.944	1655.463	842.724	448.967	1493.476	848.886	296.121	1483.870	619.277	348.707	1916.505	506.431	317.989	1814.609	629.606	249.330	1806.994	584.607	440.903	1820.108	700.365	546.801	1630.352	661.197	604.135	1432.270	784.425	643.189	1465.217	737.055	646.425	1370.101	749.648	668.389	1306.638	773.413	565.366	1278.608	635.486	649.924	1224.163	754.453	700.639	1195.077	674.246	674.660	1133.105	616.936	601.208	1072.469	653.405	679.456	1048.498	595.146	666.160	1014.553	717.549	182.156	1636.448	663.723	141.145	1438.211	782.625	84.708	1440.356	722.943	104.889	1358.589	751.084	80.111	1274.133	765.049	190.657	1264.755	654.544	160.548	1224.111	702.999	49.420	1211.630	660.144	106.300	1137.385	611.727	133.113	1039.276	681.658	86.492	1008.600	619.174	86.912	977.363
710.421	539.571	1206.562	735.356	558.661	1025.571	624.637	506.120	1151.571	712.081	200.754	1189.651	709.125	189.473	1047.242	630.152	236.901	1138.780	818.724	427.010	1176.834	826.403	368.937	1196.090	822.254	314.381	1171.582	755.819	556.337	904.543	680.938	570.463	909.466	681.542	565.594	784.611	748.179	552.860	780.658	700.372	536.581	615.311	711.735	403.553	598.725	788.045	544.993	493.778	717.031	544.414	486.661	737.306	542.775	377.976	796.428	542.445	388.222	853.170	475.763	175.999	810.828	517.174	202.474	773.547	433.020	203.445	641.890	558.622	135.559	626.064	465.247	140.246	727.843	196.505	878.887	648.645	201.290	882.281	646.026	211.008	761.001	706.057	204.931	753.162	690.922	224.305	610.311	694.237	351.976	575.194	686.719	243.900	453.398	757.054	210.273	457.277	707.340	251.631	347.544	765.136	229.138	349.723	849.807	291.524	165.284	794.654	252.428	197.555	765.202	346.186	208.017	632.178	235.737	138.818	616.510	314.326	145.674	821.787	368.447	1327.891	781.392	362.646	1655.435	842.627	448.704	1493.439	848.713	295.851	1483.785	619.256	348.381	1916.557	506.326	317.726	1814.640	629.463	249.022	1806.970	584.569	440.616	1820.127	700.255	546.538	1630.376	661.027	603.884	1432.317	784.350	642.920	1465.279	737.011	646.200	1370.145	749.611	668.175	1306.688	773.346	565.176	1278.652	635.467	649.792	1224.258	754.439	700.466	1195.191	674.239	674.510	1133.131	616.908	601.098	1072.440	653.405	679.325	1048.593	595.158	666.035	1014.540	717.373	181.891	1636.416	663.562	140.919	1438.086	782.529	84.569	1440.519	722.740	104.623	1358.551	750.900	79.878	1274.075	764.950	190.406	1264.717	654.393	160.344	1224.072	702.811	49.198	1211.568	659.959	106.107	1137.322	611.564	132.936	1039.214	681.445	86.280	1008.554	618.988	86.731	977.300
710.356	539.344	1206.602	735.256	558.448	1025.568	624.543	505.955	1151.586	711.780	200.631	1189.664	708.913	189.304	1047.174	629.928	236.736	1138.751	818.609	426.781	1176.835	826.352	368.853	1195.786	822.065	314.128	1171.557	755.805	556.139	904.605	680.860	570.301	909.439	681.527	565.474	784.614	748.163	552.706	780.645	700.251	536.487	615.299	711.586	403.454	598.684	787.985	544.871	493.776	716.946	544.343	486.661	737.288	542.725	377.987	796.375	542.357	388.217	853.173	475.731	175.988	810.842	517.160	202.472	773.537	433.174	203.415	641.899	558.603	135.638	626.067	465.241	140.238	727.632	196.355	878.813	648.320	201.253	882.169	645.871	210.963	760.923	705.920	204.857	753.123	690.772	224.245	610.285	694.180	351.934	575.185	686.604	243.881	453.345	756.937	210.219	457.262	707.272	251.634	347.486	765.061	229.103	349.688	849.817	291.472	165.333	794.652	252.420	197.518	765.196	346.180	207.961	632.170	235.743	138.818	616.520	314.333	145.670	821.671	368.166	1327.875	781.275	362.346	1655.448	842.528	448.415	1493.487	848.562	295.573	1483.789	619.237	348.077	1916.526	506.216	317.469	1814.654	629.329	248.721	1806.967	584.487	440.329	1820.141	700.135	546.262	1630.408	660.897	603.643	1432.370	784.186	642.809	1465.537	736.902	645.982	1370.170	749.548	667.953	1306.742	773.270	564.952	1278.669	635.372	649.615	1224.230	754.442	700.302	1195.307	674.213	674.359	1133.175	616.905	600.975	1072.444	653.422	679.183	1048.621	595.162	665.942	1014.551	717.197	181.629	1636.365	663.435	140.667	1437.995	782.250	84.204	1440.295	722.531	104.375	1358.513	749.985	79.327	1274.286	765.069	190.014	1264.685	654.253	160.159	1224.084	702.616	48.950	1211.496	659.796	105.896	1137.291	611.359	132.733	1039.159	681.275	86.099	1008.526	618.792	86.549	977.240
710.320	539.140	1206.568	735.159	558.197	1025.519	624.502	505.798	1151.575	711.539	200.436	1189.590	708.667	189.138	1047.105	629.725	236.591	1138.718	818.482	426.526	1176.806	826.191	368.616	1195.795	821.892	313.870	1171.541	755.778	555.922	904.578	680.826	570.143	909.443	681.494	565.379	784.605	748.132	552.544	780.648	700.178	536.393	615.276	711.423	403.348	598.668	787.913	544.769	493.794	716.894	544.286	486.669	737.252	542.692	377.976	796.326	542.293	388.228	853.178	475.742	175.994	810.798	517.108	202.439	773.552	432.970	203.430	641.902	558.618	135.639	626.065	465.249	140.270	727.641	196.288	878.629	648.104	201.160	882.114	645.682	210.875	760.883	705.754	204.783	753.056	690.613	224.182	610.208	694.066	351.865	575.154	686.513	243.837	453.291	756.824	210.155	457.220	707.212	251.632	347.422	764.990	229.071	349.658	849.825	291.468	165.297	794.535	252.303	197.332	765.205	346.186	207.951	632.177	235.745	138.833	616.526	314.336	145.734	821.535	367.861	1327.853	781.160	362.058	1655.412	842.408	448.166	1493.448	848.407	295.268	1483.762	619.209	347.758	1916.505	506.129	317.205	1814.714	629.238	248.454	1806.934	584.413	440.043	1820.136	700.028	545.984	1630.438	660.828	603.434	1432.362	784.110	642.514	1465.571	736.820	645.730	1370.223	749.476	667.732	1306.800	773.222	564.770	1278.707	635.290	649.407	1224.170	754.439	700.140	1195.373	674.211	674.232	1133.218	616.889	600.861	1072.416	653.441	679.068	1048.636	595.175	665.832	1014.541	716.973	181.327	1636.271	663.312	140.435	1437.925	782.122	83.968	1440.277	722.343	104.104	1358.517	749.780	79.036	1274.245	764.893	189.735	1264.606	654.137	159.954	1223.991	702.401	48.708	1211.461	659.621	105.677	1137.226	611.213	132.549	1039.007	681.107	85.877	1008.466	618.608	86.362	977.160
710.209	538.941	1206.576	735.084	558.078	1025.757	624.425	505.644	1151.574	711.233	200.242	1189.554	708.449	188.994	1047.072	629.490	236.422	1138.682	818.336	426.253	1176.772	826.036	368.352	1195.770	821.733	313.650	1171.526	755.668	555.676	904.535	680.803	570.016	909.459	681.435	565.267	784.611	748.094	552.395	780.648	700.090	536.317	615.270	711.226	403.268	598.622	787.836	544.678	493.816	716.804	544.188	486.631	737.202	542.629	377.971	796.265	542.294	388.373	853.177	475.731	175.977	810.804	517.093	202.468	773.516	433.154	203.397	641.916	558.623	135.574	626.087	465.250	140.271	727.458	196.148	878.594	647.922	201.028	882.098	645.501	210.812	760.842	705.595	204.692	752.994	690.473	224.143	610.154	694.008	351.817	575.133	686.414	243.814	453.249	756.683	210.100	457.185	707.170	251.638	347.370	764.945	229.060	349.617	849.818	291.496	165.253	794.662	252.402	197.486	765.204	346.174	207.942	632.187	235.749	138.851	616.551	314.334	145.737	821.390	367.580	1327.811	781.025	361.769	1655.365	842.286	447.852	1493.486	848.243	294.989	1483.724	619.133	347.422	1916.440	506.029	316.941	1814.730	629.096	248.147	1806.879	584.376	439.761	1820.194	699.908	545.695	1630.443	660.724	603.195	1432.381	784.075	642.288	1465.753	736.771	645.517	1370.228	749.423	667.509	1306.873	773.130	564.565	1278.734	635.266	649.267	1224.211	754.420	699.920	1195.425	674.192	674.082	1133.299	616.877	600.746	1072.441	653.468	678.978	1048.650	595.183	665.726	1014.525	716.794	181.037	1636.240	663.117	140.177	1437.892	781.925	83.674	1440.253	722.117	103.849	1358.393	749.639	78.787	1274.127	764.727	189.453	1264.586	653.934	159.735	1223.974	702.210	48.484	1211.397	659.421	105.465	1137.189	611.039	132.360	1038.954	680.868	85.687	1008.411	618.438	86.172	977.094
710.079	538.729	1206.591	735.171	557.972	1025.945	624.329	505.469	1151.578	711.059	200.039	1189.499	708.171	188.798	1046.986	629.308	236.291	1138.602	818.206	425.963	1176.719	825.870	368.077	1195.732	821.541	313.430	1171.479	755.595	555.464	904.482	680.768	569.876	909.476	681.395	565.161	784.625	748.063	552.227	780.645	700.005	536.236	615.251	711.028	403.165	598.586	787.770	544.560	493.857	716.718	544.122	486.629	737.141	542.567	377.982	796.124	542.249	388.512	853.164	475.724	175.990	810.862	517.079	202.495	773.538	433.126	203.382	641.911	558.594	135.655	626.094	465.240	140.264	727.133	195.917	878.585	647.694	200.954	882.058	645.330	210.749	760.788	705.428	204.609	752.942	690.308	224.056	610.098	693.903	351.740	575.129	686.321	243.796	453.194	756.595	210.043	457.131	707.110	251.602	347.335	764.844	229.019	349.552	849.852	291.491	165.223	794.674	252.380	197.492	765.243	346.170	207.979	632.221	235.756	138.834	616.573	314.349	145.753	821.222	367.251	1327.766	780.902	361.454	1655.318	842.130	447.552	1493.465	848.089	294.711	1483.639	619.100	347.119	1916.437	505.947	316.668	1814.814	629.018	247.848	1806.869	584.346	439.476	1820.235	699.812	545.404	1630.464	660.644	602.957	1432.420	783.993	642.044	1465.803	736.698	645.287	1370.270	749.371	667.302	1306.931	773.064	564.372	1278.778	635.223	649.088	1224.241	754.414	699.761	1195.498	674.195	673.924	1133.317	616.862	600.614	1072.412	653.478	678.847	1048.702	595.217	665.607	1014.504	716.601	180.739	1636.190	662.902	139.920	1437.830	781.715	83.375	1440.192	721.930	103.579	1358.298	749.440	78.524	1274.029	764.546	189.177	1264.508	653.769	159.514	1223.933	702.018	48.237	1211.323	659.268	105.243	1137.131	610.890	132.181	1038.883	680.627	85.500	1008.158	618.240	86.006	977.042
