NO_OF_SAMPLES	722
FREQUENCY	400
TIME_STAMP	2020-08-07, 13:01:23.894	3821.76205471
FIRST_SAMPLE	1180
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	7391
FORCE_PLATE_CORNER_POSX_POSY_X	579.468012
FORCE_PLATE_CORNER_POSX_POSY_Y	379.240990
FORCE_PLATE_CORNER_POSX_POSY_Z	-16.077699
FORCE_PLATE_CORNER_NEGX_POSY_X	577.150047
FORCE_PLATE_CORNER_NEGX_POSY_Y	-4.550730
FORCE_PLATE_CORNER_NEGX_POSY_Z	-16.474199
FORCE_PLATE_CORNER_NEGX_NEGY_X	-4.632410
FORCE_PLATE_CORNER_NEGX_NEGY_Y	2.957070
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-16.989401
FORCE_PLATE_CORNER_POSX_NEGY_X	-3.978860
FORCE_PLATE_CORNER_POSX_NEGY_Y	381.323993
FORCE_PLATE_CORNER_POSX_NEGY_Z	-17.207799
FORCE_PLATE_OFFSET_X	-0.304800
FORCE_PLATE_OFFSET_Y	-0.457200
FORCE_PLATE_OFFSET_Z	-46.024800
FORCE_PLATE_LENGTH	599.948000
FORCE_PLATE_WIDTH	400.050000
Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
44.760293	17.086768	66.678204	7.479893	6.271634	8.313049	-125.258933	99.927603	0.000000	
44.543669	17.173051	65.817936	7.481677	6.271859	8.276432	-126.744085	101.206433	0.000000	
44.416624	17.783925	65.479731	7.414504	6.288699	8.332001	-127.565022	100.276294	0.000000	
44.631782	17.263172	66.676605	7.591825	6.324044	8.239148	-125.959266	101.486960	0.000000	
44.635874	17.609100	66.161486	7.461129	6.376222	8.174415	-127.729067	100.064629	0.000000	
44.459904	17.393527	67.361259	7.394729	6.376574	8.109024	-125.344514	97.435799	0.000000	
44.241460	17.524005	66.678237	7.348818	6.393475	8.220204	-126.728054	97.659960	0.000000	
44.154600	17.347723	66.158136	7.329587	6.376686	8.118685	-127.407726	98.263261	0.000000	
44.240534	17.307158	67.189937	7.394056	6.376532	8.146063	-125.512439	97.734554	0.000000	
43.807867	17.740806	65.647190	7.262197	6.445771	8.183455	-129.206275	97.729478	0.000000	
43.897630	18.046431	65.647870	7.285038	6.410983	8.155837	-128.737949	97.862126	0.000000	
44.114984	17.610052	66.498720	7.332254	6.429286	7.970517	-127.520320	97.616183	0.000000	
44.161657	17.915334	66.671185	7.310831	6.481397	7.924126	-128.005080	96.830424	0.000000	
44.075003	18.093175	68.219124	7.220639	6.515986	7.914026	-125.556032	93.180831	0.000000	
43.991897	18.354781	67.185395	7.400943	6.568582	7.803697	-128.209088	97.126038	0.000000	
43.992775	18.483710	67.529635	7.158039	6.499015	7.784839	-126.527514	92.943712	0.000000	
43.690335	18.706389	68.214711	7.291794	6.621051	7.673555	-126.844809	93.816246	0.000000	
43.474591	19.229370	66.501201	7.336286	6.446845	7.776409	-127.336412	96.552451	0.000000	
43.429369	19.141321	67.017822	7.136089	6.394538	7.812965	-125.545606	92.877875	0.000000	
43.169944	19.318439	66.843703	7.270587	6.412311	7.729969	-125.959104	95.011181	0.000000	
43.300565	19.143990	67.528582	7.270962	6.499440	7.664788	-126.063999	94.167374	0.000000	
43.214109	19.230639	67.013306	7.271610	6.482082	7.665046	-126.712573	94.845121	0.000000	
43.256579	18.838484	68.211025	7.228193	6.621646	7.543981	-126.567686	92.799805	0.000000	
43.128110	19.013647	68.725813	7.162555	6.726060	7.469525	-127.055176	91.028891	0.000000	
43.126566	18.883125	68.896870	7.140290	6.639236	7.478790	-125.479253	90.565767	0.000000	
42.649734	19.407602	67.869109	7.096687	6.534782	7.516356	-125.512389	90.946032	0.000000	
42.740807	19.577939	66.321267	7.166164	6.656665	7.442987	-130.335519	94.008622	0.000000	
42.568178	19.798343	66.664550	7.188809	6.656792	7.396637	-129.548663	93.709702	0.000000	
42.700668	20.059374	66.666732	7.144352	6.621788	7.415162	-129.110834	92.859560	0.000000	
42.394429	20.021822	68.554226	7.121632	6.570007	7.340370	-124.603508	89.984082	0.000000	
42.657339	19.668987	68.375593	7.147316	6.761927	7.164461	-127.912065	90.833491	0.000000	
42.441202	19.977232	68.720180	7.169392	6.744534	7.145886	-126.874345	90.490521	0.000000	
42.048805	19.936042	69.060984	7.148369	6.744964	7.071690	-125.994457	89.764755	0.000000	
42.182766	20.456616	67.691415	7.126465	6.640160	7.155723	-127.080302	90.912632	0.000000	
42.185802	20.848396	67.865719	6.993822	6.657302	7.146228	-127.009350	88.457778	0.000000	
41.792178	20.766737	69.065988	7.037701	6.640285	7.090260	-124.298713	87.602296	0.000000	
