NO_OF_FRAMES	712
NO_OF_CAMERAS	16
NO_OF_MARKERS	71
FREQUENCY	400
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-08-07, 12:48:47.992	3065.10169880
DATA_INCLUDED	3D
MARKER_NAMES	R_asis	L_asis	R_PSIS	Sacrum	L_PSIS	R_illiac	R_troch	L_illiac	L_troch	R_thigh1	R_thigh2	R_thigh3	R_thigh4	RL_knee	RM_Knee	R_shank1	R_shank2	R_shank3	R_shank4	R_heel	RL_ankle	RM_ankle	R_Metatarsal5	R_Metatarsal1	L_thigh1	L_thigh2	L_thigh3	L_thigh4	LL_knee	LM_Knee	L_shank1	L_shank2	L_shank3	L_shank4	L_heel	LL_ankle	LM_Ankle	L_Metatarsal5	L_Metatarsal1	Back_down	Neck	Back_right	Back_left	Head_up	Head_front	Head_left	Head_right	R_shoulder	R_humerus1	R_humerus2	R_humerus3	Rl_elbow	RM_elbow	R_radius1	R_radius2	R_radius3	RL_wrist	Rm_wrist	R_hand	L_shoulder	L_humerus1	L_humerus2	L_humerus3	LL_elbow	LM_elbow	L_radius1	L_radius2	L_radius3	LL_wrist	Lm_wrist	L_hand
R_asis X	R_asis Y	R_asis Z	L_asis X	L_asis Y	L_asis Z	R_PSIS X	R_PSIS Y	R_PSIS Z	Sacrum X	Sacrum Y	Sacrum Z	L_PSIS X	L_PSIS Y	L_PSIS Z	R_illiac X	R_illiac Y	R_illiac Z	R_troch X	R_troch Y	R_troch Z	L_illiac X	L_illiac Y	L_illiac Z	L_troch X	L_troch Y	L_troch Z	R_thigh1 X	R_thigh1 Y	R_thigh1 Z	R_thigh2 X	R_thigh2 Y	R_thigh2 Z	R_thigh3 X	R_thigh3 Y	R_thigh3 Z	R_thigh4 X	R_thigh4 Y	R_thigh4 Z	RL_knee X	RL_knee Y	RL_knee Z	RM_Knee X	RM_Knee Y	RM_Knee Z	R_shank1 X	R_shank1 Y	R_shank1 Z	R_shank2 X	R_shank2 Y	R_shank2 Z	R_shank3 X	R_shank3 Y	R_shank3 Z	R_shank4 X	R_shank4 Y	R_shank4 Z	R_heel X	R_heel Y	R_heel Z	RL_ankle X	RL_ankle Y	RL_ankle Z	RM_ankle X	RM_ankle Y	RM_ankle Z	R_Metatarsal5 X	R_Metatarsal5 Y	R_Metatarsal5 Z	R_Metatarsal1 X	R_Metatarsal1 Y	R_Metatarsal1 Z	L_thigh1 X	L_thigh1 Y	L_thigh1 Z	L_thigh2 X	L_thigh2 Y	L_thigh2 Z	L_thigh3 X	L_thigh3 Y	L_thigh3 Z	L_thigh4 X	L_thigh4 Y	L_thigh4 Z	LL_knee X	LL_knee Y	LL_knee Z	LM_Knee X	LM_Knee Y	LM_Knee Z	L_shank1 X	L_shank1 Y	L_shank1 Z	L_shank2 X	L_shank2 Y	L_shank2 Z	L_shank3 X	L_shank3 Y	L_shank3 Z	L_shank4 X	L_shank4 Y	L_shank4 Z	L_heel X	L_heel Y	L_heel Z	LL_ankle X	LL_ankle Y	LL_ankle Z	LM_Ankle X	LM_Ankle Y	LM_Ankle Z	L_Metatarsal5 X	L_Metatarsal5 Y	L_Metatarsal5 Z	L_Metatarsal1 X	L_Metatarsal1 Y	L_Metatarsal1 Z	Back_down X	Back_down Y	Back_down Z	Neck X	Neck Y	Neck Z	Back_right X	Back_right Y	Back_right Z	Back_left X	Back_left Y	Back_left Z	Head_up X	Head_up Y	Head_up Z	Head_front X	Head_front Y	Head_front Z	Head_left X	Head_left Y	Head_left Z	Head_right X	Head_right Y	Head_right Z	R_shoulder X	R_shoulder Y	R_shoulder Z	R_humerus1 X	R_humerus1 Y	R_humerus1 Z	R_humerus2 X	R_humerus2 Y	R_humerus2 Z	R_humerus3 X	R_humerus3 Y	R_humerus3 Z	Rl_elbow X	Rl_elbow Y	Rl_elbow Z	RM_elbow X	RM_elbow Y	RM_elbow Z	R_radius1 X	R_radius1 Y	R_radius1 Z	R_radius2 X	R_radius2 Y	R_radius2 Z	R_radius3 X	R_radius3 Y	R_radius3 Z	RL_wrist X	RL_wrist Y	RL_wrist Z	Rm_wrist X	Rm_wrist Y	Rm_wrist Z	R_hand X	R_hand Y	R_hand Z	L_shoulder X	L_shoulder Y	L_shoulder Z	L_humerus1 X	L_humerus1 Y	L_humerus1 Z	L_humerus2 X	L_humerus2 Y	L_humerus2 Z	L_humerus3 X	L_humerus3 Y	L_humerus3 Z	LL_elbow X	LL_elbow Y	LL_elbow Z	LM_elbow X	LM_elbow Y	LM_elbow Z	L_radius1 X	L_radius1 Y	L_radius1 Z	L_radius2 X	L_radius2 Y	L_radius2 Z	L_radius3 X	L_radius3 Y	L_radius3 Z	LL_wrist X	LL_wrist Y	LL_wrist Z	Lm_wrist X	Lm_wrist Y	Lm_wrist Z	L_hand X	L_hand Y	L_hand Z	
241.731	528.081	1052.852	240.764	255.892	1041.941	434.023	444.379	1072.783	441.187	385.651	1091.702	436.030	332.807	1068.696	329.092	559.941	1105.022	353.253	570.340	928.073	321.782	220.822	1091.917	329.172	208.303	953.813	372.232	576.576	811.630	297.369	593.189	814.936	301.605	592.956	690.148	368.716	578.127	688.064	325.991	570.117	517.755	339.984	438.913	494.898	413.777	586.787	400.702	342.684	582.487	394.252	361.668	587.911	285.378	421.256	590.143	295.061	486.414	541.368	77.937	438.371	574.783	104.365	413.565	487.332	103.104	267.903	597.261	34.950	263.616	503.149	39.548	355.963	198.982	792.537	280.744	201.798	794.423	281.429	201.354	671.782	341.587	198.425	666.609	338.713	206.051	518.472	334.925	328.771	472.984	404.074	183.595	378.812	330.758	213.877	371.630	350.939	209.330	265.573	408.656	189.171	270.046	487.535	237.024	70.223	429.388	204.933	102.008	404.014	299.209	106.379	267.794	190.191	35.649	256.510	268.855	40.774	443.668	384.174	1219.611	434.365	383.551	1544.663	481.095	463.622	1378.228	477.046	310.409	1369.955	345.008	377.438	1825.561	206.249	352.020	1759.268	318.984	278.024	1718.109	289.004	471.088	1740.959	357.057	572.467	1524.836	304.367	630.515	1330.245	432.459	659.870	1350.517	375.692	666.036	1260.264	385.120	686.826	1196.243	397.229	580.740	1167.177	263.954	678.172	1123.313	383.854	718.025	1084.328	295.982	698.902	1029.682	229.962	629.769	970.859	270.864	705.276	946.294	209.801	701.596	918.595	355.469	204.669	1534.135	282.979	161.130	1341.639	399.726	101.367	1335.521	333.091	121.493	1259.355	357.859	92.722	1173.247	372.275	202.157	1159.229	256.914	171.820	1127.978	305.254	60.254	1116.331	257.124	114.226	1042.976	202.027	136.354	946.717	270.650	90.237	912.921	206.258	86.208	888.129
241.701	528.092	1052.900	240.726	255.899	1041.955	433.995	444.363	1072.760	441.159	385.630	1091.694	436.005	332.798	1068.686	329.070	559.929	1105.033	353.211	570.366	928.061	321.703	220.786	1091.821	329.076	208.279	953.819	372.273	576.656	811.779	297.364	593.199	814.921	301.505	592.907	690.046	368.713	578.153	688.123	325.988	570.114	517.753	339.994	438.892	494.924	413.760	586.794	400.690	342.683	582.494	394.262	361.686	587.917	285.366	421.251	590.137	295.028	486.504	541.463	77.961	438.185	574.717	104.174	413.548	487.322	103.119	267.897	597.249	34.971	263.619	503.127	39.523	356.550	199.380	792.667	280.667	201.824	794.405	281.412	201.380	671.783	341.584	198.412	666.618	338.730	206.051	518.506	334.951	328.775	473.003	404.090	183.603	378.834	330.784	213.877	371.657	350.902	209.236	265.728	409.692	189.786	269.900	487.326	237.023	69.873	429.465	204.796	102.071	404.011	299.206	106.368	267.802	190.188	35.652	256.506	268.859	40.806	443.658	384.149	1219.586	434.422	383.532	1544.648	481.128	463.619	1378.174	477.070	310.381	1369.921	345.090	377.444	1825.540	206.321	352.043	1759.309	319.036	278.020	1718.100	289.103	471.086	1740.965	357.188	572.420	1524.897	304.361	630.555	1330.254	432.462	659.881	1350.523	375.737	666.066	1260.273	385.074	686.867	1196.253	397.191	580.771	1167.184	263.861	678.205	1123.372	383.763	717.781	1083.339	295.859	698.929	1029.688	229.778	629.821	970.955	270.661	705.319	946.378	209.609	701.671	918.734	355.503	204.632	1534.177	282.960	161.091	1341.663	399.693	101.361	1335.541	333.039	121.457	1259.366	357.780	92.686	1173.230	372.195	202.122	1159.210	256.832	171.810	1128.014	305.139	60.202	1116.368	257.145	114.282	1042.959	201.845	136.325	946.785	270.477	90.181	912.949	206.038	86.159	888.203
241.704	528.071	1052.887	240.685	255.905	1041.966	433.984	444.361	1072.726	441.130	385.618	1091.669	435.964	332.768	1068.671	329.051	559.919	1105.038	353.161	570.421	928.050	321.636	220.801	1091.817	328.999	208.274	953.805	372.211	576.630	811.605	297.335	593.201	814.917	301.579	592.941	690.122	368.734	578.198	688.096	325.991	570.119	517.756	340.031	438.907	494.899	413.791	586.796	400.711	342.701	582.489	394.263	361.681	587.921	285.387	421.262	590.126	295.037	486.517	541.463	77.960	438.178	574.733	104.157	413.554	487.325	103.103	267.901	597.273	34.997	263.631	503.142	39.538	356.812	199.548	792.637	280.629	201.849	794.401	281.387	201.386	671.782	341.551	198.402	666.618	338.743	206.051	518.490	334.992	328.760	473.020	404.125	183.582	378.858	330.802	213.870	371.669	350.979	209.303	265.599	408.759	189.193	270.028	487.523	237.023	70.189	429.384	204.905	102.009	404.021	299.203	106.391	267.796	190.174	35.661	256.503	268.861	40.811	443.617	384.126	1219.543	434.487	383.508	1544.612	481.136	463.607	1378.112	477.084	310.350	1369.909	345.168	377.452	1825.529	206.372	352.068	1759.303	319.073	278.020	1718.082	289.159	471.099	1740.948	357.274	572.405	1524.907	304.369	630.577	1330.316	432.477	659.893	1350.525	375.683	666.083	1260.282	385.032	686.896	1196.261	397.143	580.800	1167.167	263.775	678.237	1123.439	383.665	717.824	1083.326	295.757	699.002	1029.799	229.612	629.858	971.062	270.511	705.374	946.451	209.408	701.697	918.845	355.535	204.621	1534.186	282.778	161.092	1341.774	399.662	101.313	1335.500	332.963	121.415	1259.400	357.694	92.642	1173.245	372.159	202.069	1159.206	256.724	171.775	1128.078	305.017	60.164	1116.397	256.884	114.164	1043.055	201.693	136.294	946.845	270.288	90.122	913.004	205.830	86.136	888.268
241.698	528.082	1052.913	240.646	255.915	1041.969	433.969	444.352	1072.773	441.134	385.596	1091.645	435.929	332.744	1068.659	329.040	559.931	1105.045	353.138	570.423	928.067	321.572	220.786	1091.803	328.916	208.255	953.781	372.244	576.720	811.742	297.315	593.205	814.908	301.588	592.930	690.124	368.693	578.197	688.080	326.006	570.120	517.757	340.028	438.900	494.903	413.774	586.807	400.684	342.711	582.499	394.251	361.681	587.914	285.375	421.278	590.143	295.057	486.512	541.467	77.941	438.168	574.720	104.134	413.573	487.338	103.100	267.897	597.264	34.964	263.621	503.114	39.533	356.760	199.519	792.627	280.583	201.864	794.424	281.334	201.397	671.792	341.513	198.380	666.627	338.748	206.054	518.519	335.037	328.753	473.031	404.156	183.577	378.853	330.810	213.858	371.681	350.996	209.300	265.617	408.747	189.168	270.013	487.549	237.027	70.217	429.201	204.788	101.745	404.019	299.196	106.388	267.802	190.174	35.670	256.514	268.857	40.800	443.616	384.107	1219.523	434.519	383.484	1544.568	481.171	463.592	1378.072	477.073	310.295	1369.852	345.247	377.454	1825.523	206.438	352.073	1759.333	319.108	278.018	1718.096	289.262	471.113	1740.951	357.206	572.419	1524.842	304.355	630.574	1330.336	432.500	659.900	1350.498	375.646	666.108	1260.281	384.978	686.929	1196.257	397.092	580.827	1167.188	263.709	678.282	1123.498	383.545	717.873	1083.368	295.651	699.041	1029.830	229.404	629.900	971.155	270.251	705.428	946.551	209.217	701.762	918.943	355.567	204.618	1534.177	282.899	161.049	1341.692	399.615	101.265	1335.493	332.921	121.373	1259.397	357.603	92.595	1173.248	372.091	202.032	1159.196	256.626	171.753	1128.097	304.895	60.130	1116.425	256.886	114.218	1043.041	201.511	136.249	946.901	270.055	89.918	913.062	205.596	86.097	888.362
241.684	528.079	1052.935	240.575	255.907	1041.980	433.962	444.348	1072.717	441.077	385.594	1091.648	435.881	332.720	1068.627	329.049	559.921	1105.037	353.070	570.460	928.031	321.525	220.760	1091.789	328.816	208.255	953.768	372.189	576.722	811.623	297.289	593.210	814.898	301.452	592.860	690.025	368.695	578.247	688.078	326.003	570.135	517.760	340.059	438.916	494.915	413.797	586.819	400.694	342.703	582.502	394.252	361.694	587.925	285.356	421.284	590.127	294.998	486.517	541.480	77.952	438.185	574.718	104.122	413.574	487.330	103.114	267.927	597.284	34.835	263.639	503.125	39.542	356.814	199.578	792.641	280.512	201.882	794.407	281.327	201.434	671.782	341.497	198.382	666.640	338.753	206.040	518.527	335.086	328.752	473.035	404.168	183.570	378.851	330.839	213.842	371.681	350.961	209.194	265.751	409.772	189.776	269.893	487.528	237.021	70.202	429.406	204.902	101.988	404.021	299.187	106.388	267.810	190.185	35.664	256.514	268.849	40.783	443.624	384.097	1219.496	434.587	383.451	1544.535	481.203	463.604	1378.054	477.070	310.258	1369.805	345.324	377.442	1825.499	206.491	352.103	1759.351	319.141	278.028	1718.082	289.328	471.109	1740.937	357.292	572.424	1524.869	304.384	630.620	1330.408	432.491	659.926	1350.479	375.616	666.129	1260.296	384.919	686.964	1196.245	397.044	580.871	1167.149	263.614	678.316	1123.564	383.481	718.006	1083.413	295.520	699.096	1029.859	229.252	629.941	971.270	270.070	705.512	946.608	209.019	701.814	919.046	355.590	204.604	1534.170	282.867	161.044	1341.727	399.603	101.272	1335.495	332.856	121.348	1259.411	357.518	92.566	1173.248	372.029	201.997	1159.174	256.439	171.721	1128.073	304.792	60.089	1116.445	256.700	114.162	1043.133	201.335	136.228	946.965	269.847	89.870	913.130	205.400	86.066	888.424
241.654	528.088	1052.922	240.552	255.922	1041.977	433.905	444.326	1072.669	441.071	385.591	1091.620	435.869	332.717	1068.598	329.044	559.920	1105.032	353.029	570.490	927.982	321.503	220.745	1091.771	328.742	208.198	953.818	372.137	576.729	811.564	297.262	593.213	814.886	301.437	592.867	689.997	368.688	578.263	688.018	325.995	570.134	517.752	340.061	438.922	494.913	413.817	586.825	400.683	342.721	582.508	394.243	361.698	587.914	285.378	421.288	590.145	295.035	486.530	541.484	77.944	438.187	574.711	104.114	413.574	487.344	103.098	267.928	597.273	34.841	263.623	503.133	39.559	356.759	199.545	792.672	280.451	201.892	794.413	281.265	201.453	671.799	341.477	198.381	666.653	338.773	206.038	518.515	335.121	328.742	473.052	404.188	183.572	378.829	330.856	213.840	371.699	351.066	209.283	265.617	408.821	189.159	270.013	487.548	237.008	70.204	429.400	204.896	101.992	404.032	299.191	106.399	267.798	190.178	35.668	256.509	268.853	40.812	443.604	384.087	1219.468	434.642	383.429	1544.498	481.218	463.571	1377.998	477.075	310.218	1369.766	345.401	377.449	1825.489	206.541	352.128	1759.389	319.177	278.020	1718.091	289.412	471.112	1740.927	357.339	572.418	1524.852	304.375	630.618	1330.457	432.499	659.916	1350.481	375.594	666.153	1260.314	384.857	687.004	1196.305	396.974	580.906	1167.144	263.466	678.322	1123.714	383.319	717.992	1083.404	295.372	699.149	1029.903	229.065	629.996	971.355	269.906	705.542	946.696	208.790	701.869	919.167	355.605	204.625	1534.141	282.685	161.048	1341.844	399.552	101.209	1335.485	332.793	121.322	1259.428	357.425	92.523	1173.254	371.936	201.947	1159.174	256.406	171.684	1128.187	304.646	60.061	1116.490	256.539	114.136	1043.179	201.182	136.213	947.028	269.647	89.830	913.176	205.183	86.030	888.486
241.680	528.103	1052.920	240.495	255.928	1041.996	433.912	444.319	1072.652	441.045	385.588	1091.608	435.823	332.679	1068.568	329.021	559.932	1105.042	352.991	570.513	927.966	321.478	220.768	1091.772	328.665	208.201	953.809	372.183	576.807	811.617	297.249	593.223	814.877	301.475	592.869	689.996	368.669	578.295	688.004	326.011	570.128	517.743	340.068	438.917	494.916	413.808	586.831	400.682	342.712	582.510	394.246	361.704	587.953	285.344	421.307	590.163	295.015	486.534	541.483	77.939	438.183	574.724	104.111	413.595	487.346	103.098	267.914	597.269	34.845	263.637	503.135	39.555	356.678	199.513	792.671	280.393	201.904	794.424	281.214	201.470	671.819	341.435	198.364	666.659	338.790	206.022	518.523	335.171	328.734	473.050	404.230	183.552	378.840	330.891	213.830	371.712	351.069	209.273	265.649	408.818	189.145	270.020	487.336	237.003	69.852	429.236	204.643	101.700	404.045	299.182	106.405	267.823	190.192	35.654	256.518	268.849	40.816	443.589	384.069	1219.442	434.705	383.407	1544.462	481.249	463.590	1377.965	477.111	310.186	1369.772	345.457	377.453	1825.478	206.599	352.154	1759.368	319.229	278.028	1718.089	289.473	471.105	1740.924	357.425	572.414	1524.893	304.387	630.648	1330.496	432.520	659.916	1350.465	375.600	666.190	1260.318	384.802	687.042	1196.283	396.915	580.946	1167.164	263.336	678.361	1123.800	383.195	718.035	1083.385	295.242	699.201	1029.948	228.896	630.048	971.444	269.719	705.602	946.768	208.594	701.935	919.275	355.609	204.633	1534.123	282.793	161.005	1341.777	399.538	101.193	1335.458	332.720	121.298	1259.436	357.286	92.475	1173.214	371.895	201.918	1159.156	256.328	171.666	1128.219	304.510	60.021	1116.494	256.389	114.100	1043.227	201.013	136.168	947.098	269.439	89.799	913.226	204.991	86.001	888.548
241.681	528.098	1052.946	240.368	255.819	1042.076	433.894	444.315	1072.627	441.047	385.557	1091.587	435.819	332.676	1068.565	329.020	559.952	1105.031	352.959	570.558	927.943	321.437	220.746	1091.771	328.568	208.181	953.814	372.208	576.895	811.745	297.223	593.211	814.883	301.449	592.863	689.983	368.648	578.331	688.005	326.011	570.138	517.738	340.086	438.932	494.896	413.809	586.827	400.646	342.713	582.518	394.235	361.707	587.947	285.356	421.299	590.165	295.013	486.542	541.487	77.947	438.196	574.733	104.131	413.578	487.355	103.094	267.898	597.244	34.985	263.635	503.122	39.551	356.560	199.456	792.678	280.355	201.943	794.446	281.197	201.502	671.784	341.397	198.355	666.672	338.800	206.023	518.535	335.215	328.736	473.094	404.258	183.555	378.850	330.915	213.817	371.707	350.998	209.165	265.817	409.817	189.743	269.911	487.542	236.990	70.197	429.402	204.888	102.000	404.054	299.193	106.433	267.826	190.177	35.666	256.499	268.855	40.836	443.585	384.061	1219.422	434.744	383.384	1544.438	481.246	463.589	1377.935	477.122	310.136	1369.734	345.535	377.457	1825.474	206.653	352.157	1759.440	319.253	278.029	1718.081	289.550	471.105	1740.922	357.480	572.403	1524.882	304.389	630.674	1330.511	432.519	659.918	1350.470	375.542	666.208	1260.325	384.750	687.072	1196.293	396.844	581.004	1167.139	263.246	678.413	1123.867	383.136	718.148	1083.524	295.087	699.244	1030.068	228.737	630.080	971.562	269.511	705.680	946.883	208.389	701.973	919.395	355.656	204.628	1534.121	282.606	161.009	1341.906	399.476	101.160	1335.466	332.675	121.276	1259.447	357.208	92.427	1173.243	371.788	201.865	1159.147	256.214	171.648	1128.282	304.393	59.979	1116.523	256.243	114.072	1043.287	200.829	136.140	947.163	269.246	89.761	913.277	204.752	85.981	888.637
241.670	528.096	1052.944	240.415	255.922	1042.044	433.896	444.326	1072.600	441.054	385.545	1091.576	435.771	332.641	1068.514	329.002	559.946	1105.020	352.885	570.601	927.917	321.365	220.761	1091.766	328.482	208.165	953.801	372.111	576.884	811.566	297.210	593.218	814.853	301.436	592.863	689.979	368.636	578.364	687.972	326.005	570.143	517.747	340.093	438.926	494.898	413.812	586.847	400.655	342.718	582.532	394.233	361.718	587.956	285.341	421.304	590.179	295.011	486.457	541.415	77.905	438.376	574.807	104.331	413.611	487.358	103.071	267.893	597.251	34.974	263.632	503.124	39.571	356.599	199.517	792.719	280.241	201.966	794.349	281.152	201.532	671.833	341.335	198.348	666.696	338.821	206.022	518.569	335.270	328.741	473.094	404.225	183.569	378.860	330.960	213.822	371.705	351.028	209.158	265.814	409.504	189.576	270.103	487.563	236.995	70.213	429.414	204.882	102.001	404.040	299.171	106.404	267.830	190.176	35.686	256.535	268.843	40.815	443.571	384.066	1219.375	434.794	383.365	1544.399	481.273	463.577	1377.906	477.105	310.110	1369.676	345.605	377.456	1825.477	206.715	352.173	1759.454	319.291	278.018	1718.081	289.614	471.121	1740.928	357.512	572.389	1524.879	304.363	630.678	1330.569	432.493	659.967	1350.451	375.521	666.229	1260.358	384.680	687.109	1196.305	396.777	581.054	1167.155	263.114	678.422	1123.945	383.001	718.232	1083.637	294.949	699.304	1030.131	228.560	630.150	971.648	269.362	705.740	946.988	208.180	702.063	919.538	355.690	204.611	1534.147	282.595	160.993	1341.944	399.439	101.135	1335.493	332.596	121.237	1259.457	357.042	92.376	1173.212	371.727	201.830	1159.137	256.131	171.619	1128.329	304.282	59.962	1116.563	256.077	114.040	1043.346	200.640	136.122	947.226	269.030	89.728	913.306	204.524	85.946	888.706
241.654	528.107	1052.963	240.380	255.937	1042.062	433.889	444.340	1072.579	441.018	385.559	1091.543	435.799	332.638	1068.553	329.035	559.960	1105.020	352.878	570.637	927.877	321.353	220.746	1091.760	328.416	208.131	953.826	372.108	576.927	811.579	297.139	593.202	814.807	301.414	592.849	689.973	368.617	578.369	687.940	326.018	570.152	517.747	340.102	438.948	494.905	413.819	586.848	400.645	342.708	582.531	394.233	361.701	587.963	285.331	421.328	590.192	295.088	486.534	541.485	77.963	438.186	574.748	104.129	413.604	487.373	103.104	267.903	597.255	34.985	263.636	503.134	39.568	356.391	199.398	792.705	280.247	201.975	794.457	281.111	201.564	671.809	341.281	198.331	666.728	338.813	206.029	518.582	335.282	328.737	473.100	404.281	183.529	378.835	330.960	213.803	371.783	351.060	209.138	265.860	409.877	189.744	269.918	487.560	236.976	70.201	429.420	204.871	102.017	404.076	299.190	106.442	267.815	190.160	35.697	256.545	268.832	40.794	443.577	384.051	1219.346	434.857	383.344	1544.363	481.283	463.560	1377.859	477.160	310.092	1369.759	345.671	377.452	1825.453	206.740	352.199	1759.467	319.318	278.044	1718.075	289.683	471.116	1740.895	357.583	572.375	1524.887	304.343	630.677	1330.610	432.492	659.976	1350.480	375.465	666.247	1260.363	384.632	687.143	1196.326	396.700	581.087	1167.142	263.022	678.457	1124.060	382.861	718.226	1083.569	294.769	699.343	1030.191	228.394	630.190	971.717	269.141	705.795	947.061	207.947	702.103	919.620	355.721	204.596	1534.131	282.532	160.984	1341.972	399.398	101.115	1335.478	332.524	121.214	1259.467	356.976	92.355	1173.216	371.614	201.797	1159.126	256.007	171.594	1128.378	304.147	59.923	1116.605	255.926	113.994	1043.389	200.443	136.090	947.318	268.809	89.839	913.359	204.269	85.927	888.806
