NO_OF_SAMPLES	712
FREQUENCY	400
TIME_STAMP	2020-08-07, 12:48:47.992	3065.10169880
FIRST_SAMPLE	2144
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	7391
FORCE_PLATE_CORNER_POSX_POSY_X	579.468012
FORCE_PLATE_CORNER_POSX_POSY_Y	379.240990
FORCE_PLATE_CORNER_POSX_POSY_Z	-16.077699
FORCE_PLATE_CORNER_NEGX_POSY_X	577.150047
FORCE_PLATE_CORNER_NEGX_POSY_Y	-4.550730
FORCE_PLATE_CORNER_NEGX_POSY_Z	-16.474199
FORCE_PLATE_CORNER_NEGX_NEGY_X	-4.632410
FORCE_PLATE_CORNER_NEGX_NEGY_Y	2.957070
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-16.989401
FORCE_PLATE_CORNER_POSX_NEGY_X	-3.978860
FORCE_PLATE_CORNER_POSX_NEGY_Y	381.323993
FORCE_PLATE_CORNER_POSX_NEGY_Z	-17.207799
FORCE_PLATE_OFFSET_X	-0.304800
FORCE_PLATE_OFFSET_Y	-0.457200
FORCE_PLATE_OFFSET_Z	-46.024800
FORCE_PLATE_LENGTH	599.948000
FORCE_PLATE_WIDTH	400.050000
Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
-9.383488	11.732432	465.393702	27.245821	-10.270136	3.228613	22.690805	56.926126	0.000000	
-9.425943	12.035394	464.023019	27.201603	-10.392192	3.321855	23.025980	56.970289	0.000000	
-9.295290	11.990329	463.164489	27.312323	-10.374911	3.359355	23.018933	57.320267	0.000000	
-9.339220	11.687945	464.533790	27.401526	-10.183146	3.219822	22.541723	57.371943	0.000000	
-9.122317	11.553254	463.503506	27.379726	-10.252800	3.275846	22.721246	57.466826	0.000000	
-9.295977	11.597706	463.674594	27.358025	-10.200530	3.238658	22.617256	57.394239	0.000000	
-9.249409	12.073008	462.304837	27.181597	-10.305305	3.313219	22.907172	57.136701	0.000000	
-9.207007	11.895919	461.273685	27.204195	-10.322689	3.350709	22.992517	57.332109	0.000000	
-9.339302	11.545943	461.270280	27.160913	-10.235412	3.294981	22.816680	57.273623	0.000000	
-9.338451	11.765134	461.099552	27.205267	-10.357146	3.313828	23.089164	57.369313	0.000000	
-9.031387	11.803804	460.070262	27.205714	-10.183613	3.332533	22.733596	57.495788	0.000000	
-8.727609	11.455939	461.097310	27.316473	-10.113747	3.258128	22.500436	57.641633	0.000000	
-8.639932	11.275928	459.377343	27.318785	-10.044039	3.240275	22.425294	57.882230	0.000000	
-8.686215	10.970171	459.547654	27.252203	-10.096043	3.249403	22.534669	57.746346	0.000000	
-8.594783	11.450220	459.378645	27.318654	-9.992042	3.240213	22.307517	57.864319	0.000000	
-8.422246	11.188252	458.689553	27.518175	-10.044023	3.259357	22.437499	58.413202	0.000000	
-8.465666	11.185879	458.174034	27.408387	-10.078757	3.259484	22.543260	58.240058	0.000000	
-8.594682	11.531074	457.148392	27.186584	-10.079330	3.352135	22.608764	57.851807	0.000000	
-8.506778	11.530532	456.114960	27.365764	-10.183270	3.316018	22.879691	58.376812	0.000000	
-8.155794	11.612956	455.601551	27.299456	-9.992420	3.325136	22.451463	58.289246	0.000000	
-8.115041	11.134640	456.454736	27.344789	-10.043912	3.232381	22.517628	58.326984	0.000000	
-7.985529	10.915968	456.453143	27.389227	-10.043779	3.223183	22.504358	58.446593	0.000000	
-8.072170	10.784369	456.278922	27.412524	-9.904454	3.158318	22.216454	58.533418	0.000000	
-7.899635	10.565304	456.106934	27.456221	-9.921891	3.195464	22.245768	58.673572	0.000000	
-7.855460	10.606209	455.420519	27.390366	-9.921994	3.214179	22.275518	58.613957	0.000000	
-7.986740	10.602817	454.218681	27.258469	-10.026342	3.260921	22.578297	58.480218	0.000000	
-7.594882	10.515241	454.390177	27.368778	-10.061150	3.270321	22.606574	58.709607	0.000000	
-7.724240	10.645041	453.702301	27.348179	-10.095764	3.242912	22.730725	58.740743	0.000000	
-7.770151	10.296219	454.215252	27.303841	-10.060762	3.214787	22.632302	58.611621	0.000000	
-7.771253	10.033730	453.869136	27.371008	-10.008361	3.187180	22.534451	58.831272	0.000000	
-7.639768	10.120026	453.527351	27.414709	-9.956468	3.224319	22.423900	58.963553	0.000000	
-7.075930	9.285041	453.347146	27.395663	-9.903538	3.094780	22.258938	59.029931	0.000000	
-7.510969	9.767513	452.664092	27.372889	-10.129801	3.187899	22.837065	59.020327	0.000000	
-7.337492	9.459594	452.490267	27.373406	-10.007995	3.160024	22.559122	59.075638	0.000000	
-7.249768	9.504927	453.176738	27.417611	-10.007904	3.122802	22.515376	59.078398	0.000000	
-7.121379	9.067936	453.517514	27.439684	-9.920771	3.094767	22.293073	59.126683	0.000000	
