NO_OF_FRAMES	892
NO_OF_CAMERAS	16
NO_OF_MARKERS	71
FREQUENCY	400
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-08-07, 12:57:46.883	3604.53445864
DATA_INCLUDED	3D
MARKER_NAMES	R_illiac	R_troch	R_asis	L_illiac	L_troch	L_asis	R_PSIS	Sacrum	L_PSIS	R_thigh1	R_thigh2	R_thigh3	R_thigh4	RL_knee	RM_Knee	R_shank1	R_shank2	R_shank3	R_shank4	R_heel	RL_ankle	RM_ankle	R_Metatarsal5	R_Metatarsal1	L_thigh1	L_thigh2	L_thigh3	L_thigh4	LL_knee	LM_Knee	L_shank1	L_shank2	L_shank3	L_shank4	L_heel	LL_ankle	LM_Ankle	L_Metatarsal5	L_Metatarsal1	Back_down	Neck	Back_right	Back_left	Head_up	Head_front	Head_left	Head_right	R_shoulder	R_humerus1	R_humerus2	R_humerus3	Rl_elbow	RM_elbow	R_radius1	R_radius2	R_radius3	RL_wrist	Rm_wrist	R_hand	L_shoulder	L_humerus1	L_humerus2	L_humerus3	LL_elbow	LM_elbow	L_radius1	L_radius2	L_radius3	LL_wrist	Lm_wrist	L_hand
R_illiac X	R_illiac Y	R_illiac Z	R_troch X	R_troch Y	R_troch Z	R_asis X	R_asis Y	R_asis Z	L_illiac X	L_illiac Y	L_illiac Z	L_troch X	L_troch Y	L_troch Z	L_asis X	L_asis Y	L_asis Z	R_PSIS X	R_PSIS Y	R_PSIS Z	Sacrum X	Sacrum Y	Sacrum Z	L_PSIS X	L_PSIS Y	L_PSIS Z	R_thigh1 X	R_thigh1 Y	R_thigh1 Z	R_thigh2 X	R_thigh2 Y	R_thigh2 Z	R_thigh3 X	R_thigh3 Y	R_thigh3 Z	R_thigh4 X	R_thigh4 Y	R_thigh4 Z	RL_knee X	RL_knee Y	RL_knee Z	RM_Knee X	RM_Knee Y	RM_Knee Z	R_shank1 X	R_shank1 Y	R_shank1 Z	R_shank2 X	R_shank2 Y	R_shank2 Z	R_shank3 X	R_shank3 Y	R_shank3 Z	R_shank4 X	R_shank4 Y	R_shank4 Z	R_heel X	R_heel Y	R_heel Z	RL_ankle X	RL_ankle Y	RL_ankle Z	RM_ankle X	RM_ankle Y	RM_ankle Z	R_Metatarsal5 X	R_Metatarsal5 Y	R_Metatarsal5 Z	R_Metatarsal1 X	R_Metatarsal1 Y	R_Metatarsal1 Z	L_thigh1 X	L_thigh1 Y	L_thigh1 Z	L_thigh2 X	L_thigh2 Y	L_thigh2 Z	L_thigh3 X	L_thigh3 Y	L_thigh3 Z	L_thigh4 X	L_thigh4 Y	L_thigh4 Z	LL_knee X	LL_knee Y	LL_knee Z	LM_Knee X	LM_Knee Y	LM_Knee Z	L_shank1 X	L_shank1 Y	L_shank1 Z	L_shank2 X	L_shank2 Y	L_shank2 Z	L_shank3 X	L_shank3 Y	L_shank3 Z	L_shank4 X	L_shank4 Y	L_shank4 Z	L_heel X	L_heel Y	L_heel Z	LL_ankle X	LL_ankle Y	LL_ankle Z	LM_Ankle X	LM_Ankle Y	LM_Ankle Z	L_Metatarsal5 X	L_Metatarsal5 Y	L_Metatarsal5 Z	L_Metatarsal1 X	L_Metatarsal1 Y	L_Metatarsal1 Z	Back_down X	Back_down Y	Back_down Z	Neck X	Neck Y	Neck Z	Back_right X	Back_right Y	Back_right Z	Back_left X	Back_left Y	Back_left Z	Head_up X	Head_up Y	Head_up Z	Head_front X	Head_front Y	Head_front Z	Head_left X	Head_left Y	Head_left Z	Head_right X	Head_right Y	Head_right Z	R_shoulder X	R_shoulder Y	R_shoulder Z	R_humerus1 X	R_humerus1 Y	R_humerus1 Z	R_humerus2 X	R_humerus2 Y	R_humerus2 Z	R_humerus3 X	R_humerus3 Y	R_humerus3 Z	Rl_elbow X	Rl_elbow Y	Rl_elbow Z	RM_elbow X	RM_elbow Y	RM_elbow Z	R_radius1 X	R_radius1 Y	R_radius1 Z	R_radius2 X	R_radius2 Y	R_radius2 Z	R_radius3 X	R_radius3 Y	R_radius3 Z	RL_wrist X	RL_wrist Y	RL_wrist Z	Rm_wrist X	Rm_wrist Y	Rm_wrist Z	R_hand X	R_hand Y	R_hand Z	L_shoulder X	L_shoulder Y	L_shoulder Z	L_humerus1 X	L_humerus1 Y	L_humerus1 Z	L_humerus2 X	L_humerus2 Y	L_humerus2 Z	L_humerus3 X	L_humerus3 Y	L_humerus3 Z	LL_elbow X	LL_elbow Y	LL_elbow Z	LM_elbow X	LM_elbow Y	LM_elbow Z	L_radius1 X	L_radius1 Y	L_radius1 Z	L_radius2 X	L_radius2 Y	L_radius2 Z	L_radius3 X	L_radius3 Y	L_radius3 Z	LL_wrist X	LL_wrist Y	LL_wrist Z	Lm_wrist X	Lm_wrist Y	Lm_wrist Z	L_hand X	L_hand Y	L_hand Z	
734.451	575.469	1415.441	754.915	587.892	1236.589	646.515	542.563	1363.179	730.449	235.954	1404.524	732.291	225.143	1263.708	649.420	272.382	1355.576	843.909	462.044	1387.989	849.103	402.850	1408.718	842.967	349.545	1382.755	777.039	588.673	1116.002	701.626	603.256	1119.998	703.340	597.832	995.402	769.790	584.335	992.039	723.317	569.649	825.857	735.128	436.575	808.903	810.534	578.646	703.647	739.571	577.773	696.633	759.779	576.340	588.106	818.864	576.564	598.392	875.524	511.697	386.772	829.544	552.717	411.918	797.045	466.864	413.629	662.531	587.804	344.106	649.712	493.888	349.153	755.397	223.224	1096.666	678.732	225.275	1099.693	678.072	228.106	976.783	738.525	225.342	970.838	730.399	237.600	826.428	724.589	362.724	786.499	792.666	222.957	671.623	719.535	251.013	671.075	733.005	254.918	564.362	792.341	236.461	563.680	864.776	296.127	378.976	809.440	256.950	409.256	778.837	350.080	417.719	647.407	235.704	346.402	631.603	314.082	351.594	844.048	402.541	1539.705	796.297	406.078	1871.176	862.870	485.663	1712.958	861.951	331.305	1700.649	629.966	399.155	2126.327	520.316	371.588	2019.069	642.276	298.905	2017.312	602.737	491.847	2027.911	715.433	589.777	1847.273	713.311	691.409	1676.081	811.268	721.531	1758.977	793.623	757.678	1661.770	807.786	795.845	1608.494	880.407	716.930	1579.378	739.989	697.875	1538.730	787.911	811.525	1493.521	742.708	733.098	1444.081	764.292	635.012	1398.921	709.341	707.351	1372.018	684.926	646.804	1367.825	723.309	232.814	1863.118	703.675	143.900	1680.253	792.632	76.440	1749.138	768.298	69.164	1650.057	796.584	15.659	1582.826	875.403	92.699	1570.341	797.151	143.588	1540.575	738.939	37.911	1520.831	748.032	114.721	1454.304	749.105	181.963	1384.066	720.894	108.196	1335.086	689.147	164.724	1344.771
734.455	575.505	1415.487	755.079	587.933	1236.843	646.522	542.609	1363.159	730.475	236.037	1404.542	732.220	225.193	1263.651	649.448	272.480	1355.573	843.933	462.138	1388.060	849.076	402.917	1408.765	842.969	349.589	1382.768	777.038	588.740	1115.973	701.617	603.299	1120.019	703.311	597.843	995.380	769.790	584.361	992.053	723.263	569.667	825.804	735.072	436.582	808.926	810.475	578.653	703.660	739.516	577.750	696.678	759.758	576.347	588.101	818.799	576.547	598.362	875.521	511.683	386.762	829.518	552.699	411.924	797.044	466.855	413.605	662.522	587.784	344.105	649.711	493.885	349.150	755.299	223.199	1096.637	678.761	225.335	1099.682	678.069	228.133	976.787	738.506	225.376	970.838	730.371	237.638	826.423	724.579	362.752	786.470	792.706	223.008	671.614	719.521	251.049	671.065	732.978	254.934	564.355	792.319	236.463	563.675	864.761	296.108	378.993	809.424	256.925	409.317	778.825	350.071	417.718	647.405	235.688	346.417	631.610	314.071	351.599	844.058	402.573	1539.758	796.197	406.148	1871.210	862.778	485.751	1712.956	861.885	331.367	1700.650	629.397	399.184	2126.006	521.416	371.473	2018.303	641.924	299.016	2017.154	602.443	491.922	2027.776	715.350	589.843	1847.276	713.308	691.364	1675.934	811.194	721.581	1758.879	793.579	757.593	1661.536	807.870	795.720	1608.253	880.476	716.790	1579.329	740.003	697.750	1538.603	788.081	811.327	1493.279	742.880	732.851	1443.847	764.413	634.694	1398.916	709.603	707.019	1371.772	685.028	646.540	1367.739	723.214	232.859	1863.111	703.851	144.233	1679.990	792.572	76.529	1748.926	768.320	69.430	1649.807	796.791	16.060	1582.507	875.585	93.133	1570.290	797.248	143.997	1540.591	739.152	38.357	1520.508	748.195	115.301	1454.245	749.282	182.745	1384.206	721.307	109.154	1334.940	689.392	165.424	1344.889
734.437	575.565	1415.495	755.093	587.905	1236.953	646.516	542.653	1363.164	730.470	236.088	1404.544	732.247	225.252	1263.645	649.455	272.544	1355.628	843.888	462.176	1388.079	849.070	403.019	1408.817	842.995	349.670	1382.801	777.013	588.780	1115.967	701.601	603.325	1119.988	703.295	597.871	995.369	769.761	584.385	991.999	723.193	569.661	825.856	735.021	436.583	808.948	810.405	578.647	703.672	739.461	577.765	696.681	759.701	576.326	588.103	818.739	576.530	598.318	875.515	511.684	386.776	829.518	552.715	411.932	797.051	466.852	413.632	662.517	587.772	344.082	649.724	493.873	349.145	755.320	223.276	1096.660	678.758	225.370	1099.680	678.045	228.174	976.771	738.491	225.391	970.803	730.333	237.643	826.437	724.533	362.797	786.476	792.660	223.016	671.574	719.485	251.036	671.039	732.949	254.957	564.351	792.304	236.479	563.673	864.759	296.095	378.990	809.417	256.935	409.282	778.817	350.077	417.714	647.395	235.696	346.391	631.603	314.063	351.621	844.035	402.617	1539.791	796.067	406.198	1871.222	862.694	485.818	1712.964	861.815	331.426	1700.648	629.027	399.322	2125.949	521.127	371.544	2018.140	641.631	299.114	2017.116	602.182	492.026	2027.682	715.229	589.908	1847.236	713.318	691.342	1675.786	811.128	721.641	1758.775	793.579	757.527	1661.350	807.906	795.628	1608.047	880.558	716.495	1579.221	740.009	697.628	1538.418	788.229	811.097	1492.995	743.017	732.597	1443.626	764.522	634.412	1398.778	709.801	706.678	1371.540	685.219	646.321	1367.696	723.103	232.889	1863.074	703.869	144.493	1679.776	792.501	76.647	1748.730	768.386	69.727	1649.504	796.969	16.471	1582.182	875.751	93.529	1570.195	797.350	144.423	1540.617	739.416	38.795	1520.196	748.405	115.921	1454.115	749.579	183.550	1384.302	721.677	110.049	1334.787	689.584	166.064	1345.013
734.422	575.629	1415.510	754.991	587.821	1236.897	646.494	542.690	1363.165	730.486	236.147	1404.549	732.257	225.313	1263.685	649.348	272.548	1355.646	843.817	462.217	1388.058	849.044	403.125	1408.940	843.012	349.732	1382.819	777.001	588.832	1115.941	701.618	603.364	1119.988	703.189	597.815	995.188	769.730	584.416	991.972	723.134	569.666	825.844	734.976	436.591	808.949	810.340	578.660	703.660	739.391	577.743	696.655	759.650	576.311	588.085	818.725	576.520	598.349	875.502	511.683	386.764	829.518	552.708	411.927	797.028	466.857	413.616	662.519	587.767	344.104	649.702	493.875	349.147	755.337	223.307	1096.613	678.759	225.427	1099.674	678.016	228.176	976.783	738.492	225.425	970.795	730.301	237.685	826.422	724.514	362.832	786.464	792.638	223.041	671.597	719.448	251.080	671.034	732.921	254.960	564.346	792.282	236.493	563.685	864.766	296.107	378.989	809.416	256.931	409.280	778.812	350.065	417.698	647.392	235.684	346.416	631.612	314.073	351.566	844.026	402.681	1539.815	795.951	406.270	1871.248	862.804	486.102	1712.872	861.779	331.482	1700.713	628.628	399.402	2125.914	520.880	371.634	2017.913	641.339	299.189	2017.064	601.860	492.132	2027.552	715.161	589.996	1847.244	713.297	691.302	1675.610	811.057	721.702	1758.653	793.968	757.699	1661.243	807.974	795.513	1607.860	880.613	716.283	1579.126	739.992	697.518	1538.228	788.386	810.941	1492.826	743.186	732.355	1443.388	764.615	634.120	1398.701	709.980	706.401	1371.337	685.317	646.085	1367.642	722.995	232.935	1863.051	704.002	144.804	1679.451	792.445	76.756	1748.520	768.455	70.025	1649.241	797.140	16.879	1581.898	876.190	94.394	1570.748	797.160	144.701	1540.528	739.658	39.258	1519.846	748.598	116.476	1453.962	749.314	184.164	1384.476	722.021	110.902	1334.584	689.783	166.737	1345.134
734.403	575.705	1415.534	754.978	587.781	1236.909	646.503	542.740	1363.158	730.493	236.180	1404.582	732.279	225.357	1263.686	649.378	272.630	1355.620	841.234	461.731	1386.852	846.238	402.675	1406.830	843.021	349.775	1382.815	776.966	588.886	1115.877	701.596	603.421	1119.985	703.148	597.817	995.159	769.711	584.424	991.954	723.083	569.662	825.847	734.927	436.597	808.957	810.273	578.657	703.658	739.334	577.728	696.658	759.610	576.313	588.081	818.669	576.552	598.385	875.503	511.678	386.751	829.501	552.702	411.936	797.031	466.848	413.619	662.532	587.753	344.114	649.719	493.868	349.151	755.329	223.344	1096.584	678.772	225.484	1099.675	678.017	228.242	976.767	738.479	225.469	970.779	730.275	237.721	826.432	724.474	362.842	786.441	792.614	223.065	671.572	719.407	251.082	671.047	732.895	254.981	564.338	792.249	236.507	563.676	864.746	296.101	378.971	809.414	256.939	409.285	778.797	350.066	417.725	647.396	235.717	346.400	631.589	314.057	351.583	844.023	402.721	1539.835	795.788	406.323	1871.254	862.549	485.974	1712.966	861.727	331.533	1700.740	628.187	399.510	2125.784	520.604	371.732	2017.785	641.043	299.252	2017.002	601.581	492.230	2027.424	715.074	590.072	1847.213	713.286	691.253	1675.476	810.992	721.726	1758.498	793.653	757.412	1661.024	808.023	795.383	1607.626	880.637	716.085	1578.973	739.972	697.411	1537.975	788.523	810.768	1492.574	743.333	732.110	1443.129	764.746	633.832	1398.556	710.160	706.159	1371.104	685.432	645.854	1367.609	722.882	232.965	1863.014	703.841	144.973	1679.317	792.403	76.854	1748.265	768.527	70.302	1648.998	797.321	17.249	1581.592	876.343	94.865	1570.592	797.263	145.140	1540.504	739.854	39.667	1519.462	748.799	117.095	1453.788	749.418	184.886	1384.541	722.290	111.766	1334.359	689.981	167.372	1345.215
734.387	575.767	1415.545	754.878	587.701	1236.880	646.507	542.783	1363.143	730.528	236.228	1404.583	732.279	225.426	1263.664	649.396	272.682	1355.619	841.062	461.750	1386.795	846.057	402.705	1406.745	843.032	349.864	1382.854	776.976	588.918	1115.848	701.579	603.420	1119.941	703.152	597.879	995.214	769.687	584.449	991.928	723.010	569.696	825.813	734.865	436.586	808.964	810.207	578.664	703.656	739.276	577.722	696.643	759.565	576.311	588.085	818.618	576.549	598.339	875.493	511.675	386.775	829.500	552.679	411.937	797.023	466.842	413.611	662.527	587.767	344.108	649.704	493.854	349.156	755.334	223.391	1096.566	678.784	225.533	1099.665	678.012	228.278	976.766	738.487	225.503	970.768	730.233	237.756	826.422	724.421	362.868	786.448	792.588	223.087	671.590	719.365	251.116	671.036	732.854	255.000	564.335	792.203	236.509	563.708	864.762	296.098	378.978	809.421	256.946	409.288	778.788	350.055	417.702	647.384	235.704	346.383	631.594	314.070	351.582	844.009	402.771	1539.851	795.694	406.387	1871.288	862.653	486.246	1712.853	861.672	331.597	1700.762	627.725	399.582	2125.652	520.345	371.809	2017.618	640.748	299.358	2016.902	601.300	492.313	2027.306	714.989	590.185	1847.158	713.293	691.160	1675.271	810.934	721.769	1758.355	793.695	757.351	1660.833	808.080	795.259	1607.318	880.623	715.896	1578.811	739.968	697.300	1537.622	788.718	810.612	1492.564	743.438	731.901	1442.908	764.874	633.600	1398.438	710.294	705.902	1370.868	685.559	645.671	1367.584	722.767	232.991	1862.969	703.960	145.268	1679.090	792.349	76.981	1748.058	768.637	70.629	1648.660	797.460	17.614	1581.310	876.177	94.960	1569.782	797.535	145.704	1540.420	740.084	40.091	1519.039	748.936	117.680	1453.617	749.577	185.621	1384.575	722.565	112.626	1334.166	690.157	168.024	1345.356
734.387	575.838	1415.584	754.803	587.696	1236.798	646.519	542.841	1363.156	730.542	236.292	1404.594	732.363	225.464	1263.681	649.452	272.774	1355.595	840.996	461.774	1386.770	846.026	402.751	1406.713	843.058	349.970	1382.881	776.959	588.980	1115.814	701.596	603.470	1119.934	703.141	597.908	995.212	769.657	584.489	991.902	722.953	569.680	825.846	734.821	436.613	808.982	810.128	578.657	703.651	739.201	577.714	696.618	759.504	576.298	588.054	818.562	576.548	598.313	875.493	511.678	386.754	829.491	552.696	411.936	797.024	466.829	413.622	662.535	587.767	344.112	649.693	493.843	349.144	755.352	223.445	1096.577	678.794	225.575	1099.666	678.004	228.319	976.751	738.474	225.533	970.758	730.205	237.793	826.424	724.401	362.905	786.436	792.544	223.081	671.604	719.351	251.124	671.000	732.820	255.006	564.333	792.167	236.517	563.688	864.754	296.096	378.953	809.404	256.905	409.314	778.767	350.053	417.656	647.390	235.720	346.391	631.585	314.068	351.574	844.022	402.844	1539.899	795.554	406.454	1871.311	862.409	486.102	1712.990	861.626	331.678	1700.783	627.322	399.711	2125.575	520.053	371.905	2017.458	640.391	299.446	2016.834	601.031	492.437	2027.207	714.945	590.269	1847.140	713.302	691.097	1675.077	810.853	721.827	1758.185	793.713	757.261	1660.622	808.166	795.121	1607.074	880.588	715.707	1578.641	739.993	697.204	1537.275	788.870	810.414	1492.047	743.592	731.708	1442.654	764.988	633.369	1398.264	710.476	705.673	1370.636	685.696	645.484	1367.548	722.667	233.026	1862.927	704.007	145.542	1678.831	792.316	77.093	1747.802	768.753	70.926	1648.400	797.739	18.063	1580.898	876.571	95.872	1570.253	797.406	146.101	1540.305	740.337	40.502	1518.729	749.072	118.316	1453.384	749.703	186.372	1384.594	722.804	113.446	1333.924	690.309	168.699	1345.459
734.388	575.930	1415.667	754.810	587.736	1236.805	646.528	542.888	1363.164	730.567	236.359	1404.599	732.302	225.549	1263.631	649.505	272.864	1355.556	840.910	461.803	1386.803	845.996	402.807	1406.740	843.061	350.117	1382.917	776.953	589.047	1115.809	701.560	603.511	1119.899	703.098	597.928	995.188	769.640	584.513	991.888	722.854	569.727	825.813	734.777	436.622	808.973	810.049	578.658	703.627	739.143	577.716	696.595	759.466	576.296	588.031	818.529	576.543	598.336	875.479	511.668	386.765	829.486	552.687	411.937	797.011	466.824	413.621	662.530	587.746	344.110	649.703	493.854	349.137	755.348	223.511	1096.582	678.801	225.640	1099.656	678.004	228.353	976.735	738.457	225.556	970.754	730.167	237.824	826.410	724.352	362.919	786.405	792.537	223.117	671.605	719.316	251.165	671.003	732.822	255.035	564.313	792.164	236.541	563.702	864.754	296.082	378.958	809.377	256.901	409.313	778.787	350.063	417.698	647.401	235.717	346.375	631.588	314.067	351.573	843.998	402.895	1539.922	795.445	406.528	1871.331	862.321	486.153	1713.019	861.554	331.766	1700.772	626.952	399.857	2125.558	519.712	372.050	2017.221	640.092	299.540	2016.751	600.714	492.518	2027.051	714.832	590.363	1847.097	713.306	691.024	1674.872	810.789	721.888	1758.024	793.792	757.190	1660.410	808.218	794.998	1606.857	880.600	715.552	1578.447	739.974	697.111	1536.990	789.064	810.233	1491.992	743.689	731.538	1442.417	765.110	633.184	1398.086	710.673	705.495	1370.383	685.839	645.324	1367.493	722.550	233.082	1862.865	704.084	145.829	1678.589	792.262	77.246	1747.507	768.902	71.261	1648.088	797.957	18.492	1580.546	876.704	96.346	1570.084	797.448	146.593	1540.208	740.514	40.894	1518.404	749.222	118.895	1453.143	749.818	187.083	1384.541	723.046	114.222	1333.710	690.388	169.352	1345.604
734.400	576.013	1415.688	754.782	587.771	1236.794	646.535	542.929	1363.174	730.574	236.395	1404.613	732.469	225.601	1263.739	649.524	272.910	1355.544	840.946	461.881	1386.836	845.988	402.869	1406.747	843.104	350.272	1382.987	776.949	589.083	1115.767	701.573	603.554	1119.918	703.050	597.914	995.119	769.628	584.546	991.877	722.796	569.723	825.781	734.724	436.623	808.981	809.979	578.673	703.610	739.065	577.711	696.592	759.404	576.290	588.013	818.465	576.542	598.301	875.484	511.668	386.762	829.475	552.683	411.937	797.011	466.814	413.621	662.536	587.742	344.126	649.713	493.837	349.140	755.307	223.512	1096.565	678.811	225.698	1099.639	677.999	228.388	976.739	738.428	225.591	970.740	730.123	237.861	826.399	724.331	362.955	786.376	792.494	223.119	671.602	719.277	251.187	671.001	732.793	255.058	564.305	792.123	236.535	563.703	864.767	296.073	378.938	809.380	256.897	409.297	778.783	350.065	417.704	647.390	235.713	346.373	631.597	314.071	351.582	843.996	402.959	1539.952	795.281	406.574	1871.325	862.246	486.196	1713.058	861.499	331.859	1700.744	626.548	399.975	2125.511	519.408	372.194	2017.116	639.766	299.615	2016.711	600.411	492.622	2026.896	714.784	590.478	1847.061	713.300	690.943	1674.644	810.698	721.927	1757.815	793.822	757.094	1660.202	808.290	794.877	1606.639	880.579	715.361	1578.316	739.980	697.011	1536.722	789.209	810.036	1491.375	743.835	731.405	1442.134	765.274	632.986	1397.796	710.872	705.335	1370.063	685.954	645.189	1367.401	722.445	233.111	1862.801	704.118	146.085	1678.363	792.230	77.390	1747.207	769.045	71.639	1647.743	798.180	18.933	1580.146	876.827	96.908	1569.844	797.471	147.065	1540.002	740.746	41.318	1518.034	749.313	119.440	1452.903	750.039	187.790	1384.438	723.176	114.954	1333.549	690.453	169.988	1345.724
734.417	576.074	1415.691	754.671	587.781	1236.801	646.517	542.975	1363.166	730.542	236.441	1404.645	731.902	225.495	1262.475	649.594	272.973	1355.530	840.929	461.978	1386.877	846.013	402.923	1406.793	843.145	350.417	1383.073	776.953	589.131	1115.753	701.559	603.585	1119.867	703.003	597.944	995.093	769.568	584.572	991.834	722.729	569.725	825.778	734.641	436.625	808.989	809.933	578.671	703.616	739.011	577.708	696.576	759.362	576.271	587.990	818.414	576.521	598.280	875.472	511.661	386.749	829.474	552.675	411.930	797.009	466.817	413.609	662.542	587.752	344.121	649.710	493.835	349.132	755.397	223.631	1096.549	678.826	225.750	1099.645	677.986	228.430	976.739	738.445	225.636	970.729	730.098	237.892	826.380	724.283	363.004	786.391	792.487	223.166	671.602	719.243	251.201	670.996	732.780	255.071	564.295	792.090	236.569	563.684	864.765	296.078	378.946	809.406	256.915	409.271	778.764	350.067	417.618	647.390	235.717	346.384	631.598	314.075	351.570	843.997	403.030	1539.964	795.170	406.669	1871.370	862.201	486.241	1713.085	861.473	331.936	1700.789	626.149	400.084	2125.434	519.064	372.313	2016.801	639.424	299.708	2016.713	600.141	492.726	2026.769	714.653	590.581	1846.975	713.292	690.844	1674.356	810.606	721.990	1757.641	793.902	757.035	1659.957	808.428	794.665	1606.348	880.608	715.177	1578.153	739.984	696.931	1536.467	789.354	809.855	1490.994	743.934	731.271	1441.862	765.410	632.835	1397.539	711.029	705.140	1369.761	686.115	645.073	1367.331	722.355	233.147	1862.777	704.283	146.447	1677.976	792.186	77.539	1746.902	769.111	71.983	1647.340	798.373	19.365	1579.764	876.990	97.429	1569.642	797.503	147.548	1539.742	740.973	41.763	1517.777	749.382	119.976	1452.691	750.193	188.416	1384.319	723.228	115.637	1333.385	690.484	170.666	1345.899
