NO_OF_SAMPLES	871
FREQUENCY	400
TIME_STAMP	2020-08-07, 13:00:24.342	3762.14899789
FIRST_SAMPLE	1244
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	7390
FORCE_PLATE_CORNER_POSX_POSY_X	586.302996
FORCE_PLATE_CORNER_POSX_POSY_Y	778.885007
FORCE_PLATE_CORNER_POSX_POSY_Z	-12.587900
FORCE_PLATE_CORNER_NEGX_POSY_X	578.343987
FORCE_PLATE_CORNER_NEGX_POSY_Y	399.753004
FORCE_PLATE_CORNER_NEGX_POSY_Z	-14.426700
FORCE_PLATE_CORNER_NEGX_NEGY_X	-1.246320
FORCE_PLATE_CORNER_NEGX_NEGY_Y	401.962012
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-16.833499
FORCE_PLATE_CORNER_POSX_NEGY_X	-0.274277
FORCE_PLATE_CORNER_POSX_NEGY_Y	785.919964
FORCE_PLATE_CORNER_POSX_NEGY_Z	-14.884100
FORCE_PLATE_OFFSET_X	-0.355600
FORCE_PLATE_OFFSET_Y	-0.050800
FORCE_PLATE_OFFSET_Z	-45.389800
FORCE_PLATE_LENGTH	599.948000
FORCE_PLATE_WIDTH	400.050000
Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
-31.842743	4.548561	-6.440046	0.922588	0.167298	0.415889	-198.807236	-111.250318	0.000000	
-32.194306	4.456980	-7.317981	1.189085	0.132300	0.397140	-181.962085	-134.894553	0.000000	
-32.148969	4.326866	-8.360579	1.212059	0.026714	0.406000	-171.697979	-121.533194	0.000000	
-32.191367	4.589319	-6.623029	1.145125	0.027150	0.425012	-216.874371	-141.499232	0.000000	
-32.237107	4.369791	-7.840516	1.145797	0.026918	0.387404	-183.547377	-120.891428	0.000000	
-32.056380	4.367997	-6.626751	1.190364	-0.060382	0.396939	-229.037034	-149.762378	0.000000	
-31.930520	4.635860	-6.092808	0.944338	0.184898	0.434657	-207.882638	-120.507106	0.000000	
-31.885625	4.327544	-6.789839	0.945017	0.149717	0.406446	-191.459562	-110.302416	0.000000	
-31.928604	4.371487	-6.442426	0.900825	0.114684	0.415724	-207.505651	-109.078685	0.000000	
-32.188751	4.324050	-6.973372	1.233864	-0.007994	0.434249	-211.019052	-148.844902	0.000000	
-32.144683	4.326382	-7.142767	1.144815	-0.008297	0.471400	-205.785520	-132.834296	0.000000	
-32.148072	4.323962	-6.971355	1.188994	0.114837	0.406515	-193.195870	-142.452190	0.000000	
-32.100850	4.237251	-7.668168	1.256483	-0.043245	0.424721	-196.008142	-138.826508	0.000000	
-32.101611	4.369898	-7.318161	1.211647	-0.008181	0.443481	-200.578906	-138.514340	0.000000	
-32.064514	4.548394	-6.787000	0.921936	0.237274	0.434530	-179.835177	-105.470833	0.000000	
-31.971020	4.414021	-6.794734	1.144799	0.062142	0.425090	-204.781043	-139.047738	0.000000	
-31.837233	4.547739	-5.747053	0.989104	0.044592	0.471791	-244.044622	-136.239314	0.000000	
-32.062066	4.546253	-6.095255	0.988514	0.202491	0.434703	-205.892412	-128.373634	0.000000	
-31.795907	4.329213	-6.786545	0.944402	0.131928	0.462346	-193.573525	-110.254146	0.000000	
-31.795760	4.459968	-6.442182	1.011434	0.097148	0.434479	-209.299579	-125.628826	0.000000	
-32.191859	4.457266	-7.320324	1.168120	-0.007969	0.387502	-201.050448	-131.985633	0.000000	
-32.277928	4.458212	-7.143732	1.144998	-0.008244	0.462053	-206.596869	-132.004264	0.000000	
-31.754527	4.639061	-6.959144	0.922968	0.096887	0.434273	-193.546759	-102.420050	0.000000	
-31.707130	4.238770	-6.444003	0.989702	0.097284	0.397191	-208.595166	-123.778955	0.000000	
-31.973258	4.416836	-7.311879	0.967842	0.061851	0.415452	-190.376381	-104.998236	0.000000	
-32.018293	4.590233	-6.444941	1.055776	0.149941	0.406629	-202.585924	-131.537787	0.000000	
-31.886424	4.812793	-6.442416	0.990011	0.062180	0.406419	-215.358596	-119.813208	0.000000	
-31.841159	4.591860	-6.790577	1.122137	0.114670	0.434539	-196.302646	-134.606835	0.000000	
-32.193394	4.590153	-7.665898	1.256038	0.044479	0.415581	-185.170529	-136.719938	0.000000	
-32.235191	4.370919	-8.012695	1.189662	-0.008415	0.443248	-184.009666	-123.762847	0.000000	
-31.751988	4.725453	-5.568747	0.899969	0.114701	0.471921	-238.562766	-123.145276	0.000000	
-31.885882	4.372694	-6.786739	0.922131	0.184607	0.443775	-186.407639	-106.678675	0.000000	
-31.842427	4.416188	-7.137770	1.011781	0.132158	0.397086	-184.329529	-113.718143	0.000000	
-31.882163	4.546657	-5.400844	0.922962	0.062351	0.434559	-256.755179	-132.731968	0.000000	
-32.061504	4.725175	-6.441126	0.900968	0.061962	0.443553	-216.669169	-106.630483	0.000000	
-32.147296	4.457365	-7.318229	1.277587	0.062027	0.443692	-191.266853	-146.980856	0.000000	
-32.149433	4.590843	-7.315067	1.188763	0.097018	0.443679	-186.579280	-134.073539	0.000000	
-32.195583	4.588812	-6.270771	1.098792	0.272693	0.434891	-189.910930	-142.059861	0.000000	
-31.973544	4.723597	-6.094469	1.011084	0.132311	0.443928	-216.775063	-130.772809	0.000000	
-32.060727	4.548143	-7.834971	1.255036	0.079237	0.471557	-175.977571	-133.886286	0.000000	
-32.150156	4.679617	-7.662842	1.211378	0.061888	0.434225	-182.716297	-130.416362	0.000000	
-32.149306	4.768089	-7.488574	1.211388	0.026790	0.452838	-191.641725	-132.915223	0.000000	
-32.189843	4.325365	-6.970117	1.122745	0.026940	0.443526	-206.112676	-132.963623	0.000000	
-32.106654	4.637305	-8.007717	1.144860	0.061669	0.443395	-174.643233	-116.734963	0.000000	
-32.105902	4.592364	-6.439105	0.965727	0.202118	0.490497	-195.283623	-117.657217	0.000000	
-31.932914	4.813525	-7.133842	1.121111	0.219657	0.462618	-172.741117	-126.578172	0.000000	
-32.150434	4.635868	-6.614774	1.010446	0.184649	0.471815	-193.053413	-120.996005	0.000000	
-31.971680	4.592326	-6.615926	1.055481	0.079451	0.471682	-207.694316	-128.080641	0.000000	
-31.933072	4.947163	-6.958881	0.966985	0.131973	0.443683	-189.676671	-106.739591	0.000000	
-31.975722	4.901273	-6.614089	1.033363	0.132154	0.443827	-199.811289	-122.652066	0.000000	
-32.322539	4.545701	-7.493130	1.277971	-0.008237	0.462097	-197.249348	-143.067429	0.000000	
-32.234249	4.634539	-7.142498	1.277154	0.026777	0.499563	-201.451811	-149.409409	0.000000	
-32.104458	4.635571	-6.267631	1.032541	0.149626	0.490502	-208.981380	-131.222188	0.000000	
-32.018268	4.769190	-6.613232	1.032731	0.149537	0.481123	-197.500608	-123.478882	0.000000	
-32.147789	4.723903	-5.744604	0.965673	0.149621	0.518515	-228.319125	-130.826788	0.000000	
-31.974005	4.856542	-5.221554	0.833273	0.167430	0.462682	-246.233327	-117.417318	0.000000	
