NO_OF_SAMPLES	871
FREQUENCY	400
TIME_STAMP	2020-08-07, 13:00:24.342	3762.14899789
FIRST_SAMPLE	1244
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	7391
FORCE_PLATE_CORNER_POSX_POSY_X	579.468012
FORCE_PLATE_CORNER_POSX_POSY_Y	379.240990
FORCE_PLATE_CORNER_POSX_POSY_Z	-16.077699
FORCE_PLATE_CORNER_NEGX_POSY_X	577.150047
FORCE_PLATE_CORNER_NEGX_POSY_Y	-4.550730
FORCE_PLATE_CORNER_NEGX_POSY_Z	-16.474199
FORCE_PLATE_CORNER_NEGX_NEGY_X	-4.632410
FORCE_PLATE_CORNER_NEGX_NEGY_Y	2.957070
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-16.989401
FORCE_PLATE_CORNER_POSX_NEGY_X	-3.978860
FORCE_PLATE_CORNER_POSX_NEGY_Y	381.323993
FORCE_PLATE_CORNER_POSX_NEGY_Z	-17.207799
FORCE_PLATE_OFFSET_X	-0.304800
FORCE_PLATE_OFFSET_Y	-0.457200
FORCE_PLATE_OFFSET_Z	-46.024800
FORCE_PLATE_LENGTH	599.948000
FORCE_PLATE_WIDTH	400.050000
Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
37.357614	12.092772	68.344449	6.693262	6.938952	7.606265	-126.991435	89.333485	0.000000	
37.229704	12.661941	68.694218	6.646851	6.990437	7.679994	-127.010183	87.819341	0.000000	
37.271553	12.399108	67.660590	6.781002	6.886469	7.680776	-127.437661	91.329398	0.000000	
37.315677	12.398527	67.831398	6.737418	6.886590	7.643654	-127.149255	90.456134	0.000000	
37.448764	12.527228	67.488668	6.737839	7.042884	7.625087	-130.200026	90.836282	0.000000	
37.360046	12.530433	67.833117	6.825078	6.938523	7.671451	-127.941744	91.656612	0.000000	
37.576416	12.137025	68.516801	6.825474	7.025741	7.606256	-128.086420	91.007521	0.000000	
37.750634	12.005074	69.031921	6.780761	7.147360	7.587279	-129.010846	89.765266	0.000000	
37.662896	11.961892	68.858116	6.781944	7.008604	7.559822	-127.261973	90.039035	0.000000	
37.402935	12.529479	67.834284	6.736082	6.868849	7.708432	-126.941531	90.343715	0.000000	
37.447768	12.442059	67.831098	6.826169	6.990884	7.615883	-128.776998	91.735410	0.000000	
37.314484	12.401155	68.520223	6.779822	6.869002	7.689674	-125.616614	90.159280	0.000000	
37.405823	12.877133	68.008570	6.581239	6.920739	7.698848	-127.381945	87.598938	0.000000	
37.537062	12.833475	68.180009	6.647478	7.025021	7.680210	-128.680499	88.378518	0.000000	
37.621577	12.267150	68.688515	6.759745	7.043153	7.569088	-128.050728	89.734757	0.000000	
37.882816	12.222930	69.032437	6.759258	7.025674	7.578226	-127.335271	89.307845	0.000000	
37.619532	12.047712	68.688730	6.670532	7.043071	7.605933	-128.047777	88.582706	0.000000	
37.662453	11.875078	69.717057	6.692660	7.095482	7.540679	-126.943665	87.700739	0.000000	
37.619650	12.182835	69.548710	6.801938	7.025600	7.615023	-126.217082	89.281714	0.000000	
37.576599	12.178835	68.001969	6.759545	6.973541	7.624974	-128.286333	90.702167	0.000000	
37.490860	12.530693	68.693129	6.757582	7.007879	7.670879	-127.441075	89.520638	0.000000	
37.663529	12.398927	68.521169	6.757429	6.868812	7.708165	-125.846570	89.832718	0.000000	
37.707400	12.223825	69.034683	6.735587	7.060168	7.642858	-127.713853	88.961441	0.000000	
37.663321	12.138678	69.032700	6.890924	7.043039	7.615345	-127.439997	91.270979	0.000000	
37.794089	12.181376	69.205951	6.823902	7.025457	7.642961	-126.954632	90.044511	0.000000	
37.574708	11.918013	68.687100	6.737214	6.973751	7.596871	-127.011551	89.642534	0.000000	
37.706558	12.093487	69.033910	6.801783	7.094995	7.642881	-128.219207	90.008235	0.000000	
37.400364	11.962983	68.859658	6.736600	7.025829	7.605950	-127.333795	89.377781	0.000000	
37.403682	12.530325	68.177200	6.780377	6.973208	7.671186	-127.835778	90.536144	0.000000	
37.448797	12.703495	67.490898	6.803175	6.955744	7.680818	-128.904624	91.681131	0.000000	
37.665131	12.312922	69.546915	6.759524	6.973724	7.541083	-125.504511	88.588079	0.000000	
37.576472	12.182833	69.203315	6.847498	6.973709	7.578326	-126.066964	90.387950	0.000000	
37.578250	12.266123	68.171088	6.739412	6.921779	7.532486	-127.210658	90.121761	0.000000	
