NO_OF_SAMPLES	693
FREQUENCY	400
TIME_STAMP	2020-08-07, 12:50:03.858	3141.04274616
FIRST_SAMPLE	2017
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	7390
FORCE_PLATE_CORNER_POSX_POSY_X	586.302996
FORCE_PLATE_CORNER_POSX_POSY_Y	778.885007
FORCE_PLATE_CORNER_POSX_POSY_Z	-12.587900
FORCE_PLATE_CORNER_NEGX_POSY_X	578.343987
FORCE_PLATE_CORNER_NEGX_POSY_Y	399.753004
FORCE_PLATE_CORNER_NEGX_POSY_Z	-14.426700
FORCE_PLATE_CORNER_NEGX_NEGY_X	-1.246320
FORCE_PLATE_CORNER_NEGX_NEGY_Y	401.962012
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-16.833499
FORCE_PLATE_CORNER_POSX_NEGY_X	-0.274277
FORCE_PLATE_CORNER_POSX_NEGY_Y	785.919964
FORCE_PLATE_CORNER_POSX_NEGY_Z	-14.884100
FORCE_PLATE_OFFSET_X	-0.355600
FORCE_PLATE_OFFSET_Y	-0.050800
FORCE_PLATE_OFFSET_Z	-45.389800
FORCE_PLATE_LENGTH	599.948000
FORCE_PLATE_WIDTH	400.050000
Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
23.725948	-2.925789	405.369410	2.390839	18.323210	1.329020	-48.213495	6.174732	0.000000	
23.422093	-2.974418	406.054264	2.480791	18.183390	1.300956	-47.754471	6.391194	0.000000	
23.595783	-3.019847	405.354771	2.658992	18.201196	1.217172	-47.899642	6.847015	0.000000	
23.424543	-3.109153	405.873231	2.659114	18.095973	1.263630	-47.560508	6.848492	0.000000	
23.464246	-2.886011	404.660054	2.703654	18.113176	1.254106	-47.748993	6.954213	0.000000	
23.332125	-3.019995	405.356173	2.657816	18.253555	1.282450	-47.999121	6.844107	0.000000	
23.423452	-2.934667	406.218292	2.747904	18.113821	1.235899	-47.564225	7.041711	0.000000	
23.814479	-2.754080	406.578696	2.524609	18.306505	1.254910	-48.039946	6.466060	0.000000	
23.815477	-2.842853	406.403422	2.613088	18.306488	1.264273	-48.060581	6.696498	0.000000	
23.861336	-2.842106	406.403596	2.613366	18.236257	1.282775	-47.892871	6.697094	0.000000	
23.863019	-2.800179	406.921597	2.724145	18.218991	1.282989	-47.790116	6.956065	0.000000	
23.949157	-2.886392	406.229301	2.679794	18.253825	1.273538	-47.966328	6.868461	0.000000	
23.864814	-3.020312	406.573897	2.768093	18.218799	1.310893	-47.830410	7.094727	0.000000	
24.214501	-2.930601	407.274816	2.612568	18.306649	1.283229	-48.003379	6.690562	0.000000	
24.262045	-3.152033	407.621223	2.678403	18.306662	1.320664	-47.968212	6.871001	0.000000	
24.039653	-3.064403	406.574164	2.768257	18.254013	1.273733	-47.936508	7.100048	0.000000	
23.953687	-3.332960	407.262190	2.790969	18.254522	1.217984	-47.847795	7.173664	0.000000	
23.954941	-3.240745	406.571504	2.702731	18.131214	1.273374	-47.625328	6.958613	0.000000	
24.437872	-2.799367	407.794249	2.811931	18.236704	1.311443	-47.796030	7.156249	0.000000	
24.264496	-3.153035	407.792145	2.767367	18.236613	1.329973	-47.776753	7.086372	0.000000	
24.704091	-3.499963	406.758201	2.589945	18.253559	1.338973	-47.988009	6.707042	0.000000	
