NO_OF_FRAMES	659
NO_OF_CAMERAS	16
NO_OF_MARKERS	71
FREQUENCY	400
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-08-07, 12:50:47.519	3184.74929124
DATA_INCLUDED	3D
MARKER_NAMES	R_asis	L_asis	R_PSIS	Sacrum	L_PSIS	L_troch	R_troch	R_illiac	L_illiac	L_thigh1	L_thigh2	L_thigh3	L_thigh4	R_thigh1	R_thigh2	R_thigh3	R_thigh4	RL_knee	RM_Knee	R_shank1	R_shank2	R_shank3	R_shank4	R_heel	RL_ankle	RM_ankle	R_Metatarsal5	R_Metatarsal1	LL_knee	LM_Knee	L_shank1	L_shank2	L_shank3	L_shank4	L_heel	LL_ankle	LM_Ankle	L_Metatarsal5	L_Metatarsal1	Back_down	Neck	Back_right	Back_left	Head_up	Head_front	Head_left	Head_right	R_shoulder	R_humerus1	R_humerus2	R_humerus3	Rl_elbow	RM_elbow	R_radius1	R_radius2	R_radius3	RL_wrist	Rm_wrist	R_hand	L_shoulder	L_humerus1	L_humerus2	L_humerus3	LL_elbow	LM_elbow	L_radius1	L_radius2	L_radius3	LL_wrist	Lm_wrist	L_hand
R_asis X	R_asis Y	R_asis Z	L_asis X	L_asis Y	L_asis Z	R_PSIS X	R_PSIS Y	R_PSIS Z	Sacrum X	Sacrum Y	Sacrum Z	L_PSIS X	L_PSIS Y	L_PSIS Z	L_troch X	L_troch Y	L_troch Z	R_troch X	R_troch Y	R_troch Z	R_illiac X	R_illiac Y	R_illiac Z	L_illiac X	L_illiac Y	L_illiac Z	L_thigh1 X	L_thigh1 Y	L_thigh1 Z	L_thigh2 X	L_thigh2 Y	L_thigh2 Z	L_thigh3 X	L_thigh3 Y	L_thigh3 Z	L_thigh4 X	L_thigh4 Y	L_thigh4 Z	R_thigh1 X	R_thigh1 Y	R_thigh1 Z	R_thigh2 X	R_thigh2 Y	R_thigh2 Z	R_thigh3 X	R_thigh3 Y	R_thigh3 Z	R_thigh4 X	R_thigh4 Y	R_thigh4 Z	RL_knee X	RL_knee Y	RL_knee Z	RM_Knee X	RM_Knee Y	RM_Knee Z	R_shank1 X	R_shank1 Y	R_shank1 Z	R_shank2 X	R_shank2 Y	R_shank2 Z	R_shank3 X	R_shank3 Y	R_shank3 Z	R_shank4 X	R_shank4 Y	R_shank4 Z	R_heel X	R_heel Y	R_heel Z	RL_ankle X	RL_ankle Y	RL_ankle Z	RM_ankle X	RM_ankle Y	RM_ankle Z	R_Metatarsal5 X	R_Metatarsal5 Y	R_Metatarsal5 Z	R_Metatarsal1 X	R_Metatarsal1 Y	R_Metatarsal1 Z	LL_knee X	LL_knee Y	LL_knee Z	LM_Knee X	LM_Knee Y	LM_Knee Z	L_shank1 X	L_shank1 Y	L_shank1 Z	L_shank2 X	L_shank2 Y	L_shank2 Z	L_shank3 X	L_shank3 Y	L_shank3 Z	L_shank4 X	L_shank4 Y	L_shank4 Z	L_heel X	L_heel Y	L_heel Z	LL_ankle X	LL_ankle Y	LL_ankle Z	LM_Ankle X	LM_Ankle Y	LM_Ankle Z	L_Metatarsal5 X	L_Metatarsal5 Y	L_Metatarsal5 Z	L_Metatarsal1 X	L_Metatarsal1 Y	L_Metatarsal1 Z	Back_down X	Back_down Y	Back_down Z	Neck X	Neck Y	Neck Z	Back_right X	Back_right Y	Back_right Z	Back_left X	Back_left Y	Back_left Z	Head_up X	Head_up Y	Head_up Z	Head_front X	Head_front Y	Head_front Z	Head_left X	Head_left Y	Head_left Z	Head_right X	Head_right Y	Head_right Z	R_shoulder X	R_shoulder Y	R_shoulder Z	R_humerus1 X	R_humerus1 Y	R_humerus1 Z	R_humerus2 X	R_humerus2 Y	R_humerus2 Z	R_humerus3 X	R_humerus3 Y	R_humerus3 Z	Rl_elbow X	Rl_elbow Y	Rl_elbow Z	RM_elbow X	RM_elbow Y	RM_elbow Z	R_radius1 X	R_radius1 Y	R_radius1 Z	R_radius2 X	R_radius2 Y	R_radius2 Z	R_radius3 X	R_radius3 Y	R_radius3 Z	RL_wrist X	RL_wrist Y	RL_wrist Z	Rm_wrist X	Rm_wrist Y	Rm_wrist Z	R_hand X	R_hand Y	R_hand Z	L_shoulder X	L_shoulder Y	L_shoulder Z	L_humerus1 X	L_humerus1 Y	L_humerus1 Z	L_humerus2 X	L_humerus2 Y	L_humerus2 Z	L_humerus3 X	L_humerus3 Y	L_humerus3 Z	LL_elbow X	LL_elbow Y	LL_elbow Z	LM_elbow X	LM_elbow Y	LM_elbow Z	L_radius1 X	L_radius1 Y	L_radius1 Z	L_radius2 X	L_radius2 Y	L_radius2 Z	L_radius3 X	L_radius3 Y	L_radius3 Z	LL_wrist X	LL_wrist Y	LL_wrist Z	Lm_wrist X	Lm_wrist Y	Lm_wrist Z	L_hand X	L_hand Y	L_hand Z	
179.001	508.332	1123.505	182.741	249.195	1110.895	364.279	442.321	1072.367	372.232	381.490	1089.145	367.857	327.608	1066.762	258.519	198.405	946.349	279.274	576.618	929.515	257.346	554.889	1103.443	254.182	215.561	1090.903	291.424	195.792	792.350	215.926	196.906	793.238	218.524	198.844	669.863	278.884	196.702	665.862	302.155	572.088	811.198	226.286	585.758	814.179	230.292	584.333	689.518	297.645	572.054	686.823	254.844	561.584	518.087	266.848	430.118	496.248	342.252	574.879	398.105	270.903	573.473	391.846	289.709	576.332	282.935	349.428	576.690	292.224	406.445	523.168	76.493	360.672	560.033	102.533	331.072	473.012	102.813	189.432	587.628	34.863	182.126	493.220	39.753	276.201	207.396	518.023	266.356	330.193	474.011	344.691	191.138	375.275	269.499	215.828	369.701	287.863	214.295	263.707	347.606	198.608	266.724	420.218	253.575	68.508	365.315	216.521	100.211	332.944	308.751	105.922	204.242	189.781	36.345	187.698	267.701	41.647	383.015	381.960	1215.175	386.308	382.298	1545.252	423.014	467.390	1382.661	421.016	306.557	1370.292	347.252	371.084	1815.207	198.224	343.743	1779.096	300.811	271.166	1715.894	273.045	463.861	1744.707	294.143	566.002	1545.452	257.681	653.063	1359.780	365.238	699.449	1421.513	329.446	721.196	1323.969	332.883	754.173	1266.019	406.021	675.274	1234.945	263.312	657.580	1190.498	311.827	773.602	1149.504	267.820	695.345	1096.734	294.745	601.816	1038.511	231.468	668.858	1026.446	217.181	613.886	1038.721	306.342	206.374	1551.521	258.622	129.984	1362.857	356.754	55.742	1408.945	317.252	59.621	1313.977	335.846	12.297	1237.311	410.556	94.901	1222.699	328.135	141.128	1195.258	274.921	32.409	1175.479	280.424	109.174	1108.861	285.043	180.251	1037.497	248.825	108.560	993.693	226.586	156.821	1024.350
178.958	508.397	1123.306	182.590	249.262	1110.609	364.276	442.330	1072.411	372.175	381.457	1089.171	367.810	327.598	1066.778	258.415	198.455	946.313	279.280	576.650	929.500	257.326	554.873	1103.455	254.102	215.653	1090.869	291.798	196.063	792.239	215.903	196.910	793.208	218.486	198.860	669.858	278.874	196.716	665.871	302.144	572.117	811.191	226.290	585.787	814.158	230.262	584.365	689.506	297.624	572.074	686.810	254.812	561.616	518.088	266.787	430.141	496.247	342.240	574.884	398.099	270.872	573.484	391.840	289.714	576.354	282.956	349.436	576.728	292.356	406.424	523.168	76.497	360.642	560.036	102.526	331.066	473.016	102.825	189.435	587.622	34.870	182.133	493.219	39.741	276.198	207.439	518.011	266.360	330.217	473.998	344.718	191.152	375.264	269.475	215.827	369.724	287.873	214.302	263.710	347.631	198.634	266.713	420.204	253.612	68.501	365.315	216.546	100.211	332.957	308.749	105.932	204.234	189.792	36.344	187.708	267.704	41.643	382.941	381.978	1215.173	386.231	382.271	1545.248	422.904	467.385	1382.672	420.972	306.544	1370.309	347.162	371.025	1815.225	198.139	343.686	1779.113	300.714	271.111	1715.871	272.930	463.791	1744.714	294.051	565.972	1545.503	257.585	653.025	1359.814	365.119	699.419	1421.584	329.319	721.166	1324.034	332.760	754.155	1266.093	405.935	675.278	1234.990	263.223	657.546	1190.566	311.708	773.658	1150.056	267.792	695.334	1096.764	294.846	601.832	1038.618	231.441	668.842	1026.468	217.158	613.899	1038.755	306.261	206.336	1551.513	258.551	129.954	1362.852	356.709	55.714	1408.927	317.190	59.600	1313.977	335.833	12.309	1237.269	410.473	94.921	1222.627	328.092	141.140	1195.259	274.891	32.412	1175.447	280.384	109.186	1108.871	285.022	180.294	1037.460	248.772	108.561	993.674	226.528	156.820	1024.368
178.985	508.384	1123.597	182.621	249.252	1110.843	364.244	442.344	1072.454	372.166	381.461	1089.184	367.780	327.615	1066.796	258.215	198.504	946.346	279.278	576.696	929.491	257.340	554.898	1103.488	254.081	215.593	1090.899	291.750	196.084	792.278	215.891	196.955	793.211	218.455	198.883	669.963	278.856	196.749	665.858	302.130	572.158	811.152	226.281	585.808	814.157	230.257	584.384	689.501	297.599	572.089	686.823	254.760	561.626	518.082	266.730	430.161	496.276	342.195	574.916	398.115	270.841	573.506	391.830	289.684	576.394	282.963	349.382	576.704	292.236	406.349	523.264	76.434	360.651	560.055	102.556	331.150	472.967	102.872	189.422	587.607	34.898	182.124	493.220	39.737	276.238	207.456	518.042	266.358	330.246	474.000	344.723	191.179	375.272	269.493	215.857	369.696	287.874	214.318	263.709	347.623	198.641	266.717	420.173	253.601	68.487	365.311	216.552	100.211	332.946	308.762	105.948	204.230	189.790	36.352	187.701	267.712	41.653	382.870	381.971	1215.169	386.162	382.241	1545.258	422.898	467.407	1382.745	420.913	306.529	1370.318	347.076	370.945	1815.222	198.027	343.621	1779.114	300.613	271.055	1715.853	272.840	463.732	1744.715	293.943	565.928	1545.536	257.514	652.993	1359.861	365.021	699.394	1421.670	329.211	721.138	1324.086	332.687	754.146	1266.189	405.836	675.274	1235.087	263.195	657.523	1190.628	311.686	773.577	1149.714	267.743	695.329	1096.826	294.860	601.842	1038.696	231.424	668.842	1026.496	217.133	613.907	1038.802	306.177	206.312	1551.522	258.498	129.917	1362.855	356.662	55.719	1408.920	317.122	59.586	1313.964	335.798	12.303	1237.258	410.418	94.952	1222.594	328.044	141.142	1195.250	274.859	32.428	1175.451	280.327	109.205	1108.863	284.947	180.282	1037.501	248.735	108.613	993.678	226.509	156.837	1024.380
179.020	508.482	1123.597	182.513	249.349	1110.820	364.255	442.347	1072.499	372.140	381.466	1089.230	367.727	327.595	1066.823	258.198	198.539	946.282	279.341	576.748	929.503	257.306	554.921	1103.539	254.005	215.661	1090.871	291.659	196.066	792.331	215.872	196.967	793.198	218.458	198.915	669.964	278.841	196.756	665.871	302.135	572.192	811.144	226.279	585.870	814.252	230.221	584.415	689.504	297.570	572.127	686.805	254.710	561.635	518.084	266.665	430.181	496.261	342.170	574.904	398.104	270.812	573.508	391.828	289.649	576.387	282.944	349.393	576.740	292.342	406.417	523.150	76.504	360.629	560.045	102.550	331.037	473.031	102.841	189.427	587.612	34.876	182.112	493.215	39.738	276.200	207.467	518.039	266.363	330.247	474.017	344.721	191.216	375.267	269.481	215.839	369.713	287.884	214.333	263.707	347.619	198.662	266.719	420.184	253.615	68.497	365.310	216.563	100.197	332.944	308.761	105.924	204.242	189.781	36.349	187.694	267.713	41.641	382.838	381.964	1215.201	386.089	382.226	1545.282	422.780	467.426	1382.720	420.817	306.514	1370.328	347.009	370.861	1815.263	197.933	343.558	1779.120	300.460	270.984	1715.801	272.761	463.666	1744.746	293.861	565.889	1545.633	257.421	652.965	1359.915	364.900	699.374	1421.729	329.163	721.127	1324.147	332.570	754.111	1266.260	405.759	675.274	1235.142	263.146	657.486	1190.654	311.554	773.647	1150.188	267.711	695.322	1096.877	294.806	601.834	1038.785	231.416	668.830	1026.523	217.109	613.901	1038.823	306.089	206.278	1551.525	258.445	129.895	1362.846	356.609	55.701	1408.894	317.065	59.585	1313.951	335.764	12.330	1237.231	410.413	94.958	1222.714	328.006	141.162	1195.249	274.822	32.457	1175.426	280.265	109.224	1108.862	284.898	180.320	1037.493	248.723	108.639	993.661	226.474	156.863	1024.363
178.942	508.434	1123.559	182.468	249.308	1110.661	364.213	442.346	1072.538	372.099	381.433	1089.262	367.701	327.605	1066.820	258.078	198.550	946.246	279.327	576.797	929.483	257.327	554.928	1103.558	253.918	215.668	1090.886	291.318	195.835	792.372	215.849	196.976	793.224	218.477	198.941	669.932	278.833	196.793	665.856	302.108	572.234	811.105	226.262	585.905	814.251	230.212	584.431	689.490	297.559	572.166	686.782	254.655	561.661	518.073	266.628	430.200	496.233	342.123	574.931	398.110	270.773	573.520	391.805	289.625	576.394	282.933	349.329	576.722	292.231	406.350	523.259	76.445	360.655	560.037	102.556	331.128	472.977	102.886	189.435	587.630	34.756	182.116	493.221	39.726	276.225	207.501	518.059	266.365	330.289	474.019	344.723	191.227	375.270	269.502	215.883	369.703	287.855	214.332	263.731	347.652	198.692	266.714	420.192	253.627	68.481	365.315	216.574	100.201	332.933	308.770	105.919	204.228	189.789	36.361	187.689	267.714	41.646	382.777	381.977	1215.193	386.016	382.187	1545.321	422.703	467.445	1382.795	420.775	306.511	1370.367	346.886	370.796	1815.232	197.844	343.508	1779.127	300.320	270.897	1715.803	272.672	463.616	1744.761	293.754	565.860	1545.695	257.329	652.935	1359.949	364.808	699.354	1421.813	329.061	721.107	1324.211	332.473	754.089	1266.362	405.640	675.279	1235.215	263.090	657.455	1190.716	311.521	773.635	1150.289	267.659	695.302	1096.913	294.795	601.828	1038.835	231.398	668.840	1026.559	217.084	613.908	1038.847	306.003	206.237	1551.518	258.360	129.876	1362.837	356.556	55.686	1408.908	317.055	59.594	1313.941	335.750	12.319	1237.218	410.371	94.983	1222.694	327.967	141.187	1195.259	274.749	32.441	1175.424	280.242	109.237	1108.857	284.897	180.351	1037.465	248.662	108.632	993.661	226.421	156.871	1024.380
178.781	508.282	1123.307	182.577	249.151	1110.585	364.188	442.320	1072.583	372.093	381.420	1089.293	367.800	327.652	1066.968	258.110	198.511	946.310	279.346	576.854	929.481	257.306	554.931	1103.596	253.881	215.690	1090.884	291.298	195.847	792.360	215.846	197.003	793.198	218.455	198.976	669.939	278.831	196.817	665.858	302.110	572.284	811.118	226.285	585.926	814.232	230.177	584.448	689.479	297.542	572.193	686.796	254.621	561.678	518.070	266.568	430.225	496.257	342.094	574.951	398.115	270.757	573.555	391.828	289.598	576.418	282.931	349.286	576.725	292.244	406.345	523.274	76.450	360.631	560.071	102.561	331.119	472.983	102.894	189.421	587.619	34.867	182.110	493.216	39.764	276.220	207.522	518.040	266.391	330.327	474.011	344.731	191.247	375.278	269.506	215.892	369.704	287.879	214.359	263.727	347.650	198.702	266.719	420.187	253.629	68.473	365.305	216.568	100.202	332.920	308.777	105.926	204.243	189.787	36.349	187.725	267.699	41.613	382.712	381.970	1215.216	385.934	382.168	1545.363	422.592	467.464	1382.827	420.692	306.485	1370.374	346.786	370.724	1815.236	197.732	343.440	1779.130	300.250	270.853	1715.783	272.559	463.545	1744.760	293.658	565.831	1545.751	257.243	652.894	1359.999	364.675	699.327	1421.890	329.080	721.113	1324.326	332.378	754.075	1266.428	405.539	675.256	1235.287	263.019	657.437	1190.743	311.446	773.638	1150.408	267.619	695.294	1096.965	294.802	601.832	1038.907	231.395	668.828	1026.581	217.078	613.925	1038.882	305.919	206.195	1551.529	258.334	129.859	1362.807	356.497	55.689	1408.911	316.965	59.571	1313.949	335.688	12.307	1237.210	410.282	94.985	1222.641	327.888	141.187	1195.221	274.693	32.448	1175.409	280.188	109.265	1108.852	284.852	180.373	1037.481	248.628	108.672	993.664	226.405	156.895	1024.362
178.673	508.323	1122.851	182.446	249.190	1110.180	364.192	442.329	1072.606	372.036	381.396	1089.317	367.798	327.649	1067.029	258.021	198.569	946.281	279.290	576.855	929.457	257.348	554.970	1103.611	253.832	215.713	1090.876	291.722	196.141	792.247	215.841	197.021	793.207	218.468	198.992	669.920	278.823	196.837	665.866	302.100	572.327	811.132	226.253	585.899	814.136	230.191	584.479	689.482	297.516	572.216	686.766	254.584	561.705	518.082	266.526	430.252	496.264	342.040	574.967	398.107	270.708	573.556	391.824	289.572	576.445	282.947	349.264	576.748	292.252	406.401	523.168	76.540	360.630	560.067	102.565	331.019	473.061	102.837	189.409	587.620	34.748	182.100	493.199	39.747	276.251	207.571	518.069	266.382	330.359	474.028	344.743	191.269	375.269	269.512	215.922	369.699	287.870	214.370	263.736	347.651	198.727	266.724	420.168	253.609	68.486	365.328	216.583	100.198	332.926	308.791	105.923	204.237	189.778	36.374	187.678	267.705	41.662	382.664	381.983	1215.235	385.829	382.137	1545.406	422.505	467.466	1382.850	420.628	306.480	1370.395	346.663	370.628	1815.243	197.628	343.375	1779.133	300.123	270.801	1715.779	272.447	463.466	1744.774	293.556	565.797	1545.812	257.150	652.863	1360.053	364.554	699.312	1421.972	328.974	721.093	1324.396	332.284	754.047	1266.519	405.512	675.266	1235.391	262.962	657.423	1190.794	311.398	773.632	1150.483	267.583	695.285	1096.996	294.819	601.820	1038.974	231.399	668.819	1026.613	217.066	613.919	1038.923	305.812	206.160	1551.536	258.255	129.852	1362.812	356.439	55.673	1408.891	316.907	59.566	1313.938	335.660	12.324	1237.184	410.230	95.034	1222.607	327.857	141.193	1195.220	274.644	32.465	1175.416	280.130	109.282	1108.852	284.824	180.396	1037.449	248.602	108.708	993.645	226.347	156.893	1024.381
178.729	508.335	1123.144	182.454	249.207	1110.359	364.185	442.345	1072.668	372.040	381.397	1089.351	367.769	327.652	1067.038	257.990	198.553	946.276	279.367	576.921	929.459	257.331	554.968	1103.644	253.776	215.711	1090.867	291.606	196.126	792.335	215.821	197.045	793.186	218.446	198.992	669.958	278.826	196.850	665.847	302.094	572.357	811.086	226.276	585.981	814.230	230.166	584.501	689.487	297.508	572.260	686.748	254.543	561.721	518.087	266.460	430.279	496.261	342.009	574.998	398.094	270.657	573.572	391.808	289.525	576.448	282.938	349.275	576.775	292.358	406.398	523.171	76.556	360.650	560.071	102.606	331.014	473.079	102.867	189.411	587.607	34.865	182.106	493.211	39.748	276.245	207.596	518.041	266.377	330.388	474.013	344.752	191.296	375.260	269.507	215.908	369.725	287.894	214.387	263.723	347.649	198.754	266.725	420.189	253.636	68.484	365.313	216.590	100.230	332.936	308.807	105.926	204.249	189.793	36.360	187.695	267.702	41.646	382.596	381.980	1215.236	385.743	382.111	1545.425	422.448	467.511	1382.919	420.568	306.476	1370.410	346.556	370.564	1815.242	197.531	343.323	1779.132	300.007	270.722	1715.758	272.338	463.406	1744.793	293.434	565.771	1545.890	257.056	652.839	1360.089	364.429	699.307	1422.061	328.869	721.081	1324.465	332.177	754.033	1266.594	405.425	675.285	1235.450	262.907	657.400	1190.838	311.304	773.614	1150.500	267.554	695.292	1097.082	294.793	601.814	1039.022	231.377	668.798	1026.653	217.064	613.923	1038.934	305.724	206.121	1551.562	258.210	129.835	1362.806	356.380	55.669	1408.865	316.872	59.559	1313.924	335.603	12.310	1237.173	410.174	95.025	1222.660	327.792	141.218	1195.229	274.602	32.473	1175.399	280.096	109.299	1108.852	284.742	180.403	1037.481	248.560	108.734	993.634	226.334	156.902	1024.385
178.698	508.283	1123.175	182.486	249.153	1110.444	364.165	442.324	1072.695	372.035	381.386	1089.380	367.778	327.638	1067.090	257.923	198.598	946.235	279.404	576.938	929.436	257.330	554.993	1103.667	253.696	215.720	1090.903	291.688	196.166	792.263	215.831	197.065	793.194	218.455	199.021	669.936	278.817	196.870	665.852	302.095	572.387	811.032	226.291	586.004	814.237	230.159	584.527	689.482	297.522	572.304	686.720	254.496	561.744	518.078	266.400	430.296	496.247	341.967	575.003	398.098	270.642	573.595	391.830	289.484	576.468	282.928	349.190	576.770	292.281	406.344	523.280	76.499	360.620	560.095	102.598	331.112	473.035	102.942	189.418	587.612	34.878	182.101	493.217	39.736	276.236	207.598	518.033	266.372	330.414	474.010	344.755	191.337	375.256	269.533	215.942	369.716	287.886	214.395	263.742	347.668	198.779	266.705	420.181	253.651	68.461	365.319	216.599	100.228	332.923	308.806	105.929	204.235	189.787	36.351	187.702	267.717	41.634	382.534	381.970	1215.252	385.651	382.088	1545.462	422.344	467.514	1382.981	420.507	306.462	1370.477	346.462	370.488	1815.245	197.410	343.247	1779.131	299.898	270.670	1715.756	272.229	463.349	1744.796	293.319	565.732	1545.943	256.945	652.799	1360.158	364.294	699.284	1422.158	328.783	721.060	1324.536	332.079	754.004	1266.677	405.356	675.270	1235.536	262.862	657.374	1190.892	311.241	773.592	1150.568	267.524	695.274	1097.119	294.791	601.820	1039.069	231.395	668.799	1026.681	217.054	613.919	1038.989	305.611	206.094	1551.543	258.144	129.810	1362.797	356.303	55.646	1408.879	316.787	59.557	1313.898	335.541	12.330	1237.155	410.125	95.033	1222.652	327.743	141.213	1195.223	274.535	32.490	1175.385	280.075	109.312	1108.849	284.741	180.425	1037.470	248.517	108.749	993.649	226.343	156.922	1024.378
178.732	508.370	1123.192	182.370	249.242	1110.349	364.179	442.328	1072.753	372.005	381.380	1089.413	367.724	327.621	1067.092	257.955	198.545	946.268	279.417	576.970	929.423	257.339	555.004	1103.720	253.650	215.721	1090.909	291.680	196.187	792.282	215.843	197.082	793.187	218.463	199.042	669.950	278.823	196.899	665.843	302.117	572.429	811.053	226.275	586.019	814.222	230.140	584.552	689.463	297.481	572.346	686.693	254.444	561.760	518.106	266.336	430.307	496.274	341.918	575.026	398.132	270.595	573.609	391.828	289.472	576.510	282.932	349.155	576.776	292.252	406.400	523.173	76.554	360.622	560.089	102.613	331.012	473.096	102.890	189.422	587.595	34.867	182.082	493.210	39.755	276.278	207.630	518.059	266.371	330.432	474.013	344.769	191.366	375.256	269.529	215.952	369.722	287.903	214.409	263.739	347.673	198.802	266.708	420.193	253.668	68.460	365.323	216.597	100.205	332.931	308.812	105.899	204.246	189.799	36.366	187.703	267.719	41.634	382.451	381.982	1215.232	385.563	382.066	1545.499	422.277	467.514	1383.070	420.429	306.453	1370.498	346.318	370.418	1815.240	197.315	343.181	1779.143	299.815	270.618	1715.756	272.103	463.270	1744.806	293.173	565.765	1546.044	256.766	652.778	1360.229	364.138	699.337	1422.204	328.702	721.041	1324.611	331.992	753.995	1266.773	405.285	675.288	1235.582	262.808	657.348	1190.918	311.213	773.566	1150.604	267.482	695.264	1097.192	294.777	601.791	1039.131	231.403	668.792	1026.703	217.044	613.920	1039.018	305.501	206.065	1551.564	258.062	129.792	1362.799	356.205	55.635	1408.881	316.746	59.544	1313.899	335.496	12.321	1237.161	410.070	95.051	1222.616	327.717	141.238	1195.228	274.491	32.511	1175.372	280.008	109.341	1108.863	284.738	180.457	1037.434	248.485	108.772	993.646	226.304	156.934	1024.388
