NO_OF_FRAMES	592
NO_OF_CAMERAS	16
NO_OF_MARKERS	71
FREQUENCY	400
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-08-07, 12:52:13.993	3271.31435500
DATA_INCLUDED	3D
MARKER_NAMES	R_illiac	R_troch	R_asis	L_illiac	L_troch	L_asis	R_PSIS	Sacrum	L_PSIS	R_thigh1	R_thigh2	R_thigh3	R_thigh4	RL_knee	RM_Knee	R_shank1	R_shank2	R_shank3	R_shank4	R_heel	RL_ankle	RM_ankle	R_Metatarsal5	R_Metatarsal1	L_thigh1	L_thigh2	L_thigh3	L_thigh4	LL_knee	LM_Knee	L_shank1	L_shank2	L_shank3	L_shank4	L_heel	LL_ankle	LM_Ankle	L_Metatarsal5	L_Metatarsal1	Back_down	Neck	Back_right	Back_left	Head_up	Head_front	Head_left	Head_right	R_shoulder	R_humerus1	R_humerus2	R_humerus3	Rl_elbow	RM_elbow	R_radius1	R_radius2	R_radius3	RL_wrist	Rm_wrist	R_hand	L_shoulder	L_humerus1	L_humerus2	L_humerus3	LL_elbow	LM_elbow	L_radius1	L_radius2	L_radius3	LL_wrist	Lm_wrist	L_hand
R_illiac X	R_illiac Y	R_illiac Z	R_troch X	R_troch Y	R_troch Z	R_asis X	R_asis Y	R_asis Z	L_illiac X	L_illiac Y	L_illiac Z	L_troch X	L_troch Y	L_troch Z	L_asis X	L_asis Y	L_asis Z	R_PSIS X	R_PSIS Y	R_PSIS Z	Sacrum X	Sacrum Y	Sacrum Z	L_PSIS X	L_PSIS Y	L_PSIS Z	R_thigh1 X	R_thigh1 Y	R_thigh1 Z	R_thigh2 X	R_thigh2 Y	R_thigh2 Z	R_thigh3 X	R_thigh3 Y	R_thigh3 Z	R_thigh4 X	R_thigh4 Y	R_thigh4 Z	RL_knee X	RL_knee Y	RL_knee Z	RM_Knee X	RM_Knee Y	RM_Knee Z	R_shank1 X	R_shank1 Y	R_shank1 Z	R_shank2 X	R_shank2 Y	R_shank2 Z	R_shank3 X	R_shank3 Y	R_shank3 Z	R_shank4 X	R_shank4 Y	R_shank4 Z	R_heel X	R_heel Y	R_heel Z	RL_ankle X	RL_ankle Y	RL_ankle Z	RM_ankle X	RM_ankle Y	RM_ankle Z	R_Metatarsal5 X	R_Metatarsal5 Y	R_Metatarsal5 Z	R_Metatarsal1 X	R_Metatarsal1 Y	R_Metatarsal1 Z	L_thigh1 X	L_thigh1 Y	L_thigh1 Z	L_thigh2 X	L_thigh2 Y	L_thigh2 Z	L_thigh3 X	L_thigh3 Y	L_thigh3 Z	L_thigh4 X	L_thigh4 Y	L_thigh4 Z	LL_knee X	LL_knee Y	LL_knee Z	LM_Knee X	LM_Knee Y	LM_Knee Z	L_shank1 X	L_shank1 Y	L_shank1 Z	L_shank2 X	L_shank2 Y	L_shank2 Z	L_shank3 X	L_shank3 Y	L_shank3 Z	L_shank4 X	L_shank4 Y	L_shank4 Z	L_heel X	L_heel Y	L_heel Z	LL_ankle X	LL_ankle Y	LL_ankle Z	LM_Ankle X	LM_Ankle Y	LM_Ankle Z	L_Metatarsal5 X	L_Metatarsal5 Y	L_Metatarsal5 Z	L_Metatarsal1 X	L_Metatarsal1 Y	L_Metatarsal1 Z	Back_down X	Back_down Y	Back_down Z	Neck X	Neck Y	Neck Z	Back_right X	Back_right Y	Back_right Z	Back_left X	Back_left Y	Back_left Z	Head_up X	Head_up Y	Head_up Z	Head_front X	Head_front Y	Head_front Z	Head_left X	Head_left Y	Head_left Z	Head_right X	Head_right Y	Head_right Z	R_shoulder X	R_shoulder Y	R_shoulder Z	R_humerus1 X	R_humerus1 Y	R_humerus1 Z	R_humerus2 X	R_humerus2 Y	R_humerus2 Z	R_humerus3 X	R_humerus3 Y	R_humerus3 Z	Rl_elbow X	Rl_elbow Y	Rl_elbow Z	RM_elbow X	RM_elbow Y	RM_elbow Z	R_radius1 X	R_radius1 Y	R_radius1 Z	R_radius2 X	R_radius2 Y	R_radius2 Z	R_radius3 X	R_radius3 Y	R_radius3 Z	RL_wrist X	RL_wrist Y	RL_wrist Z	Rm_wrist X	Rm_wrist Y	Rm_wrist Z	R_hand X	R_hand Y	R_hand Z	L_shoulder X	L_shoulder Y	L_shoulder Z	L_humerus1 X	L_humerus1 Y	L_humerus1 Z	L_humerus2 X	L_humerus2 Y	L_humerus2 Z	L_humerus3 X	L_humerus3 Y	L_humerus3 Z	LL_elbow X	LL_elbow Y	LL_elbow Z	LM_elbow X	LM_elbow Y	LM_elbow Z	L_radius1 X	L_radius1 Y	L_radius1 Z	L_radius2 X	L_radius2 Y	L_radius2 Z	L_radius3 X	L_radius3 Y	L_radius3 Z	LL_wrist X	LL_wrist Y	LL_wrist Z	Lm_wrist X	Lm_wrist Y	Lm_wrist Z	L_hand X	L_hand Y	L_hand Z	
271.781	551.161	1108.473	293.946	568.111	924.931	187.356	514.679	1057.644	258.002	214.427	1095.259	260.344	197.190	949.021	179.739	253.831	1045.006	378.556	435.063	1074.517	380.550	376.181	1094.721	378.318	323.008	1071.009	314.797	570.779	808.692	239.305	585.698	814.368	239.705	585.282	689.751	306.448	572.212	684.607	257.623	563.666	517.390	267.345	432.130	494.822	346.219	577.936	398.246	274.357	576.848	390.261	295.718	580.901	282.048	355.029	580.954	292.488	415.742	533.168	76.670	368.871	568.072	102.929	342.094	480.720	102.135	197.713	594.098	35.023	192.550	499.536	40.231	291.086	193.446	792.136	215.132	200.257	793.150	218.142	200.844	669.967	278.282	194.096	665.888	277.061	204.142	518.961	276.218	326.851	475.857	341.635	184.598	372.812	267.132	213.140	371.041	281.803	211.961	263.909	340.835	193.154	264.517	408.991	247.428	66.771	353.662	211.336	98.960	325.311	304.915	106.129	190.394	192.954	36.855	176.348	271.562	42.407	372.677	375.956	1221.460	374.524	377.875	1546.463	411.208	457.706	1385.124	403.839	299.938	1373.551	326.320	372.605	1822.216	178.616	345.804	1780.389	283.717	272.277	1721.478	255.498	465.616	1748.459	290.429	564.946	1547.986	271.433	657.671	1364.419	377.461	690.151	1436.287	354.454	716.609	1336.530	365.309	750.482	1281.281	431.089	664.736	1252.987	287.681	658.024	1209.922	346.441	766.375	1163.478	294.938	690.304	1114.797	310.751	591.283	1068.203	257.950	663.893	1044.953	232.736	609.435	1056.161	288.209	205.417	1557.168	243.483	125.325	1369.546	338.630	51.447	1422.554	304.558	53.066	1325.652	325.242	3.417	1251.166	403.055	82.464	1240.177	323.999	133.803	1210.928	265.695	28.372	1188.662	278.161	106.033	1122.767	286.169	177.384	1053.443	246.458	107.526	1008.012	224.284	157.642	1036.844
271.869	551.213	1108.493	294.023	568.216	924.960	187.449	514.704	1057.633	258.033	214.491	1095.260	260.440	197.258	948.992	179.850	253.899	1045.012	378.647	435.129	1074.489	380.768	376.237	1094.759	378.431	323.100	1070.946	314.838	570.844	808.739	239.326	585.745	814.398	239.661	585.331	689.754	306.419	572.275	684.597	257.542	563.700	517.364	267.280	432.158	494.811	346.140	577.982	398.233	274.289	576.881	390.248	295.657	580.905	282.034	354.992	580.943	292.449	415.727	533.197	76.659	368.871	568.079	102.930	342.108	480.732	102.157	197.715	594.120	35.042	192.564	499.542	40.232	291.040	193.487	792.227	215.200	200.286	793.173	218.181	200.877	670.000	278.319	194.133	665.892	277.050	204.163	518.962	276.162	326.876	475.855	341.597	184.638	372.848	267.127	213.188	371.027	281.805	211.976	263.928	340.831	193.190	264.517	408.986	247.437	66.737	353.664	211.342	98.968	325.324	304.936	106.123	190.388	192.944	36.865	176.359	271.572	42.435	372.707	375.994	1221.553	374.262	377.912	1546.505	411.050	457.752	1385.213	403.666	299.928	1373.617	325.782	372.639	1822.232	178.338	345.874	1780.365	283.422	272.328	1721.457	255.219	465.669	1748.448	290.169	564.979	1548.024	271.242	657.716	1364.426	377.218	690.213	1436.353	354.249	716.659	1336.557	365.148	750.541	1281.370	430.953	664.759	1253.132	287.607	658.060	1209.895	346.320	766.420	1163.531	294.886	690.349	1114.795	310.757	591.340	1068.178	257.999	663.967	1044.900	232.768	609.483	1056.062	287.899	205.459	1557.213	243.264	125.382	1369.561	338.329	51.451	1422.631	304.341	53.086	1325.696	325.059	3.442	1251.219	402.924	82.471	1240.308	323.893	133.826	1210.996	265.562	28.427	1188.660	278.134	106.090	1122.785	286.247	177.406	1053.494	246.494	107.573	1008.012	224.317	157.689	1036.802
271.933	551.276	1108.469	293.998	568.270	924.917	187.555	514.747	1057.639	258.097	214.549	1095.263	260.576	197.323	948.994	179.945	253.935	1045.004	378.716	435.236	1074.435	380.854	376.308	1094.770	378.533	323.190	1070.892	314.833	570.925	808.766	239.366	585.798	814.417	239.656	585.389	689.766	306.400	572.331	684.570	257.489	563.733	517.346	267.218	432.184	494.805	346.079	578.023	398.245	274.243	576.913	390.217	295.610	580.914	282.001	354.960	581.009	292.474	415.742	533.194	76.649	368.869	568.088	102.906	342.083	480.732	102.177	197.699	594.112	35.017	192.566	499.553	40.249	291.092	193.543	792.238	215.274	200.331	793.203	218.241	200.927	669.998	278.373	194.199	665.910	277.064	204.201	518.972	276.083	326.928	475.845	341.599	184.672	372.820	267.107	213.207	371.035	281.817	212.025	263.884	340.853	193.234	264.514	408.989	247.418	66.752	353.665	211.342	98.974	325.314	304.930	106.113	190.398	192.945	36.859	176.354	271.565	42.426	372.681	376.025	1221.578	374.000	377.950	1546.552	410.853	457.797	1385.306	403.511	299.931	1373.713	325.710	372.722	1822.180	178.047	345.939	1780.365	283.053	272.378	1721.413	254.939	465.727	1748.451	289.919	565.012	1548.054	271.048	657.732	1364.409	376.970	690.252	1436.403	354.074	716.691	1336.622	364.991	750.566	1281.424	430.783	664.822	1253.180	287.534	658.077	1209.873	346.247	766.480	1163.587	294.878	690.422	1114.791	310.791	591.426	1068.154	258.049	664.041	1044.864	232.815	609.546	1055.994	287.576	205.502	1557.268	243.037	125.447	1369.577	338.018	51.449	1422.715	304.102	53.112	1325.741	324.888	3.492	1251.256	402.759	82.447	1240.443	323.789	133.853	1211.048	265.441	28.490	1188.654	278.111	106.149	1122.784	286.325	177.454	1053.502	246.558	107.627	1008.004	224.417	157.752	1036.748
271.988	551.311	1108.468	294.074	568.392	924.946	187.655	514.781	1057.648	258.167	214.597	1095.264	260.717	197.401	948.962	180.045	253.997	1045.012	378.825	435.321	1074.415	380.990	376.336	1094.761	378.653	323.275	1070.846	314.858	570.991	808.757	239.366	585.862	814.402	239.620	585.446	689.759	306.383	572.376	684.548	257.423	563.782	517.321	267.158	432.224	494.807	346.036	578.044	398.231	274.165	576.941	390.186	295.593	580.942	281.965	354.920	581.015	292.448	415.730	533.208	76.639	368.859	568.102	102.894	342.079	480.729	102.139	197.695	594.102	35.049	192.565	499.545	40.219	291.267	193.630	792.158	215.362	200.379	793.225	218.274	200.925	670.035	278.428	194.248	665.917	277.046	204.241	518.978	276.070	326.954	475.830	341.608	184.714	372.816	267.107	213.212	371.013	281.806	212.026	263.876	340.829	193.241	264.533	408.995	247.437	66.712	353.665	211.328	98.967	325.321	304.938	106.107	190.397	192.942	36.851	176.390	271.568	42.382	372.701	376.051	1221.628	373.726	377.976	1546.622	410.639	457.854	1385.371	403.338	299.918	1373.839	325.395	372.778	1822.129	177.740	346.002	1780.360	282.722	272.432	1721.418	254.658	465.800	1748.465	289.610	565.061	1548.115	270.835	657.743	1364.431	376.732	690.316	1436.478	353.919	716.724	1336.652	364.475	750.740	1281.664	430.673	664.874	1253.329	287.403	658.122	1209.874	346.174	766.520	1163.635	294.852	690.465	1114.767	310.786	591.503	1068.109	258.058	664.097	1044.830	232.860	609.602	1055.953	287.242	205.543	1557.311	242.788	125.504	1369.594	337.706	51.448	1422.792	303.877	53.129	1325.798	324.683	3.507	1251.326	402.599	82.409	1240.569	323.714	133.888	1211.123	265.326	28.571	1188.651	278.103	106.217	1122.803	286.391	177.504	1053.525	246.689	107.703	1007.947	224.477	157.787	1036.713
272.073	551.360	1108.481	294.138	568.444	924.923	187.731	514.792	1057.642	258.227	214.654	1095.319	260.835	197.462	948.953	180.172	254.040	1045.000	378.907	435.403	1074.371	381.064	376.439	1094.757	378.746	323.383	1070.798	314.887	571.010	808.659	239.395	585.918	814.411	239.594	585.506	689.794	306.362	572.440	684.546	257.349	563.818	517.308	267.111	432.267	494.798	345.986	578.064	398.209	274.120	576.969	390.159	295.552	580.965	281.956	354.896	581.038	292.422	415.725	533.206	76.647	368.849	568.117	102.902	342.094	480.736	102.171	197.714	594.125	35.026	192.554	499.542	40.231	291.277	193.680	792.240	215.441	200.403	793.244	218.336	200.974	670.055	278.459	194.290	665.932	277.085	204.289	518.961	275.980	326.998	475.819	341.594	184.760	372.828	267.111	213.245	370.973	281.796	212.044	263.856	340.821	193.275	264.537	408.998	247.433	66.738	353.691	211.346	98.958	325.314	304.942	106.116	190.391	192.939	36.850	176.401	271.556	42.363	372.680	376.085	1221.689	373.447	378.017	1546.698	410.469	457.904	1385.477	403.172	299.898	1373.948	325.116	372.827	1822.122	177.432	346.077	1780.354	282.401	272.493	1721.421	254.382	465.865	1748.456	289.400	565.007	1548.188	270.648	657.772	1364.420	376.463	690.362	1436.540	353.739	716.759	1336.719	364.301	750.779	1281.759	430.553	664.920	1253.435	287.301	658.148	1209.878	346.075	766.583	1163.700	294.820	690.543	1114.793	310.803	591.588	1068.067	258.124	664.175	1044.804	232.903	609.676	1055.894	286.930	205.563	1557.359	242.563	125.564	1369.600	337.402	51.469	1422.879	303.654	53.169	1325.847	324.483	3.534	1251.388	402.434	82.419	1240.708	323.596	133.909	1211.197	265.176	28.631	1188.641	278.081	106.269	1122.818	286.458	177.555	1053.560	246.789	107.760	1007.910	224.602	157.846	1036.661
272.078	551.428	1108.486	294.182	568.539	924.929	187.820	514.810	1057.667	258.269	214.706	1095.297	260.933	197.538	948.928	180.293	254.101	1045.007	379.024	435.480	1074.324	381.184	376.502	1094.793	378.864	323.456	1070.770	314.899	571.058	808.626	239.421	585.972	814.422	239.593	585.560	689.779	306.348	572.489	684.523	257.298	563.865	517.301	267.047	432.295	494.808	345.934	578.106	398.189	274.080	576.995	390.134	295.497	580.968	281.958	354.837	581.069	292.433	415.729	533.211	76.637	368.842	568.108	102.895	342.076	480.746	102.139	197.702	594.114	35.045	192.558	499.549	40.225	291.379	193.774	792.258	215.517	200.455	793.254	218.397	201.000	670.065	278.520	194.348	665.934	277.072	204.322	518.958	275.971	327.030	475.811	341.601	184.804	372.795	267.099	213.285	370.983	281.803	212.056	263.886	340.831	193.303	264.525	409.007	247.439	66.712	353.686	211.355	98.968	325.329	304.953	106.109	190.389	192.933	36.849	176.365	271.564	42.408	372.723	376.125	1221.768	373.166	378.068	1546.781	410.240	457.951	1385.687	403.019	299.898	1374.086	324.788	372.869	1822.106	177.104	346.162	1780.340	282.061	272.553	1721.440	254.106	465.932	1748.473	289.108	565.054	1548.264	270.448	657.781	1364.437	376.218	690.404	1436.618	353.535	716.781	1336.782	364.073	750.818	1281.825	430.409	664.991	1253.531	287.213	658.193	1209.865	345.979	766.621	1163.753	294.794	690.605	1114.841	310.839	591.658	1068.053	258.150	664.252	1044.755	232.966	609.744	1055.805	286.605	205.618	1557.416	242.339	125.647	1369.605	337.085	51.480	1422.981	303.417	53.207	1325.883	324.267	3.557	1251.437	402.293	82.352	1240.886	323.509	133.940	1211.265	265.061	28.700	1188.663	278.073	106.316	1122.835	286.570	177.604	1053.577	246.857	107.825	1007.939	224.708	157.903	1036.610
272.155	551.473	1108.535	294.206	568.617	924.912	187.919	514.842	1057.661	258.328	214.749	1095.305	261.002	197.584	948.908	180.422	254.145	1044.997	379.120	435.583	1074.301	381.250	376.587	1094.791	378.965	323.541	1070.736	314.918	571.132	808.667	239.458	586.026	814.413	239.580	585.615	689.784	306.336	572.524	684.502	257.227	563.912	517.283	266.985	432.305	494.814	345.868	578.142	398.178	274.022	577.035	390.136	295.480	580.981	281.920	354.809	581.063	292.443	415.713	533.218	76.627	368.828	568.124	102.869	342.081	480.746	102.131	197.704	594.115	35.026	192.571	499.548	40.236	291.524	193.845	792.188	215.600	200.477	793.289	218.430	201.009	670.101	278.581	194.402	665.959	277.050	204.337	518.976	275.887	327.050	475.810	341.621	184.862	372.788	267.065	213.281	370.971	281.792	212.065	263.867	340.853	193.335	264.514	409.009	247.440	66.692	353.687	211.336	98.966	325.330	304.945	106.118	190.402	192.943	36.850	176.372	271.563	42.428	372.702	376.132	1221.811	372.879	378.096	1546.858	410.079	457.981	1385.833	402.844	299.872	1374.235	324.476	372.924	1822.089	176.777	346.230	1780.325	281.733	272.596	1721.462	253.775	465.969	1748.411	288.773	565.086	1548.294	270.229	657.794	1364.434	375.948	690.445	1436.702	353.337	716.814	1336.839	364.272	750.737	1281.751	430.257	665.042	1253.669	287.103	658.233	1209.852	345.911	766.704	1163.866	294.771	690.662	1114.835	310.868	591.734	1068.030	258.198	664.308	1044.731	232.987	609.798	1055.752	286.254	205.660	1557.469	242.104	125.717	1369.641	336.760	51.493	1423.055	303.167	53.221	1325.955	324.084	3.584	1251.499	402.113	82.336	1241.010	323.440	133.974	1211.351	264.931	28.753	1188.653	278.073	106.396	1122.847	286.629	177.629	1053.604	246.922	107.872	1007.930	224.805	157.953	1036.590
272.212	551.517	1108.518	294.213	568.710	924.886	188.035	514.868	1057.658	258.378	214.816	1095.330	261.119	197.646	948.873	180.548	254.202	1044.997	379.206	435.651	1074.267	381.366	376.688	1094.793	379.107	323.631	1070.701	314.941	571.206	808.646	239.508	586.087	814.445	239.571	585.665	689.774	306.314	572.608	684.505	257.161	563.936	517.259	266.957	432.358	494.820	345.816	578.177	398.159	273.975	577.070	390.113	295.068	581.023	282.064	354.786	581.084	292.405	415.724	533.239	76.632	368.839	568.123	102.869	342.098	480.762	102.149	197.722	594.123	35.035	192.639	499.646	40.115	291.149	193.645	792.357	215.672	200.510	793.306	218.492	201.045	670.114	278.642	194.460	665.956	277.079	204.368	518.979	275.840	327.102	475.797	341.578	184.882	372.824	267.062	213.301	370.982	281.808	212.090	263.844	340.846	193.363	264.516	409.177	247.406	66.929	353.563	211.479	98.807	325.343	304.956	106.098	190.406	192.920	36.858	176.411	271.567	42.402	372.752	376.160	1221.899	372.570	378.140	1546.945	409.942	458.037	1385.965	402.689	299.880	1374.382	323.900	372.946	1822.191	176.441	346.300	1780.322	281.421	272.677	1721.461	253.458	466.027	1748.403	288.453	565.144	1548.328	270.051	657.829	1364.477	375.666	690.490	1436.770	353.169	716.854	1336.902	363.773	750.895	1281.978	430.127	665.105	1253.777	286.999	658.270	1209.866	345.848	766.745	1163.926	294.778	690.734	1114.825	310.907	591.813	1068.046	258.224	664.406	1044.703	233.031	609.864	1055.688	285.888	205.682	1557.504	241.859	125.786	1369.671	336.408	51.488	1423.175	302.881	53.253	1326.018	323.822	3.611	1251.564	401.962	82.333	1241.161	323.353	133.989	1211.407	264.776	28.834	1188.647	278.064	106.440	1122.886	286.765	177.694	1053.645	247.041	107.935	1007.969	224.912	157.999	1036.537
272.256	551.574	1108.580	294.299	568.803	924.883	188.134	514.896	1057.668	258.436	214.867	1095.358	261.255	197.720	948.842	180.688	254.258	1045.013	379.311	435.761	1074.251	381.451	376.777	1094.811	379.217	323.728	1070.683	314.994	571.261	808.653	239.530	586.126	814.437	239.543	585.722	689.812	306.303	572.656	684.495	257.127	563.985	517.249	266.885	432.407	494.823	345.778	578.184	398.129	273.917	577.108	390.085	295.006	581.141	282.005	354.757	581.090	292.410	415.722	533.246	76.620	368.843	568.146	102.857	342.087	480.746	102.150	197.727	594.128	35.027	192.652	499.652	40.130	291.700	194.005	792.220	215.776	200.556	793.318	218.541	201.039	670.154	278.708	194.519	665.965	277.076	204.390	518.980	275.781	327.111	475.779	341.589	184.931	372.816	267.046	213.325	370.941	281.791	212.087	263.883	340.857	193.377	264.530	409.191	247.385	66.936	353.571	211.495	98.796	325.352	304.949	106.111	190.405	192.929	36.877	176.407	271.558	42.444	372.182	376.269	1221.844	372.261	378.168	1547.048	409.751	458.097	1386.093	402.506	299.853	1374.492	323.569	373.032	1822.238	176.083	346.382	1780.322	281.048	272.731	1721.443	253.125	466.072	1748.375	288.143	565.178	1548.367	269.843	657.822	1364.474	375.412	690.548	1436.842	352.989	716.887	1336.958	363.589	750.930	1282.077	429.991	665.145	1253.904	286.914	658.299	1209.856	345.768	766.808	1163.980	294.752	690.772	1114.849	310.943	591.882	1068.023	258.236	664.459	1044.686	233.088	609.912	1055.660	285.555	205.738	1557.586	241.632	125.868	1369.692	336.063	51.482	1423.274	302.638	53.286	1326.085	323.630	3.643	1251.639	401.790	82.295	1241.297	323.282	134.012	1211.479	264.653	28.897	1188.653	278.060	106.501	1122.901	286.868	177.741	1053.664	247.149	108.026	1007.935	225.039	158.068	1036.489
272.321	551.616	1108.589	294.333	568.889	924.872	188.286	514.933	1057.625	258.503	214.918	1095.346	261.374	197.771	948.824	180.836	254.343	1045.007	379.415	435.841	1074.215	381.576	376.866	1094.821	379.338	323.811	1070.640	315.024	571.297	808.567	239.582	586.170	814.446	239.552	585.763	689.809	306.303	572.704	684.459	257.080	564.036	517.230	266.859	432.442	494.855	345.710	578.224	398.118	273.882	577.124	390.068	294.967	581.162	281.998	354.731	581.122	292.398	415.731	533.251	76.629	368.853	568.155	102.851	342.101	480.777	102.150	197.721	594.140	35.025	192.655	499.646	40.142	291.362	193.812	792.368	215.883	200.584	793.351	218.605	201.059	670.177	278.760	194.567	665.953	277.063	204.431	518.982	275.719	327.159	475.775	341.591	184.968	372.811	267.056	213.345	370.925	281.812	212.115	263.829	340.856	193.411	264.510	409.027	247.427	66.690	353.715	211.371	98.923	325.343	304.971	106.096	190.428	192.927	36.838	176.439	271.559	42.402	372.167	376.318	1221.957	371.976	378.216	1547.125	409.503	458.113	1386.181	402.336	299.850	1374.610	323.223	373.095	1822.237	175.725	346.454	1780.279	280.692	272.775	1721.459	252.790	466.137	1748.364	287.830	565.223	1548.409	269.640	657.861	1364.541	375.139	690.613	1436.909	352.743	716.919	1337.041	363.411	750.964	1282.160	429.860	665.208	1254.009	286.824	658.360	1209.853	345.666	766.858	1164.041	294.714	690.841	1114.869	310.982	591.963	1068.035	258.270	664.529	1044.670	233.149	609.989	1055.605	285.217	205.783	1557.665	241.373	125.921	1369.719	335.695	51.494	1423.385	302.370	53.311	1326.151	323.385	3.662	1251.713	401.639	82.287	1241.454	323.192	134.029	1211.559	264.501	28.957	1188.663	278.041	106.555	1122.932	286.976	177.793	1053.701	247.289	108.080	1007.895	225.018	158.082	1036.422
