NO_OF_SAMPLES	638
FREQUENCY	400
TIME_STAMP	2020-08-07, 12:52:50.014	3307.37193418
FIRST_SAMPLE	2151
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	7391
FORCE_PLATE_CORNER_POSX_POSY_X	579.468012
FORCE_PLATE_CORNER_POSX_POSY_Y	379.240990
FORCE_PLATE_CORNER_POSX_POSY_Z	-16.077699
FORCE_PLATE_CORNER_NEGX_POSY_X	577.150047
FORCE_PLATE_CORNER_NEGX_POSY_Y	-4.550730
FORCE_PLATE_CORNER_NEGX_POSY_Z	-16.474199
FORCE_PLATE_CORNER_NEGX_NEGY_X	-4.632410
FORCE_PLATE_CORNER_NEGX_NEGY_Y	2.957070
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-16.989401
FORCE_PLATE_CORNER_POSX_NEGY_X	-3.978860
FORCE_PLATE_CORNER_POSX_NEGY_Y	381.323993
FORCE_PLATE_CORNER_POSX_NEGY_Z	-17.207799
FORCE_PLATE_OFFSET_X	-0.304800
FORCE_PLATE_OFFSET_Y	-0.457200
FORCE_PLATE_OFFSET_Z	-46.024800
FORCE_PLATE_LENGTH	599.948000
FORCE_PLATE_WIDTH	400.050000
Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
-5.657382	9.839128	449.124745	8.055218	-9.183468	3.374206	20.722427	16.469888	0.000000	
-5.964776	9.796200	448.611304	8.009818	-9.287947	3.466983	21.010925	16.392464	0.000000	
-6.005641	10.057324	448.095955	8.033295	-9.270507	3.430249	21.000715	16.437415	0.000000	
-6.008213	9.712898	449.467227	8.187181	-9.218041	3.383499	20.819250	16.763515	0.000000	
-5.830696	10.062216	448.781400	8.386924	-9.200792	3.384099	20.794890	17.199086	0.000000	
-6.007043	9.756263	448.263588	8.409738	-9.183139	3.375039	20.797990	17.301788	0.000000	
-6.311454	9.934576	448.263592	8.542494	-9.200418	3.365996	20.867790	17.579637	0.000000	
-6.401373	9.673777	448.090914	8.608305	-9.252482	3.403202	21.001377	17.760245	0.000000	
-6.398287	10.373770	447.754570	8.672653	-9.340156	3.523868	21.212872	17.845690	0.000000	
-6.702792	10.507596	447.753331	8.739866	-9.409417	3.487070	21.398916	17.982095	0.000000	
-6.615440	10.423232	448.611884	8.915660	-9.200856	3.458859	20.883515	18.347323	0.000000	
-7.051547	10.731528	448.445401	8.891055	-9.218776	3.579144	20.976101	18.267797	0.000000	
-7.050229	10.816899	446.725973	9.048285	-9.305461	3.571018	21.251918	18.683034	0.000000	
-7.222740	11.127207	447.585443	9.158504	-9.305413	3.533818	21.228158	18.860623	0.000000	
-7.222034	11.087926	448.098961	9.467991	-9.131393	3.478253	20.815056	19.533186	0.000000	
-7.701340	11.573754	448.448855	9.509046	-9.218902	3.607772	21.042906	19.559278	0.000000	
-7.482185	11.704773	447.933787	9.686436	-9.253710	3.617577	21.122643	19.964850	0.000000	
-7.482840	11.533073	448.446800	9.863368	-9.166546	3.571201	20.903829	20.353654	0.000000	
-7.655924	12.021044	449.654004	10.081495	-9.184374	3.635766	20.904255	20.732935	0.000000	
-7.871238	12.371475	449.140236	10.170308	-9.132330	3.636052	20.834706	20.919004	0.000000	
-8.354790	12.339991	451.545648	10.343771	-9.323429	3.672479	21.194590	21.192495	0.000000	
-8.436447	13.302479	450.693081	10.498281	-9.463050	3.747362	21.553392	21.477987	0.000000	
-8.656216	13.219271	451.896801	10.495947	-9.393662	3.774435	21.364003	21.422868	0.000000	
-8.961397	13.486884	452.929697	10.538447	-9.480704	3.801920	21.537774	21.439610	0.000000	
-8.526822	13.008595	453.783223	10.826677	-9.323776	3.699954	21.106792	22.082106	0.000000	
-8.574799	12.709648	455.500991	10.956357	-9.393316	3.745687	21.183561	22.312010	0.000000	
-8.966939	12.972681	455.331546	10.823233	-9.532515	3.792032	21.536903	22.001530	0.000000	
-8.876084	13.367327	455.504526	10.978321	-9.445700	3.755090	21.328838	22.293601	0.000000	
-9.009665	13.286420	457.221996	11.020688	-9.619402	3.763892	21.640929	22.308946	0.000000	
-9.051689	13.677585	456.540576	10.930738	-9.637438	3.875106	21.717426	22.106469	0.000000	
-9.224934	13.855386	456.712423	11.063431	-9.619990	3.856695	21.688396	22.370600	0.000000	
-9.530663	13.946493	456.198191	11.283791	-9.637442	3.912724	21.782286	22.870175	0.000000	
-9.137411	13.773029	457.395654	11.396042	-9.584746	3.764317	21.569683	23.071973	0.000000	
-9.093443	13.858901	456.710553	11.417726	-9.567631	3.820121	21.560592	23.146094	0.000000	
-9.223440	13.947951	456.882768	11.483732	-9.480750	3.810750	21.375284	23.272696	0.000000	
-9.264915	14.208009	455.681914	11.528774	-9.480910	3.839109	21.436958	23.407809	0.000000	
-9.571071	14.209741	454.996094	11.638540	-9.463656	3.904246	21.462778	23.684853	0.000000	
-9.392952	14.687565	453.967000	11.662352	-9.602824	3.905016	21.800623	23.743589	0.000000	
-9.652951	14.859935	453.109787	11.552164	-9.516081	3.923599	21.677414	23.528683	0.000000	
-9.609799	14.861642	453.282389	11.661810	-9.498814	3.951393	21.626569	23.761271	0.000000	
-9.259022	14.897784	451.049228	11.664174	-9.481528	3.970882	21.661034	23.882730	0.000000	
-9.303072	14.945589	452.252474	11.728953	-9.464212	3.970414	21.568788	23.956344	0.000000	
-9.565064	14.944788	450.706415	11.818278	-9.516319	4.017520	21.786185	24.238359	0.000000	
-9.170562	14.720189	449.671493	11.843581	-9.307371	3.906718	21.331982	24.374455	0.000000	
-9.345302	14.766073	449.157102	12.019885	-9.290081	3.953390	21.336173	24.790714	0.000000	
-9.605084	15.290969	448.304523	12.040270	-9.342884	4.083379	21.521783	24.830312	0.000000	
-9.517502	15.287588	447.274798	12.018538	-9.308288	4.120746	21.485672	24.840291	0.000000	
-9.471248	15.416300	446.241694	12.087722	-9.307965	4.047333	21.530625	25.040620	0.000000	
-9.600498	15.722705	446.073999	12.108331	-9.221516	4.112054	21.358369	25.064792	0.000000	
-9.514382	15.680702	445.558662	12.329213	-9.308439	4.158964	21.569618	25.594391	0.000000	
-9.555540	15.897107	444.357726	12.418308	-9.186953	4.177940	21.359603	25.842888	0.000000	
-9.120539	15.458343	444.696137	12.464248	-9.116946	4.076008	21.140668	25.971590	0.000000	
-9.337713	15.724676	444.183690	12.772435	-9.065093	4.150569	21.071175	26.668311	0.000000	
-9.030448	15.898305	444.184307	12.839140	-9.030433	4.132152	20.961276	26.800459	0.000000	
-9.554964	15.904062	444.527890	12.970750	-9.030330	4.150636	20.998915	27.074860	0.000000	
-9.291319	16.075581	443.669096	12.994329	-9.082500	4.141921	21.130390	27.163505	0.000000	
-9.726091	16.603270	442.300482	13.236021	-9.187320	4.291006	21.478946	27.740506	0.000000	
-9.334412	16.343787	442.984157	13.523819	-9.117477	4.226261	21.246968	28.373628	0.000000	
-9.115722	16.429743	442.471137	13.611501	-9.048297	4.282011	21.092859	28.596278	0.000000	
-9.464229	16.741786	442.816444	13.809414	-9.170026	4.319319	21.387291	28.988130	0.000000	
-9.501897	17.613368	440.760535	13.965244	-9.257448	4.394647	21.690751	29.388013	0.000000	
-9.195702	17.442184	440.929183	14.452145	-8.979080	4.320829	21.019056	30.498728	0.000000	
-9.152309	17.662578	440.588666	14.605649	-9.118463	4.413914	21.347359	30.848037	0.000000	
-9.104766	18.320359	440.249262	14.848026	-9.136311	4.469982	21.399623	31.353949	0.000000	
-9.013009	18.976289	439.223036	15.113249	-9.119392	4.526335	21.402199	31.963387	0.000000	
-8.791416	19.415215	438.709184	15.467565	-9.102151	4.527085	21.365077	32.762947	0.000000	
-9.176149	20.726704	436.312152	15.711646	-9.311374	4.639915	22.004238	33.366527	0.000000	
-9.130705	21.299872	437.006745	15.951002	-9.277455	4.769414	21.886376	33.800120	0.000000	
-9.214031	21.960736	437.697584	16.193050	-9.277755	4.778751	21.860798	34.229562	0.000000	
-8.993425	22.529588	437.016067	16.412830	-9.382671	4.890568	22.112207	34.726654	0.000000	
-9.120351	23.055830	437.018634	16.523352	-9.330723	4.881433	22.006573	34.923928	0.000000	
-9.249486	23.411143	437.707278	16.765631	-9.348179	4.881516	22.024927	35.384419	0.000000	
-8.899799	23.457125	438.564751	16.942762	-9.365407	4.825955	21.983856	35.713406	0.000000	
-8.814849	23.240752	439.081620	17.050894	-9.244019	4.890402	21.672255	35.939776	0.000000	
-9.423604	23.765356	437.711957	16.984298	-9.400807	4.992893	22.163232	35.846360	0.000000	
-9.337461	23.635210	438.227396	17.005447	-9.348724	5.001853	22.008909	35.865589	0.000000	
-9.339404	23.327801	437.365451	17.029030	-9.435303	4.993124	22.251044	36.023442	0.000000	
-9.342803	22.893356	437.705493	17.139654	-9.487072	4.974667	22.352153	36.293519	0.000000	
-9.210864	22.978766	438.050264	17.006688	-9.417718	4.964994	22.162134	35.952081	0.000000	
-9.171665	22.147456	437.528780	17.096321	-9.278103	4.918807	21.865690	36.287785	0.000000	
-8.957212	21.535197	437.868614	17.118418	-9.190905	4.890761	21.626800	36.374087	0.000000	
-9.002621	21.314538	438.039146	16.875546	-9.277675	4.881214	21.821120	35.828481	0.000000	
-9.049000	20.653630	436.488465	16.789202	-9.138217	4.853746	21.585116	35.829265	0.000000	
-8.920042	20.253801	435.628234	16.524730	-9.086045	4.862897	21.494954	35.336056	0.000000	
-9.011501	19.595168	434.419892	16.438749	-9.224460	4.835713	21.883901	35.307472	0.000000	
-8.878179	19.627267	430.811847	16.310161	-9.224453	4.855639	22.055470	35.305094	0.000000	
-8.703940	19.444978	429.781012	16.023866	-9.189772	4.864888	22.009748	34.744250	0.000000	
-8.664732	18.480105	428.916462	16.046865	-8.859048	4.827694	21.279451	34.972362	0.000000	
-8.401950	18.386681	428.227884	15.871847	-8.806807	4.781448	21.163922	34.630668	0.000000	
-8.446643	17.986644	426.679166	15.674909	-8.702301	4.763156	21.001738	34.339617	0.000000	
-8.403787	17.719204	425.818430	15.477367	-8.667393	4.744690	20.958195	33.974951	0.000000	
-8.317251	17.406847	423.239256	15.524205	-8.632447	4.764309	20.995791	34.329409	0.000000	
-8.188712	16.968715	424.440162	15.324198	-8.458573	4.726203	20.511931	33.807267	0.000000	
-8.754510	17.093514	420.660469	15.261533	-8.614835	4.783488	21.132345	33.952515	0.000000	
-8.319500	16.780427	419.458274	15.151245	-8.510779	4.829943	20.897981	33.822561	0.000000	
-8.277055	16.253586	419.625324	15.064124	-8.249621	4.727563	20.262525	33.659082	0.000000	
-8.011484	16.509271	417.391550	15.133826	-8.249563	4.700950	20.343174	33.980463	0.000000	
-8.011102	16.417305	416.532536	14.979920	-8.162696	4.700971	20.177166	33.692154	0.000000	
-7.705125	16.189149	414.125996	14.872181	-8.075747	4.701749	20.052225	33.655796	0.000000	
-7.835899	16.232717	413.611377	14.894257	-8.075815	4.729744	20.092271	33.746766	0.000000	
-8.227851	16.405018	411.551575	14.873213	-8.180208	4.804758	20.491849	33.847552	0.000000	
-8.268370	16.661414	409.836552	14.785633	-8.024131	4.842163	20.202598	33.748619	0.000000	
-8.096249	16.183168	410.520263	14.984208	-7.832660	4.795559	19.682735	34.228982	0.000000	
-8.440205	16.834757	408.462514	14.919601	-7.867705	4.833464	19.907981	34.172134	0.000000	
-8.438464	16.916428	406.402231	14.898944	-7.780972	4.871209	19.796838	34.287612	0.000000	
-8.393191	17.135275	405.029205	15.208660	-7.729044	4.927672	19.731629	35.145201	0.000000	
-8.216057	17.041615	404.339212	15.056635	-7.502822	4.816443	19.186171	34.840632	0.000000	
-8.514812	18.043903	401.771522	15.188845	-7.434238	4.965693	19.174256	35.280469	0.000000	
-8.247121	18.561343	398.507703	15.414464	-7.468973	4.949079	19.390039	36.079564	0.000000	
-8.025760	18.642653	396.446063	15.527292	-7.243078	4.931320	18.896959	36.544726	0.000000	
-7.929886	19.554707	394.733646	15.550929	-7.035076	4.931882	18.442138	36.658784	0.000000	
-7.884708	19.637140	392.502300	15.640286	-6.913691	4.997545	18.234155	37.087779	0.000000	
-8.054098	20.158150	390.614805	15.708584	-6.826949	4.998376	18.121633	37.382659	0.000000	
-8.310675	20.718546	386.667072	15.755882	-6.827254	5.074205	18.341090	37.824609	0.000000	
-8.264678	20.844660	384.606297	15.823993	-6.723076	5.093557	18.164622	38.191731	0.000000	
-8.264512	20.619023	381.857357	15.847911	-6.549336	5.140745	17.842575	38.559790	0.000000	
-7.829348	20.042139	380.478978	15.717724	-6.340501	5.085335	17.306804	38.428757	0.000000	
-7.915273	19.817187	377.899196	15.765228	-6.131642	5.049190	16.884813	38.847319	0.000000	
-7.959710	19.459348	374.460157	15.769014	-6.148705	5.069197	17.093712	39.262383	0.000000	
-7.698013	19.143645	372.055386	15.659801	-5.905599	5.115952	16.520378	39.264624	0.000000	
-7.480239	18.698121	369.645343	15.619291	-5.800918	5.070529	16.319769	39.469485	0.000000	
-7.173580	18.424252	366.721037	15.469289	-5.748427	5.016042	16.270714	39.413207	0.000000	
-7.174304	18.239036	363.286610	15.294204	-5.766063	5.128299	16.476052	39.331648	0.000000	
-6.870252	17.797030	362.080726	15.318226	-5.661529	5.100936	16.204586	39.586691	0.000000	
-6.349293	17.090385	360.356692	15.343623	-5.608872	5.046132	16.070912	39.939000	0.000000	
-5.958062	16.601817	359.325004	15.189274	-5.348224	5.055192	15.342435	39.688012	0.000000	
-5.828939	16.114865	356.399979	15.325558	-5.365167	5.056660	15.501718	40.462765	0.000000	
-5.652121	16.283487	355.543048	15.127244	-5.278543	5.065907	15.273288	39.981785	0.000000	
-5.390367	16.058596	353.651136	15.129765	-5.260994	5.057469	15.272938	40.234515	0.000000	
-5.738577	16.277885	352.623555	15.217385	-5.226544	5.141213	15.266085	40.572954	0.000000	
-5.479784	15.926263	352.624748	15.171394	-5.139943	5.214978	14.986664	40.488284	0.000000	
