NO_OF_FRAMES	364
NO_OF_CAMERAS	16
NO_OF_MARKERS	71
FREQUENCY	400
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-08-07, 12:53:28.464	3345.85763032
DATA_INCLUDED	3D
MARKER_NAMES	R_illiac	R_troch	R_asis	L_illiac	L_troch	L_asis	R_PSIS	Sacrum	L_PSIS	R_thigh1	R_thigh2	R_thigh3	R_thigh4	RL_knee	RM_Knee	R_shank1	R_shank2	R_shank3	R_shank4	R_heel	RL_ankle	RM_ankle	R_Metatarsal5	R_Metatarsal1	L_thigh1	L_thigh2	L_thigh3	L_thigh4	LL_knee	LM_Knee	L_shank1	L_shank2	L_shank3	L_shank4	L_heel	LL_ankle	LM_Ankle	L_Metatarsal5	L_Metatarsal1	Back_down	Neck	Back_right	Back_left	Head_up	Head_front	Head_left	Head_right	R_shoulder	R_humerus1	R_humerus2	R_humerus3	Rl_elbow	RM_elbow	R_radius1	R_radius2	R_radius3	RL_wrist	Rm_wrist	R_hand	L_shoulder	L_humerus1	L_humerus2	L_humerus3	LL_elbow	LM_elbow	L_radius1	L_radius2	L_radius3	LL_wrist	Lm_wrist	L_hand
R_illiac X	R_illiac Y	R_illiac Z	R_troch X	R_troch Y	R_troch Z	R_asis X	R_asis Y	R_asis Z	L_illiac X	L_illiac Y	L_illiac Z	L_troch X	L_troch Y	L_troch Z	L_asis X	L_asis Y	L_asis Z	R_PSIS X	R_PSIS Y	R_PSIS Z	Sacrum X	Sacrum Y	Sacrum Z	L_PSIS X	L_PSIS Y	L_PSIS Z	R_thigh1 X	R_thigh1 Y	R_thigh1 Z	R_thigh2 X	R_thigh2 Y	R_thigh2 Z	R_thigh3 X	R_thigh3 Y	R_thigh3 Z	R_thigh4 X	R_thigh4 Y	R_thigh4 Z	RL_knee X	RL_knee Y	RL_knee Z	RM_Knee X	RM_Knee Y	RM_Knee Z	R_shank1 X	R_shank1 Y	R_shank1 Z	R_shank2 X	R_shank2 Y	R_shank2 Z	R_shank3 X	R_shank3 Y	R_shank3 Z	R_shank4 X	R_shank4 Y	R_shank4 Z	R_heel X	R_heel Y	R_heel Z	RL_ankle X	RL_ankle Y	RL_ankle Z	RM_ankle X	RM_ankle Y	RM_ankle Z	R_Metatarsal5 X	R_Metatarsal5 Y	R_Metatarsal5 Z	R_Metatarsal1 X	R_Metatarsal1 Y	R_Metatarsal1 Z	L_thigh1 X	L_thigh1 Y	L_thigh1 Z	L_thigh2 X	L_thigh2 Y	L_thigh2 Z	L_thigh3 X	L_thigh3 Y	L_thigh3 Z	L_thigh4 X	L_thigh4 Y	L_thigh4 Z	LL_knee X	LL_knee Y	LL_knee Z	LM_Knee X	LM_Knee Y	LM_Knee Z	L_shank1 X	L_shank1 Y	L_shank1 Z	L_shank2 X	L_shank2 Y	L_shank2 Z	L_shank3 X	L_shank3 Y	L_shank3 Z	L_shank4 X	L_shank4 Y	L_shank4 Z	L_heel X	L_heel Y	L_heel Z	LL_ankle X	LL_ankle Y	LL_ankle Z	LM_Ankle X	LM_Ankle Y	LM_Ankle Z	L_Metatarsal5 X	L_Metatarsal5 Y	L_Metatarsal5 Z	L_Metatarsal1 X	L_Metatarsal1 Y	L_Metatarsal1 Z	Back_down X	Back_down Y	Back_down Z	Neck X	Neck Y	Neck Z	Back_right X	Back_right Y	Back_right Z	Back_left X	Back_left Y	Back_left Z	Head_up X	Head_up Y	Head_up Z	Head_front X	Head_front Y	Head_front Z	Head_left X	Head_left Y	Head_left Z	Head_right X	Head_right Y	Head_right Z	R_shoulder X	R_shoulder Y	R_shoulder Z	R_humerus1 X	R_humerus1 Y	R_humerus1 Z	R_humerus2 X	R_humerus2 Y	R_humerus2 Z	R_humerus3 X	R_humerus3 Y	R_humerus3 Z	Rl_elbow X	Rl_elbow Y	Rl_elbow Z	RM_elbow X	RM_elbow Y	RM_elbow Z	R_radius1 X	R_radius1 Y	R_radius1 Z	R_radius2 X	R_radius2 Y	R_radius2 Z	R_radius3 X	R_radius3 Y	R_radius3 Z	RL_wrist X	RL_wrist Y	RL_wrist Z	Rm_wrist X	Rm_wrist Y	Rm_wrist Z	R_hand X	R_hand Y	R_hand Z	L_shoulder X	L_shoulder Y	L_shoulder Z	L_humerus1 X	L_humerus1 Y	L_humerus1 Z	L_humerus2 X	L_humerus2 Y	L_humerus2 Z	L_humerus3 X	L_humerus3 Y	L_humerus3 Z	LL_elbow X	LL_elbow Y	LL_elbow Z	LM_elbow X	LM_elbow Y	LM_elbow Z	L_radius1 X	L_radius1 Y	L_radius1 Z	L_radius2 X	L_radius2 Y	L_radius2 Z	L_radius3 X	L_radius3 Y	L_radius3 Z	LL_wrist X	LL_wrist Y	LL_wrist Z	Lm_wrist X	Lm_wrist Y	Lm_wrist Z	L_hand X	L_hand Y	L_hand Z	
404.025	562.938	733.674	467.435	625.056	611.405	384.162	533.226	666.849	415.556	233.335	734.816	459.439	194.233	654.058	391.813	274.645	667.539	534.522	460.393	776.424	505.783	399.835	802.445	541.059	347.788	777.226	391.091	603.763	524.354	357.557	612.155	593.452	249.561	626.916	530.553	279.609	616.240	469.032	102.231	616.115	429.983	116.918	481.500	421.819	197.829	617.888	349.491	136.961	608.966	313.469	202.285	602.346	223.270	250.437	609.978	257.614	405.511	532.913	83.642	350.906	576.677	103.979	323.680	484.245	98.865	196.978	602.803	35.454	187.267	509.373	38.604	375.782	185.247	547.958	337.953	197.148	612.121	234.020	173.039	551.490	260.405	162.793	498.360	131.395	161.923	436.209	107.335	288.089	403.631	208.198	146.713	328.328	144.008	175.253	293.483	208.011	183.691	205.791	258.976	162.957	232.238	417.972	223.027	76.543	355.018	185.757	102.799	324.539	281.105	104.101	206.938	164.236	35.690	190.915	240.898	38.210	350.142	396.613	866.577	41.230	386.685	956.617	184.723	484.710	927.497	203.086	306.838	924.371	-218.742	371.756	1011.120	-234.818	347.915	859.076	-140.131	272.836	933.627	-175.713	465.988	920.920	-29.195	557.985	861.427	111.498	651.181	739.268	69.455	724.927	841.683	145.546	746.581	771.929	201.882	777.377	748.499	255.849	745.524	838.514	278.541	663.365	728.202	309.255	786.686	696.455	361.488	698.286	684.687	450.291	639.001	744.375	419.834	662.159	653.829	406.398	617.322	697.229	-19.876	221.594	879.548	118.215	137.523	750.949	85.870	47.897	841.550	161.973	44.353	772.942	232.040	-8.477	753.516	278.215	31.155	848.556	283.087	107.602	801.747	279.170	46.876	695.975	350.001	115.841	727.565	436.727	178.940	743.488	430.702	139.003	656.951	406.442	188.568	701.499
403.988	562.906	733.663	467.422	625.034	611.433	384.179	533.200	666.854	415.554	233.350	734.805	458.464	194.937	653.760	391.810	274.670	667.557	534.508	460.395	776.443	505.762	399.826	802.445	541.045	347.778	777.245	391.108	603.780	524.409	357.516	612.142	593.486	249.563	626.924	530.561	279.616	616.261	469.074	102.230	616.116	429.968	116.930	481.496	421.826	197.848	617.895	349.476	136.974	608.962	313.485	202.251	602.365	223.281	250.526	609.947	257.542	405.522	532.908	83.631	350.922	576.675	103.966	323.685	484.239	98.856	196.975	602.808	35.447	187.260	509.381	38.636	375.791	185.216	547.939	337.986	197.140	612.122	234.029	173.003	551.491	260.429	162.780	498.362	131.375	161.871	436.227	107.293	288.056	403.649	208.210	146.679	328.315	144.017	175.241	293.468	208.014	183.673	205.822	258.999	162.916	232.241	417.983	223.037	76.510	354.959	185.720	102.878	324.536	281.104	104.115	206.953	164.239	35.671	190.924	240.899	38.209	350.147	396.602	866.581	41.216	386.671	956.613	184.716	484.701	927.519	203.063	306.816	924.358	-218.758	371.761	1011.095	-234.843	347.937	859.080	-140.165	272.850	933.611	-175.722	465.978	920.908	-29.190	557.983	861.440	111.513	651.190	739.247	69.446	724.913	841.691	145.561	746.600	771.957	201.867	777.395	748.521	255.830	745.518	838.534	278.576	663.359	728.189	309.266	786.675	696.497	361.519	698.149	684.840	450.298	639.005	744.379	419.863	662.162	653.816	406.398	617.321	697.230	-19.896	221.585	879.535	118.212	137.508	750.954	85.858	47.884	841.545	162.009	44.355	772.915	232.280	-8.546	753.401	278.206	31.145	848.558	283.078	107.595	801.735	279.148	46.867	695.988	350.004	115.824	727.568	436.719	178.920	743.527	430.707	139.010	656.974	406.464	188.584	701.550
404.004	562.923	733.688	467.420	625.034	611.473	384.210	533.145	666.825	415.566	233.347	734.812	458.228	195.044	653.735	391.809	274.694	667.577	534.486	460.364	776.472	505.754	399.814	802.472	541.115	347.652	777.437	391.113	603.775	524.427	357.542	612.140	593.507	249.581	626.924	530.572	279.591	616.247	469.050	102.215	616.124	429.994	116.924	481.505	421.844	197.851	617.879	349.462	136.971	608.969	313.493	202.275	602.371	223.281	250.458	609.963	257.620	405.510	532.893	83.637	350.904	576.677	103.975	323.669	484.245	98.836	196.967	602.791	35.447	187.256	509.376	38.614	375.809	185.192	547.980	337.968	197.106	612.146	234.043	172.976	551.501	260.470	162.752	498.354	131.405	161.846	436.163	107.295	288.000	403.644	208.227	146.650	328.330	144.030	175.198	293.463	208.049	183.665	205.792	258.969	162.875	232.291	417.971	223.019	76.540	355.037	185.747	102.762	324.548	281.093	104.081	206.946	164.239	35.687	190.905	240.891	38.208	350.129	396.598	866.594	41.196	386.670	956.625	184.712	484.703	927.538	203.043	306.802	924.369	-218.784	371.740	1011.072	-234.867	347.941	859.070	-140.172	272.833	933.600	-175.746	465.999	920.913	-29.190	557.993	861.434	111.520	651.191	739.278	69.463	724.906	841.721	145.521	746.586	772.004	201.880	777.389	748.535	255.834	745.511	838.563	278.555	663.361	728.276	309.284	786.672	696.511	361.548	698.198	684.799	450.317	638.981	744.393	419.798	662.160	653.857	406.373	617.339	697.344	-19.901	221.584	879.521	118.186	137.491	750.957	85.884	47.936	841.536	162.000	44.351	772.915	232.316	-8.554	753.394	278.174	31.148	848.595	283.048	107.576	801.755	279.119	46.844	696.020	350.010	115.830	727.605	436.722	178.911	743.537	430.767	139.092	656.986	406.456	188.580	701.518
403.987	562.933	733.721	467.450	625.055	611.484	384.201	533.120	666.836	415.543	233.311	734.832	457.966	195.205	653.627	391.808	274.718	667.599	534.483	460.360	776.488	505.733	399.824	802.491	541.110	347.630	777.484	391.080	603.762	524.439	357.489	612.123	593.503	249.572	626.931	530.593	279.616	616.270	469.094	102.258	616.146	430.033	116.935	481.528	421.811	197.860	617.894	349.492	136.969	608.969	313.481	202.269	602.368	223.276	250.450	609.963	257.674	405.522	532.884	83.642	350.896	576.657	103.951	323.681	484.246	98.825	196.974	602.795	35.414	187.258	509.377	38.585	375.813	185.169	548.023	338.007	197.095	612.123	234.039	172.925	551.520	260.469	162.731	498.365	131.416	161.803	436.180	107.294	287.998	403.641	208.239	146.637	328.331	144.059	175.200	293.456	208.063	183.647	205.809	258.972	162.858	232.302	417.962	223.002	76.572	355.011	185.726	102.769	324.550	281.091	104.102	206.940	164.221	35.699	190.916	240.896	38.191	350.121	396.599	866.615	41.173	386.651	956.614	184.699	484.692	927.544	203.027	306.795	924.369	-218.804	371.743	1011.050	-234.875	347.947	859.048	-140.207	272.850	933.583	-175.763	465.987	920.895	-29.224	557.975	861.453	111.511	651.208	739.292	69.457	724.906	841.753	145.547	746.582	771.995	201.888	777.383	748.560	255.832	745.507	838.581	278.556	663.365	728.260	309.292	786.684	696.533	361.511	698.189	684.799	450.307	638.994	744.423	419.836	662.166	653.888	406.374	617.311	697.312	-19.920	221.575	879.524	118.157	137.441	750.891	85.842	47.875	841.537	161.991	44.346	772.920	232.293	-8.548	753.423	278.164	31.144	848.588	283.037	107.580	801.756	279.144	46.838	696.009	349.982	115.823	727.643	436.714	178.907	743.556	430.761	139.099	656.968	406.442	188.552	701.529
403.967	562.945	733.738	467.423	625.039	611.493	384.188	533.181	666.934	415.495	233.327	734.853	457.910	195.221	653.646	391.807	274.740	667.624	534.478	460.361	776.521	505.713	399.782	802.523	541.090	347.625	777.506	391.101	603.779	524.477	357.551	612.151	593.549	249.567	626.930	530.613	279.618	616.247	469.096	102.269	616.127	429.982	116.949	481.522	421.879	197.861	617.882	349.484	137.000	608.969	313.482	202.269	602.365	223.293	250.473	609.935	257.706	405.514	532.895	83.647	350.902	576.682	103.967	323.682	484.243	98.831	196.987	602.799	35.438	187.267	509.374	38.611	375.857	185.188	548.000	338.006	197.081	612.140	234.108	172.900	551.521	260.510	162.696	498.362	131.430	161.788	436.239	107.260	287.937	403.734	208.286	146.607	328.320	144.069	175.153	293.465	208.060	183.625	205.799	258.993	162.830	232.308	417.973	223.030	76.562	354.969	185.699	102.890	324.569	281.105	104.092	206.948	164.229	35.687	190.938	240.882	38.185	350.105	396.584	866.618	41.169	386.654	956.618	184.690	484.682	927.551	203.012	306.777	924.376	-218.825	371.744	1011.034	-234.899	347.949	859.042	-140.248	272.858	933.563	-175.767	465.995	920.900	-29.228	557.982	861.449	111.516	651.212	739.320	69.461	724.898	841.770	145.534	746.577	772.043	201.933	777.382	748.606	255.836	745.495	838.603	278.569	663.358	728.335	309.285	786.660	696.564	361.564	698.158	684.861	450.291	638.974	744.463	419.801	662.142	653.909	406.412	617.300	697.331	-19.928	221.567	879.508	118.162	137.420	750.885	85.824	47.858	841.531	161.981	44.347	772.929	232.281	-8.573	753.430	278.153	31.147	848.606	283.047	107.567	801.784	279.124	46.816	696.033	350.000	115.797	727.651	436.701	178.889	743.567	430.789	139.047	656.977	406.436	188.561	701.571
403.947	562.919	733.777	467.421	625.055	611.551	384.166	533.212	667.038	415.519	233.314	734.847	457.736	195.277	653.571	391.807	274.760	667.650	534.454	460.334	776.545	505.718	399.794	802.547	540.997	347.747	777.355	391.112	603.754	524.511	357.537	612.122	593.590	249.553	626.943	530.635	279.642	616.244	469.122	102.284	616.127	429.991	116.971	481.515	421.867	197.870	617.899	349.503	137.014	608.986	313.483	202.295	602.349	223.293	250.464	609.958	257.699	405.526	532.888	83.641	350.885	576.670	103.948	323.679	484.233	98.827	196.991	602.806	35.433	187.268	509.380	38.624	375.875	185.188	548.007	338.029	197.049	612.169	234.149	172.865	551.522	260.538	162.674	498.369	131.452	161.737	436.172	107.308	287.919	403.714	208.306	146.594	328.323	144.085	175.134	293.506	208.073	183.596	205.816	259.001	162.807	232.321	417.981	223.029	76.533	355.045	185.736	102.771	324.557	281.077	104.109	206.957	164.213	35.692	190.919	240.887	38.220	350.081	396.581	866.630	41.142	386.643	956.626	184.677	484.671	927.579	202.992	306.758	924.363	-218.835	371.757	1011.024	-234.899	347.956	859.037	-140.278	272.857	933.551	-175.781	465.980	920.869	-29.226	557.973	861.463	111.520	651.225	739.314	69.479	724.893	841.790	145.563	746.547	772.051	201.931	777.370	748.633	255.846	745.487	838.637	278.546	663.359	728.299	309.305	786.671	696.600	361.531	698.180	684.936	450.315	638.959	744.490	419.770	662.142	653.930	406.392	617.338	697.419	-19.947	221.551	879.499	118.146	137.406	750.887	85.818	47.850	841.554	161.970	44.329	772.944	232.279	-8.579	753.441	278.148	31.130	848.618	283.025	107.578	801.785	279.132	46.808	696.035	349.999	115.798	727.637	436.696	178.885	743.587	430.652	138.930	656.986	406.439	188.539	701.593
403.953	562.936	733.786	467.408	625.072	611.577	384.240	533.139	667.020	415.528	233.302	734.855	457.741	195.298	653.588	391.808	274.780	667.679	534.441	460.330	776.575	505.700	399.772	802.584	541.061	347.617	777.559	391.111	603.763	524.524	357.564	612.158	593.575	249.564	626.932	530.656	279.649	616.236	469.130	102.287	616.126	429.996	116.954	481.518	421.816	197.899	617.894	349.498	137.022	608.966	313.498	202.292	602.363	223.277	250.521	609.964	257.629	405.523	532.887	83.626	350.928	576.664	103.949	323.678	484.252	98.826	196.996	602.811	35.448	187.259	509.384	38.617	375.889	185.158	548.027	338.045	197.028	612.182	234.167	172.825	551.520	260.546	162.638	498.379	131.443	161.718	436.219	107.256	287.920	403.832	208.327	146.578	328.310	144.103	175.095	293.485	208.090	183.594	205.802	259.039	162.853	232.247	417.968	223.029	76.530	355.037	185.714	102.796	324.584	281.101	104.121	206.961	164.245	35.699	190.923	240.893	38.219	350.071	396.561	866.650	41.138	386.615	956.631	184.684	484.668	927.599	202.971	306.746	924.389	-218.861	371.751	1011.014	-234.914	347.958	859.016	-140.290	272.851	933.539	-175.782	466.014	920.885	-29.225	557.992	861.462	111.493	651.235	739.335	69.467	724.888	841.811	145.548	746.583	772.103	201.910	777.375	748.656	255.857	745.462	838.676	278.541	663.347	728.384	309.304	786.675	696.620	361.523	698.216	685.015	450.322	638.942	744.512	419.766	662.146	653.935	406.449	617.242	697.344	-19.957	221.546	879.492	118.159	137.415	750.882	85.790	47.842	841.553	161.912	44.257	773.128	231.953	-8.717	753.697	278.141	31.144	848.636	283.029	107.569	801.793	279.136	46.794	696.058	350.010	115.788	727.663	436.700	178.877	743.596	430.882	139.133	657.009	406.439	188.527	701.585
403.951	562.902	733.796	467.419	625.068	611.577	384.198	533.152	667.053	415.494	233.294	734.873	457.718	195.268	653.583	391.809	274.798	667.710	534.449	460.332	776.589	505.677	399.757	802.605	541.054	347.594	777.593	391.110	603.733	524.561	357.558	612.131	593.626	249.584	626.935	530.676	279.699	616.256	469.167	102.324	616.128	429.995	116.994	481.534	421.807	197.918	617.878	349.467	137.027	608.980	313.495	202.285	602.358	223.291	250.505	609.957	257.663	405.511	532.884	83.625	350.925	576.669	103.953	323.696	484.246	98.822	196.994	602.817	35.428	187.267	509.374	38.618	375.876	185.133	548.052	338.084	197.016	612.165	234.162	172.782	551.531	260.558	162.612	498.390	131.456	161.704	436.246	107.205	287.875	403.874	208.313	146.544	328.339	144.116	175.078	293.481	208.077	183.567	205.817	259.011	162.779	232.300	417.971	223.016	76.543	355.039	185.718	102.770	324.570	281.081	104.121	206.959	164.233	35.690	190.916	240.890	38.223	350.060	396.562	866.677	41.119	386.611	956.619	184.669	484.655	927.619	202.952	306.730	924.387	-218.889	371.761	1011.016	-234.928	347.968	858.985	-140.298	272.853	933.549	-175.803	465.999	920.878	-29.263	557.987	861.492	111.513	651.230	739.357	69.466	724.870	841.843	145.557	746.579	772.125	201.933	777.364	748.656	255.848	745.452	838.719	278.574	663.336	728.390	309.298	786.678	696.676	361.546	698.145	684.996	450.316	638.938	744.544	419.863	662.136	653.957	406.390	617.285	697.464	-19.967	221.532	879.491	118.138	137.397	750.886	85.782	47.835	841.543	161.960	44.292	772.962	232.274	-8.598	753.455	278.145	31.134	848.649	283.038	107.570	801.814	279.120	46.778	696.072	349.981	115.783	727.686	436.691	178.867	743.616	430.824	139.093	657.014	406.471	188.522	701.634
403.948	562.905	733.834	467.407	625.061	611.617	384.237	533.102	667.019	415.477	233.278	734.872	457.793	195.256	653.748	391.811	274.815	667.742	534.422	460.302	776.632	505.666	399.729	802.611	541.037	347.584	777.613	391.103	603.732	524.578	357.526	612.131	593.632	249.604	626.937	530.679	279.700	616.249	469.185	102.344	616.148	430.054	116.980	481.522	421.818	197.937	617.881	349.487	137.061	608.972	313.502	202.331	602.367	223.300	250.509	609.941	257.694	405.529	532.880	83.625	350.919	576.660	103.933	323.679	484.242	98.814	196.990	602.805	35.439	187.256	509.375	38.623	375.915	185.122	548.036	338.083	196.994	612.187	234.208	172.743	551.546	260.612	162.597	498.379	131.462	161.668	436.249	107.220	287.827	403.872	208.364	146.532	328.311	144.118	175.012	293.534	208.101	183.552	205.828	259.024	162.752	232.338	417.997	223.038	76.530	355.049	185.738	102.753	324.588	281.077	104.126	206.974	164.227	35.692	190.922	240.886	38.223	350.060	396.550	866.702	41.216	386.445	956.730	184.676	484.630	927.619	202.943	306.727	924.386	-218.908	371.775	1011.000	-234.947	347.986	858.978	-140.343	272.840	933.529	-175.804	466.011	920.874	-29.242	557.969	861.483	111.509	651.221	739.374	69.456	724.865	841.884	145.564	746.585	772.175	201.929	777.364	748.724	255.843	745.436	838.751	278.560	663.351	728.411	309.329	786.661	696.708	361.482	698.238	684.989	450.322	638.928	744.543	419.858	662.145	653.995	406.447	617.208	697.415	-20.016	221.496	879.367	118.148	137.384	750.883	85.802	47.838	841.552	161.948	44.288	772.961	232.239	-8.611	753.472	278.126	31.132	848.663	283.031	107.573	801.832	279.148	46.758	696.093	349.982	115.795	727.817	436.691	178.868	743.642	430.722	139.045	657.088	406.449	188.506	701.652
403.924	562.882	733.832	467.419	625.050	611.631	384.302	533.041	666.969	415.467	233.275	734.896	457.727	195.271	653.718	391.813	274.830	667.777	534.423	460.316	776.646	505.659	399.733	802.646	541.025	347.567	777.635	391.123	603.733	524.608	357.544	612.124	593.711	249.601	626.928	530.703	279.712	616.227	469.195	102.352	616.141	430.068	116.998	481.512	421.823	197.952	617.871	349.490	137.074	608.986	313.502	202.322	602.363	223.322	250.592	609.891	257.540	405.539	532.872	83.612	350.916	576.662	103.921	323.681	484.242	98.818	196.978	602.807	35.423	187.255	509.384	38.606	375.963	185.102	548.174	338.107	196.977	612.194	234.232	172.721	551.549	260.649	162.565	498.460	131.482	161.636	436.222	107.191	287.815	403.915	208.371	146.502	328.330	144.140	175.019	293.533	208.125	183.540	205.806	259.069	162.805	232.233	417.967	223.036	76.522	355.052	185.727	102.731	324.567	281.066	104.123	206.961	164.222	35.703	190.925	240.893	38.203	350.035	396.546	866.715	41.089	386.580	956.629	184.633	484.629	927.616	202.919	306.713	924.398	-218.917	371.773	1010.972	-234.963	347.990	859.025	-140.364	272.851	933.550	-175.819	466.007	920.861	-29.264	557.992	861.492	111.501	651.223	739.389	69.449	724.835	841.914	145.590	746.579	772.182	201.928	777.362	748.764	255.842	745.413	838.799	278.536	663.336	728.420	309.330	786.649	696.738	361.483	698.195	685.072	450.306	638.909	744.580	419.783	662.135	654.012	406.467	617.187	697.457	-20.037	221.491	879.369	118.139	137.367	750.912	85.794	47.822	841.552	161.958	44.283	772.960	232.296	-8.611	753.497	278.114	31.124	848.675	283.017	107.563	801.830	279.121	46.754	696.105	350.011	115.764	727.720	436.669	178.865	743.655	430.712	138.965	657.093	406.451	188.505	701.668
