NO_OF_SAMPLES	364
FREQUENCY	400
TIME_STAMP	2020-08-07, 12:53:28.464	3345.85763032
FIRST_SAMPLE	3312
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	7390
FORCE_PLATE_CORNER_POSX_POSY_X	586.302996
FORCE_PLATE_CORNER_POSX_POSY_Y	778.885007
FORCE_PLATE_CORNER_POSX_POSY_Z	-12.587900
FORCE_PLATE_CORNER_NEGX_POSY_X	578.343987
FORCE_PLATE_CORNER_NEGX_POSY_Y	399.753004
FORCE_PLATE_CORNER_NEGX_POSY_Z	-14.426700
FORCE_PLATE_CORNER_NEGX_NEGY_X	-1.246320
FORCE_PLATE_CORNER_NEGX_NEGY_Y	401.962012
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-16.833499
FORCE_PLATE_CORNER_POSX_NEGY_X	-0.274277
FORCE_PLATE_CORNER_POSX_NEGY_Y	785.919964
FORCE_PLATE_CORNER_POSX_NEGY_Z	-14.884100
FORCE_PLATE_OFFSET_X	-0.355600
FORCE_PLATE_OFFSET_Y	-0.050800
FORCE_PLATE_OFFSET_Z	-45.389800
FORCE_PLATE_LENGTH	599.948000
FORCE_PLATE_WIDTH	400.050000
Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
-14.399911	-11.950636	418.573561	-9.817613	16.512664	10.019199	-38.243935	-22.209810	0.000000	
-14.227406	-11.643445	419.618960	-9.796589	16.670909	10.001242	-38.545319	-22.137732	0.000000	
-13.914304	-12.042073	420.833225	-9.840893	16.653789	9.982889	-38.428215	-22.136285	0.000000	
-14.222601	-12.174275	420.137337	-9.841210	16.671014	10.010622	-38.498967	-22.159336	0.000000	
-14.398927	-12.043223	421.181614	-9.952954	16.741303	10.038838	-38.552279	-22.383955	0.000000	
-14.177390	-11.865132	421.535330	-9.844031	16.793652	10.141728	-38.668267	-22.125995	0.000000	
-13.915631	-11.776138	421.187773	-9.820891	16.776268	10.076464	-38.686819	-22.098863	0.000000	
-14.530340	-11.824618	421.177957	-9.753531	16.706339	10.057588	-38.455433	-21.934219	0.000000	
-14.264991	-12.045106	420.828260	-9.664246	16.671365	10.020299	-38.432605	-21.716458	0.000000	
-14.308774	-12.134386	421.350338	-9.687400	16.759126	10.039216	-38.588994	-21.734947	0.000000	
-14.309349	-12.134683	421.350478	-9.665518	16.794218	10.039313	-38.672205	-21.682976	0.000000	
-14.312264	-12.043765	420.136065	-9.686917	16.758801	10.020272	-38.698346	-21.806258	0.000000	
-14.178198	-11.956157	420.832350	-9.599210	16.776427	10.067213	-38.691250	-21.571299	0.000000	
-14.044497	-11.915534	422.916511	-9.666345	16.847269	10.049219	-38.684186	-21.628348	0.000000	
