NO_OF_FRAMES	862
NO_OF_CAMERAS	16
NO_OF_MARKERS	71
FREQUENCY	400
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-08-07, 13:03:10.235	3928.21248474
DATA_INCLUDED	3D
MARKER_NAMES	R_illiac	R_troch	R_asis	L_illiac	L_troch	L_asis	R_PSIS	Sacrum	L_PSIS	R_thigh1	R_thigh2	R_thigh3	R_thigh4	RL_knee	RM_Knee	R_shank1	R_shank2	R_shank3	R_shank4	R_heel	RL_ankle	RM_ankle	R_Metatarsal5	R_Metatarsal1	L_thigh1	L_thigh2	L_thigh3	L_thigh4	LL_knee	LM_Knee	L_shank1	L_shank2	L_shank3	L_shank4	L_heel	LL_ankle	LM_Ankle	L_Metatarsal5	L_Metatarsal1	Back_down	Neck	Back_right	Back_left	Head_up	Head_front	Head_left	Head_right	R_shoulder	R_humerus1	R_humerus2	R_humerus3	Rl_elbow	RM_elbow	R_radius1	R_radius2	R_radius3	RL_wrist	Rm_wrist	R_hand	L_shoulder	L_humerus1	L_humerus2	L_humerus3	LL_elbow	LM_elbow	L_radius1	L_radius2	L_radius3	LL_wrist	Lm_wrist	L_hand
R_illiac X	R_illiac Y	R_illiac Z	R_troch X	R_troch Y	R_troch Z	R_asis X	R_asis Y	R_asis Z	L_illiac X	L_illiac Y	L_illiac Z	L_troch X	L_troch Y	L_troch Z	L_asis X	L_asis Y	L_asis Z	R_PSIS X	R_PSIS Y	R_PSIS Z	Sacrum X	Sacrum Y	Sacrum Z	L_PSIS X	L_PSIS Y	L_PSIS Z	R_thigh1 X	R_thigh1 Y	R_thigh1 Z	R_thigh2 X	R_thigh2 Y	R_thigh2 Z	R_thigh3 X	R_thigh3 Y	R_thigh3 Z	R_thigh4 X	R_thigh4 Y	R_thigh4 Z	RL_knee X	RL_knee Y	RL_knee Z	RM_Knee X	RM_Knee Y	RM_Knee Z	R_shank1 X	R_shank1 Y	R_shank1 Z	R_shank2 X	R_shank2 Y	R_shank2 Z	R_shank3 X	R_shank3 Y	R_shank3 Z	R_shank4 X	R_shank4 Y	R_shank4 Z	R_heel X	R_heel Y	R_heel Z	RL_ankle X	RL_ankle Y	RL_ankle Z	RM_ankle X	RM_ankle Y	RM_ankle Z	R_Metatarsal5 X	R_Metatarsal5 Y	R_Metatarsal5 Z	R_Metatarsal1 X	R_Metatarsal1 Y	R_Metatarsal1 Z	L_thigh1 X	L_thigh1 Y	L_thigh1 Z	L_thigh2 X	L_thigh2 Y	L_thigh2 Z	L_thigh3 X	L_thigh3 Y	L_thigh3 Z	L_thigh4 X	L_thigh4 Y	L_thigh4 Z	LL_knee X	LL_knee Y	LL_knee Z	LM_Knee X	LM_Knee Y	LM_Knee Z	L_shank1 X	L_shank1 Y	L_shank1 Z	L_shank2 X	L_shank2 Y	L_shank2 Z	L_shank3 X	L_shank3 Y	L_shank3 Z	L_shank4 X	L_shank4 Y	L_shank4 Z	L_heel X	L_heel Y	L_heel Z	LL_ankle X	LL_ankle Y	LL_ankle Z	LM_Ankle X	LM_Ankle Y	LM_Ankle Z	L_Metatarsal5 X	L_Metatarsal5 Y	L_Metatarsal5 Z	L_Metatarsal1 X	L_Metatarsal1 Y	L_Metatarsal1 Z	Back_down X	Back_down Y	Back_down Z	Neck X	Neck Y	Neck Z	Back_right X	Back_right Y	Back_right Z	Back_left X	Back_left Y	Back_left Z	Head_up X	Head_up Y	Head_up Z	Head_front X	Head_front Y	Head_front Z	Head_left X	Head_left Y	Head_left Z	Head_right X	Head_right Y	Head_right Z	R_shoulder X	R_shoulder Y	R_shoulder Z	R_humerus1 X	R_humerus1 Y	R_humerus1 Z	R_humerus2 X	R_humerus2 Y	R_humerus2 Z	R_humerus3 X	R_humerus3 Y	R_humerus3 Z	Rl_elbow X	Rl_elbow Y	Rl_elbow Z	RM_elbow X	RM_elbow Y	RM_elbow Z	R_radius1 X	R_radius1 Y	R_radius1 Z	R_radius2 X	R_radius2 Y	R_radius2 Z	R_radius3 X	R_radius3 Y	R_radius3 Z	RL_wrist X	RL_wrist Y	RL_wrist Z	Rm_wrist X	Rm_wrist Y	Rm_wrist Z	R_hand X	R_hand Y	R_hand Z	L_shoulder X	L_shoulder Y	L_shoulder Z	L_humerus1 X	L_humerus1 Y	L_humerus1 Z	L_humerus2 X	L_humerus2 Y	L_humerus2 Z	L_humerus3 X	L_humerus3 Y	L_humerus3 Z	LL_elbow X	LL_elbow Y	LL_elbow Z	LM_elbow X	LM_elbow Y	LM_elbow Z	L_radius1 X	L_radius1 Y	L_radius1 Z	L_radius2 X	L_radius2 Y	L_radius2 Z	L_radius3 X	L_radius3 Y	L_radius3 Z	LL_wrist X	LL_wrist Y	LL_wrist Z	Lm_wrist X	Lm_wrist Y	Lm_wrist Z	L_hand X	L_hand Y	L_hand Z	
735.513	569.694	1612.159	752.130	577.421	1438.584	651.156	533.870	1558.416	745.154	228.886	1605.848	743.334	213.022	1463.409	663.436	262.712	1554.799	846.635	459.433	1588.489	853.647	401.672	1609.069	853.182	346.434	1584.222	782.822	574.971	1308.186	708.624	592.174	1313.805	707.311	583.423	1189.199	774.021	568.663	1185.577	725.113	551.528	1022.625	745.791	419.320	1008.580	812.304	561.148	882.944	741.000	556.797	879.261	756.879	548.932	770.204	816.049	551.800	777.996	868.386	481.421	583.656	822.734	523.004	608.590	793.291	435.316	612.697	651.685	550.017	544.448	642.809	455.382	549.014	756.175	207.652	1289.955	677.459	212.625	1297.910	668.672	210.558	1176.262	729.291	206.868	1165.456	710.011	215.268	1028.063	706.843	341.043	983.282	774.249	193.428	868.986	701.928	223.384	863.696	722.809	222.991	757.751	781.824	203.295	762.062	860.425	247.814	579.738	804.025	212.992	612.629	775.911	308.129	618.336	642.512	194.732	548.166	629.305	273.934	553.705	842.314	404.037	1741.119	790.830	404.006	2066.590	859.687	483.823	1905.012	863.934	334.116	1899.107	607.333	400.397	2320.111	505.208	367.366	2208.841	626.588	298.359	2215.698	583.149	490.192	2219.225	717.088	588.653	2033.717	688.573	645.808	1833.032	812.523	676.187	1872.344	770.329	682.741	1775.297	788.638	703.810	1713.685	805.532	598.046	1685.237	677.879	694.961	1625.264	802.265	735.988	1602.510	723.898	717.437	1535.895	662.765	647.396	1471.770	707.672	724.448	1451.122	649.234	714.753	1414.583	730.388	223.995	2050.729	682.660	175.295	1852.481	802.487	121.218	1860.490	743.988	136.406	1777.369	779.640	108.837	1694.698	787.841	217.537	1679.837	680.007	181.449	1638.119	732.772	72.191	1632.529	689.318	122.832	1554.619	641.852	142.832	1454.482	715.595	96.546	1427.642	652.134	92.202	1396.848
735.484	569.810	1612.104	751.935	577.539	1438.593	651.144	533.921	1558.315	745.306	228.995	1605.891	743.427	213.102	1463.427	663.544	262.787	1554.820	846.626	459.605	1588.462	853.734	401.883	1608.938	853.296	346.623	1584.218	782.862	575.126	1308.200	708.635	592.268	1313.773	707.352	583.523	1189.153	774.018	568.779	1185.530	725.100	551.610	1022.572	745.869	419.454	1008.545	812.299	561.306	882.885	741.054	556.924	879.297	756.881	549.019	770.168	816.060	551.952	777.951	868.397	481.467	583.605	822.752	523.040	608.563	793.324	435.369	612.656	651.701	550.050	544.454	642.816	455.408	549.014	755.896	207.661	1289.835	677.395	212.788	1297.818	668.269	210.598	1176.269	728.940	206.909	1165.391	709.383	215.362	1027.988	706.325	341.172	983.299	773.805	193.506	869.048	701.454	223.506	863.667	722.514	223.119	757.728	781.468	203.385	762.146	860.394	247.899	579.818	803.965	213.064	612.728	775.806	308.190	618.435	642.512	194.765	548.248	629.286	273.970	553.767	842.346	404.252	1741.200	790.661	404.156	2066.591	859.551	483.998	1905.072	863.878	334.291	1899.150	606.923	400.542	2319.990	504.769	367.525	2208.575	626.257	298.516	2215.617	582.766	490.354	2219.024	716.773	588.738	2033.564	688.360	645.899	1833.027	812.306	676.397	1872.388	770.109	682.918	1775.291	788.465	704.011	1713.687	805.426	598.275	1685.260	677.708	695.092	1625.248	802.085	736.223	1602.487	723.759	717.611	1535.920	662.714	647.526	1471.744	707.529	724.597	1451.053	649.156	714.896	1414.558	730.271	224.106	2050.670	682.707	175.324	1852.432	802.532	121.337	1860.514	743.996	136.464	1777.396	779.745	108.888	1694.724	787.869	217.606	1679.836	680.035	181.399	1638.097	732.897	72.199	1632.577	689.415	122.768	1554.662	642.034	142.704	1454.440	715.807	96.449	1427.657	652.340	92.103	1396.826
735.425	569.901	1612.030	751.907	577.626	1438.596	651.125	533.981	1558.224	745.469	229.124	1605.976	743.633	213.149	1463.401	663.748	262.860	1554.826	846.708	459.789	1588.483	853.808	402.102	1609.002	853.372	346.770	1584.230	782.863	575.210	1308.150	708.651	592.346	1313.744	707.400	583.653	1189.130	774.058	568.897	1185.516	725.139	551.732	1022.551	745.966	419.584	1008.502	812.322	561.454	882.845	741.054	557.010	879.159	756.897	549.104	770.105	816.048	552.006	777.801	868.414	481.506	583.565	822.776	523.100	608.521	793.350	435.402	612.632	651.692	550.073	544.437	642.815	455.442	549.004	755.199	208.102	1289.669	677.297	212.838	1297.863	667.884	210.627	1176.293	728.568	206.954	1165.323	708.738	215.451	1027.955	705.704	341.290	983.314	773.374	193.620	869.029	700.973	223.586	863.669	722.230	223.238	757.688	781.098	203.445	762.259	860.350	247.970	579.902	803.905	213.127	612.814	775.722	308.274	618.474	642.534	194.803	548.257	629.265	274.024	553.746	842.352	404.439	1741.240	790.484	404.296	2066.586	859.433	484.187	1905.134	863.830	334.483	1899.184	606.472	400.716	2319.910	504.400	367.687	2208.339	625.896	298.628	2215.526	582.428	490.469	2218.837	716.484	588.851	2033.468	688.157	646.006	1832.984	812.059	676.591	1872.417	769.943	683.090	1775.315	788.252	704.210	1713.661	805.359	598.494	1685.299	677.553	695.282	1625.204	801.895	736.460	1602.519	723.650	717.791	1535.867	662.694	647.686	1471.709	707.455	724.824	1451.101	649.080	715.052	1414.541	730.212	224.241	2050.671	682.651	175.384	1852.459	802.578	121.456	1860.553	744.049	136.506	1777.418	779.830	108.929	1694.736	787.839	217.816	1679.888	680.181	181.413	1638.083	733.025	72.193	1632.629	689.504	122.782	1554.672	642.213	142.595	1454.401	715.987	96.347	1427.672	652.599	92.007	1396.803
735.351	569.996	1611.970	751.340	577.851	1438.822	651.136	534.033	1558.166	745.633	229.200	1605.989	743.724	213.193	1463.419	663.865	262.956	1554.894	846.729	459.972	1588.468	853.898	402.319	1609.066	853.488	346.936	1584.197	782.867	575.332	1308.113	708.648	592.436	1313.711	707.392	583.747	1189.062	774.078	569.006	1185.496	725.143	551.831	1022.520	746.046	419.722	1008.462	812.338	561.581	882.767	741.087	557.117	879.099	756.872	549.169	770.066	816.047	552.130	777.772	868.420	481.548	583.548	822.790	523.148	608.478	793.375	435.460	612.607	651.689	550.108	544.432	642.839	455.469	549.017	754.922	208.205	1289.577	677.178	212.887	1297.892	667.503	210.665	1176.349	728.146	206.993	1165.277	708.062	215.537	1027.888	704.269	341.010	983.635	772.803	193.677	869.147	700.477	223.691	863.630	721.938	223.331	757.671	780.807	203.565	762.300	860.295	248.047	579.995	803.842	213.202	612.905	775.674	308.358	618.546	642.517	194.852	548.268	629.246	274.068	553.788	842.373	404.636	1741.290	790.275	404.436	2066.617	859.268	484.365	1905.175	863.774	334.654	1899.205	605.912	400.870	2319.743	504.059	367.809	2207.722	625.396	298.779	2215.289	582.062	490.621	2218.644	716.256	588.947	2033.451	687.923	646.121	1832.956	811.817	676.798	1872.423	769.726	683.254	1775.316	788.077	704.398	1713.701	805.246	598.723	1685.319	677.418	695.360	1625.112	801.731	736.697	1602.538	723.479	717.954	1535.847	662.639	647.821	1471.665	707.328	725.009	1451.072	648.977	715.188	1414.492	730.110	224.349	2050.637	682.721	175.418	1852.397	802.622	121.587	1860.582	744.096	136.565	1777.441	779.935	108.981	1694.786	787.870	217.890	1679.893	680.201	181.357	1638.061	733.207	72.198	1632.666	689.631	122.738	1554.670	642.399	142.483	1454.414	716.230	96.303	1427.762	652.782	91.861	1396.814
735.352	570.029	1611.852	751.424	577.924	1438.703	651.138	534.076	1558.067	745.789	229.341	1605.974	743.829	213.255	1463.406	664.009	262.987	1554.943	846.809	460.153	1588.497	853.875	402.471	1608.925	853.565	347.076	1584.218	782.912	575.476	1308.154	708.609	592.515	1313.650	707.404	583.840	1189.015	774.093	569.146	1185.484	725.178	551.948	1022.503	746.137	419.849	1008.440	812.375	561.720	882.707	741.084	557.230	879.044	756.894	549.250	770.020	816.048	552.246	777.685	868.421	481.592	583.498	822.812	523.204	608.414	793.408	435.502	612.601	651.695	550.136	544.434	642.840	455.474	548.998	754.424	208.156	1289.280	677.104	212.925	1297.908	667.145	210.695	1176.386	727.730	207.060	1165.212	707.472	215.679	1027.763	704.438	341.447	983.372	772.345	193.780	869.174	699.995	223.831	863.625	721.602	223.440	757.676	780.509	203.670	762.340	860.196	248.278	580.207	803.923	213.196	613.267	775.575	308.448	618.616	642.517	194.894	548.293	629.207	274.123	553.801	842.322	404.815	1741.304	790.093	404.578	2066.634	859.134	484.569	1905.222	863.726	334.837	1899.227	605.402	401.036	2319.590	503.622	367.947	2207.367	625.014	298.890	2215.159	581.703	490.749	2218.386	715.972	589.041	2033.393	687.702	646.208	1832.894	811.570	676.966	1872.423	769.477	683.423	1775.229	787.883	704.606	1713.682	805.200	598.913	1685.309	677.275	695.492	1625.075	801.559	736.945	1602.572	723.333	718.147	1535.856	662.688	647.947	1471.691	707.212	725.166	1450.994	648.873	715.332	1414.466	729.992	224.481	2050.605	682.755	175.461	1852.426	802.657	121.683	1860.618	744.132	136.619	1777.437	780.028	109.012	1694.789	787.995	217.793	1679.818	680.350	181.330	1638.030	733.337	72.198	1632.676	689.775	122.669	1554.674	642.562	142.379	1454.370	716.437	96.230	1427.775	652.986	91.750	1396.782
735.293	570.131	1611.795	751.403	577.951	1438.698	651.131	534.138	1557.964	745.949	229.419	1606.011	743.951	213.300	1463.454	664.234	263.072	1554.928	846.827	460.317	1588.477	853.947	402.676	1609.005	853.661	347.237	1584.204	783.582	575.882	1309.077	707.837	592.206	1313.030	707.380	583.910	1188.964	774.106	569.261	1185.450	725.176	552.033	1022.444	746.218	419.964	1008.423	812.349	562.022	882.764	741.133	557.369	879.070	756.902	549.350	769.968	816.075	552.339	777.655	868.441	481.633	583.448	822.833	523.264	608.350	793.436	435.539	612.585	651.697	550.177	544.418	642.859	455.499	549.008	754.512	208.392	1289.355	676.974	212.969	1297.936	666.769	210.715	1176.430	727.274	207.125	1165.103	706.802	215.745	1027.780	703.834	341.536	983.430	771.769	193.820	869.255	699.527	223.922	863.584	721.249	223.546	757.683	780.205	203.766	762.417	860.142	248.389	580.353	803.884	213.264	613.499	775.473	308.545	618.670	642.521	194.933	548.312	629.177	274.147	553.812	842.292	404.994	1741.302	789.909	404.682	2066.652	858.969	484.735	1905.260	863.672	335.016	1899.255	604.980	401.163	2319.468	503.335	368.039	2206.924	624.626	299.015	2214.999	581.354	490.870	2218.175	715.699	589.112	2033.358	687.480	646.320	1832.839	811.333	677.172	1872.450	769.292	683.616	1775.214	787.674	704.838	1713.720	805.101	599.125	1685.321	677.104	695.612	1625.007	801.375	737.151	1602.589	723.162	718.321	1535.799	664.318	648.035	1471.248	707.101	725.362	1450.987	648.780	715.470	1414.439	729.938	224.584	2050.605	682.727	175.494	1852.352	802.687	121.811	1860.638	744.196	136.667	1777.425	780.102	109.045	1694.812	788.067	217.837	1679.840	680.418	181.289	1637.985	733.491	72.195	1632.699	689.916	122.615	1554.667	642.717	142.265	1454.362	716.618	96.140	1427.798	653.248	91.659	1396.749
735.209	570.244	1611.777	750.929	578.170	1438.813	651.089	534.153	1557.923	746.172	229.489	1606.022	744.040	213.350	1463.400	664.381	263.114	1554.948	846.814	460.449	1588.439	853.988	402.855	1609.013	853.762	347.388	1584.190	783.589	575.966	1309.110	707.781	592.408	1313.001	707.405	584.009	1188.922	774.094	569.360	1185.405	725.216	552.136	1022.408	746.285	420.084	1008.370	812.358	562.179	882.714	741.169	557.460	879.038	756.901	549.423	769.926	816.055	552.437	777.558	868.451	481.696	583.410	822.852	523.331	608.322	793.476	435.590	612.534	651.700	550.202	544.418	642.846	455.531	549.000	754.151	208.385	1289.288	676.820	213.031	1297.956	666.354	210.730	1176.506	726.861	207.218	1165.053	706.093	215.843	1027.739	703.192	341.595	983.464	771.265	193.885	869.341	699.024	224.041	863.571	720.921	223.686	757.630	779.859	203.842	762.493	860.075	248.510	580.470	803.828	213.348	613.610	775.382	308.638	618.797	642.516	194.966	548.326	629.121	274.174	553.825	842.321	405.181	1741.326	789.730	404.796	2066.676	858.837	484.896	1905.262	863.622	335.193	1899.291	604.458	401.318	2319.255	502.943	368.106	2206.652	624.181	299.114	2214.868	581.028	491.016	2217.992	715.480	589.189	2033.286	687.295	646.411	1832.830	811.089	677.338	1872.475	769.045	683.762	1775.215	787.418	705.021	1713.644	804.955	599.316	1685.327	677.015	695.706	1624.866	801.176	737.364	1602.633	722.990	718.505	1535.807	664.347	648.183	1471.204	706.956	725.520	1450.963	648.683	715.607	1414.390	729.830	224.675	2050.562	682.782	175.519	1852.320	802.741	121.895	1860.667	744.217	136.699	1777.452	780.226	109.086	1694.834	788.071	217.867	1679.809	680.528	181.266	1637.954	733.622	72.167	1632.740	690.065	122.559	1554.670	642.900	142.158	1454.323	716.396	95.982	1427.911	654.130	91.570	1396.626
735.102	570.341	1611.701	750.981	578.211	1438.746	651.065	534.191	1557.827	746.338	229.600	1606.018	744.161	213.394	1463.433	664.588	263.184	1554.949	846.888	460.596	1588.426	854.041	403.052	1609.055	853.851	347.548	1584.165	783.619	576.117	1309.191	707.742	592.477	1312.931	707.409	584.101	1188.889	774.098	569.481	1185.367	725.216	552.236	1022.317	746.351	420.198	1008.327	812.357	562.304	882.663	741.163	557.561	878.975	756.921	549.506	769.866	816.057	552.524	777.464	868.469	481.744	583.342	822.869	523.363	608.258	793.495	435.630	612.501	651.702	550.235	544.403	642.848	455.555	549.006	753.994	208.489	1289.164	676.701	213.080	1297.999	665.964	210.749	1176.598	726.464	207.275	1165.021	705.465	215.945	1027.729	702.591	341.665	983.440	770.749	193.918	869.375	698.545	224.120	863.478	720.610	223.790	757.602	779.538	203.957	762.565	860.000	248.633	580.587	803.751	213.428	613.790	775.278	308.732	618.827	642.512	194.995	548.326	629.097	274.212	553.820	842.246	405.349	1741.361	789.567	404.892	2066.693	858.693	485.048	1905.284	863.542	335.331	1899.321	603.938	401.454	2319.038	502.642	368.260	2206.385	623.746	299.221	2214.717	580.622	491.122	2217.746	715.206	589.278	2033.295	687.120	646.488	1832.781	810.859	677.521	1872.510	768.878	683.960	1775.270	787.222	705.209	1713.627	804.818	599.540	1685.307	676.839	695.818	1624.849	800.995	737.597	1602.652	722.846	718.693	1535.781	664.280	648.314	1471.149	706.823	725.703	1451.030	648.546	715.727	1414.356	729.767	224.796	2050.552	682.715	175.532	1852.250	802.786	121.995	1860.689	744.285	136.739	1777.444	780.322	109.117	1694.847	788.140	217.899	1679.804	680.547	181.215	1637.938	733.757	72.167	1632.766	690.225	122.503	1554.664	643.069	142.043	1454.289	716.599	95.902	1427.897	654.339	91.418	1396.630
734.995	570.411	1611.629	751.142	578.246	1438.635	651.038	534.224	1557.730	746.532	229.720	1606.049	744.273	213.444	1463.419	664.775	263.228	1554.938	846.895	460.745	1588.405	854.081	403.210	1609.001	853.936	347.716	1584.145	783.588	576.192	1309.172	707.730	592.539	1312.928	707.362	584.137	1188.821	774.097	569.596	1185.364	725.253	552.342	1022.294	746.401	420.310	1008.286	812.381	562.454	882.620	741.171	557.651	878.941	756.966	549.604	769.798	816.078	552.614	777.392	868.479	481.785	583.323	822.885	523.413	608.216	793.507	435.655	612.484	651.691	550.257	544.421	642.862	455.601	548.946	754.604	209.325	1289.279	676.629	213.126	1298.055	665.548	210.779	1176.664	726.089	207.305	1165.012	704.806	215.971	1027.774	702.010	341.717	983.474	770.238	193.980	869.465	698.070	224.205	863.394	720.300	223.932	757.586	779.179	204.004	762.650	859.933	248.776	580.781	803.661	213.511	613.870	775.177	308.826	618.898	642.520	195.042	548.366	629.040	274.236	553.821	842.258	405.540	1741.387	789.415	405.043	2066.755	858.590	485.194	1905.306	863.527	335.462	1899.342	603.332	401.597	2318.827	502.206	368.352	2206.316	623.337	299.331	2214.563	580.184	491.198	2217.450	714.963	589.359	2033.263	686.890	646.605	1832.789	810.598	677.686	1872.508	768.665	684.125	1775.298	787.013	705.371	1713.615	804.759	599.746	1685.356	676.683	695.936	1624.803	800.811	737.799	1602.692	722.702	718.865	1535.788	664.267	648.466	1471.157	706.713	725.845	1451.021	648.474	715.874	1414.323	729.676	224.873	2050.501	682.786	175.546	1852.233	802.825	122.096	1860.695	744.362	136.773	1777.448	780.422	109.141	1694.870	788.101	218.094	1679.872	680.640	181.170	1637.901	733.917	72.146	1632.811	690.366	122.426	1554.641	643.229	141.932	1454.223	716.783	95.797	1427.954	654.583	91.302	1396.591
734.917	570.513	1611.580	751.048	578.276	1438.592	650.996	534.212	1557.654	746.704	229.776	1606.042	744.405	213.459	1463.422	664.888	263.248	1554.962	846.881	460.871	1588.339	854.110	403.394	1609.025	854.022	347.871	1584.128	783.626	576.346	1309.273	707.673	592.580	1312.872	707.352	584.214	1188.791	774.097	569.714	1185.340	725.294	552.473	1022.230	746.539	420.427	1008.246	812.396	562.585	882.558	741.184	557.751	878.881	756.974	549.680	769.736	816.068	552.717	777.322	868.482	481.832	583.266	822.907	523.464	608.172	793.528	435.699	612.458	651.683	550.278	544.412	642.859	455.621	548.940	754.258	209.333	1289.122	676.654	213.496	1298.190	665.186	210.812	1176.721	725.707	207.339	1164.985	704.244	216.086	1027.719	701.393	341.736	983.537	769.733	194.023	869.542	697.595	224.270	863.355	719.954	224.037	757.595	778.909	204.138	762.716	859.875	248.917	580.877	803.572	213.589	613.986	775.077	308.940	619.010	642.532	195.055	548.404	628.988	274.253	553.839	842.216	405.688	1741.354	789.237	405.135	2066.779	858.447	485.339	1905.338	863.433	335.606	1899.405	602.742	401.730	2318.565	501.953	368.481	2206.134	622.970	299.431	2214.430	579.826	491.329	2217.216	714.713	589.411	2033.214	686.670	646.681	1832.781	810.387	677.880	1872.538	768.438	684.288	1775.272	786.809	705.534	1713.609	804.627	599.950	1685.349	676.416	696.084	1624.889	800.609	738.014	1602.679	722.553	719.022	1535.753	664.206	648.579	1471.113	706.582	726.001	1451.003	648.346	715.995	1414.277	729.540	224.966	2050.433	682.727	175.532	1852.190	802.869	122.189	1860.723	744.386	136.794	1777.447	780.515	109.163	1694.869	788.107	218.124	1679.832	680.730	181.104	1637.873	734.070	72.133	1632.838	690.508	122.370	1554.638	643.385	141.801	1454.177	716.945	95.654	1427.981	654.739	91.161	1396.580
