NO_OF_SAMPLES	862
FREQUENCY	400
TIME_STAMP	2020-08-07, 13:03:10.235	3928.21248474
FIRST_SAMPLE	1104
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	7390
FORCE_PLATE_CORNER_POSX_POSY_X	586.302996
FORCE_PLATE_CORNER_POSX_POSY_Y	778.885007
FORCE_PLATE_CORNER_POSX_POSY_Z	-12.587900
FORCE_PLATE_CORNER_NEGX_POSY_X	578.343987
FORCE_PLATE_CORNER_NEGX_POSY_Y	399.753004
FORCE_PLATE_CORNER_NEGX_POSY_Z	-14.426700
FORCE_PLATE_CORNER_NEGX_NEGY_X	-1.246320
FORCE_PLATE_CORNER_NEGX_NEGY_Y	401.962012
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-16.833499
FORCE_PLATE_CORNER_POSX_NEGY_X	-0.274277
FORCE_PLATE_CORNER_POSX_NEGY_Y	785.919964
FORCE_PLATE_CORNER_POSX_NEGY_Z	-14.884100
FORCE_PLATE_OFFSET_X	-0.355600
FORCE_PLATE_OFFSET_Y	-0.050800
FORCE_PLATE_OFFSET_Z	-45.389800
FORCE_PLATE_LENGTH	599.948000
FORCE_PLATE_WIDTH	400.050000
Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
0.502833	0.243798	-8.113324	1.241477	-0.815492	-0.370452	-98.055160	-151.703899	0.000000	
0.719402	0.333847	-7.933667	1.107973	-0.710283	-0.388903	-85.767496	-137.795463	0.000000	
0.764906	0.380271	-7.931146	0.975646	-0.815707	-0.370613	-98.826565	-120.888958	0.000000	
0.676636	0.511124	-7.586331	0.976260	-0.850535	-0.398572	-108.421357	-125.679377	0.000000	
0.234842	0.597085	-8.111016	1.130620	-0.780494	-0.370544	-95.267790	-136.102612	0.000000	
0.546063	0.510598	-8.282731	1.241081	-0.833299	-0.323913	-97.969896	-147.092277	0.000000	
0.504982	0.156980	-8.462444	1.154370	-0.973430	-0.389608	-112.676458	-135.619793	0.000000	
0.503107	0.246233	-8.283306	1.108532	-0.850862	-0.342752	-100.318809	-132.528713	0.000000	
0.813534	0.156937	-6.893325	0.998062	-0.867910	-0.379754	-120.904640	-143.804174	0.000000	
0.767694	0.110628	-6.896152	1.086471	-0.779981	-0.416766	-108.406575	-156.870088	0.000000	
0.768573	0.111406	-6.894347	1.085988	-0.780143	-0.379489	-108.452508	-156.835929	0.000000	
0.371637	0.243867	-8.112835	1.241027	-0.815637	-0.333209	-98.812985	-151.657237	0.000000	
0.942816	0.289253	-6.716934	1.019496	-0.762593	-0.388743	-107.517445	-149.876144	0.000000	
0.721576	0.508784	-6.718229	1.063771	-0.762572	-0.379423	-108.988398	-154.954334	0.000000	
0.767108	0.244655	-6.890571	1.085002	-0.710162	-0.342058	-98.365370	-155.901004	0.000000	
0.592902	0.067242	-7.069781	1.020134	-0.832806	-0.389080	-114.347020	-143.914112	0.000000	
0.765888	0.245390	-7.586614	1.107903	-0.745324	-0.370243	-94.015437	-144.616656	0.000000	
0.592260	0.332343	-8.462414	1.374958	-0.903223	-0.361240	-103.912361	-160.746440	0.000000	
0.637759	0.245372	-7.938102	1.197551	-0.920829	-0.342685	-112.710003	-149.508848	0.000000	
0.504256	0.286274	-7.246580	1.197540	-0.850236	-0.388987	-114.526377	-163.513590	0.000000	
0.637445	0.244415	-7.766041	1.197881	-0.920650	-0.370598	-115.178093	-152.868341	0.000000	
