NO_OF_SAMPLES	862
FREQUENCY	400
TIME_STAMP	2020-08-07, 13:03:10.235	3928.21248474
FIRST_SAMPLE	1104
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	7391
FORCE_PLATE_CORNER_POSX_POSY_X	579.468012
FORCE_PLATE_CORNER_POSX_POSY_Y	379.240990
FORCE_PLATE_CORNER_POSX_POSY_Z	-16.077699
FORCE_PLATE_CORNER_NEGX_POSY_X	577.150047
FORCE_PLATE_CORNER_NEGX_POSY_Y	-4.550730
FORCE_PLATE_CORNER_NEGX_POSY_Z	-16.474199
FORCE_PLATE_CORNER_NEGX_NEGY_X	-4.632410
FORCE_PLATE_CORNER_NEGX_NEGY_Y	2.957070
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-16.989401
FORCE_PLATE_CORNER_POSX_NEGY_X	-3.978860
FORCE_PLATE_CORNER_POSX_NEGY_Y	381.323993
FORCE_PLATE_CORNER_POSX_NEGY_Z	-17.207799
FORCE_PLATE_OFFSET_X	-0.304800
FORCE_PLATE_OFFSET_Y	-0.457200
FORCE_PLATE_OFFSET_Z	-46.024800
FORCE_PLATE_LENGTH	599.948000
FORCE_PLATE_WIDTH	400.050000
Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
31.174164	12.219807	58.485326	8.858259	5.263124	6.302585	-114.827689	141.387698	0.000000	
31.216131	12.004513	59.514832	8.945624	5.332803	6.283627	-114.049875	140.568457	0.000000	
31.257504	11.653891	59.856863	8.834769	5.385051	6.273960	-114.304609	138.180217	0.000000	
31.346748	11.824836	58.312333	8.879965	5.419610	6.311666	-117.987240	142.492475	0.000000	
31.214997	12.133089	58.318067	8.899237	5.262501	6.459921	-115.177685	142.565615	0.000000	
31.128513	12.089056	57.628154	8.989653	5.262861	6.404853	-116.490107	145.881986	0.000000	
31.344028	11.782868	58.486382	8.878074	5.228094	6.413608	-114.360347	142.067766	0.000000	
31.125316	11.783101	57.800597	8.921722	5.262704	6.469385	-116.138213	144.513750	0.000000	
31.645851	11.257590	58.483879	8.944155	5.262996	6.422862	-115.199543	143.617149	0.000000	
31.601849	11.303199	59.000668	8.964961	5.280212	6.450379	-114.450647	142.672248	0.000000	
31.512735	11.085810	58.655385	9.053688	5.228264	6.459954	-114.166997	145.198069	0.000000	
31.210233	11.786049	58.489940	8.963790	5.088630	6.552648	-111.863717	143.522078	0.000000	
31.600828	11.172050	58.485039	9.053323	5.297589	6.478431	-115.753314	145.548204	0.000000	
31.556522	11.084803	58.656109	9.009152	5.280294	6.469062	-115.086990	144.437786	0.000000	
31.598964	10.997060	59.343714	8.853531	5.245456	6.477840	-113.202892	140.204598	0.000000	
31.774822	11.216753	59.173677	9.052039	5.262624	6.505941	-113.954221	143.792583	0.000000	
31.774914	11.217342	58.828238	9.141758	5.158598	6.478639	-112.853328	146.164253	0.000000	
31.516031	11.694297	57.287288	9.008988	5.140690	6.571670	-115.360151	147.407367	0.000000	
31.340957	11.741762	58.319861	9.028978	5.210015	6.598866	-114.373603	145.094694	0.000000	
31.471776	11.698340	57.802207	9.185245	5.106009	6.571737	-113.699963	149.136236	0.000000	
31.518002	11.915320	57.974048	9.097723	5.158180	6.515998	-114.300459	147.010909	0.000000	
31.907482	11.432669	58.658385	8.987163	5.140990	6.487809	-112.983069	143.784359	0.000000	
31.690897	11.653413	58.831511	9.052992	5.210422	6.487719	-113.662235	144.306131	0.000000	
31.910098	11.648486	57.455866	9.033180	5.158407	6.469903	-115.646595	147.431284	0.000000	
31.909798	11.694379	57.800146	9.120808	5.140952	6.488399	-114.657351	148.029902	0.000000	
32.042119	11.868308	57.801343	9.120804	5.158190	6.488399	-115.058578	147.888272	0.000000	
31.869086	12.303651	56.775241	9.031879	4.983928	6.590760	-113.922932	148.650146	0.000000	
31.954175	12.088310	57.633503	9.141106	5.001338	6.599736	-112.600987	148.496850	0.000000	
31.737623	12.043865	57.286451	9.121331	5.088709	6.497979	-114.632478	149.089761	0.000000	
31.822224	11.915023	57.631677	9.207714	5.018939	6.581278	-112.804570	149.795711	0.000000	
31.866728	11.958326	57.975265	9.163523	5.088455	6.553220	-113.372239	148.108624	0.000000	
31.996262	11.653702	58.143847	9.318859	5.158293	6.506990	-114.348076	150.590596	0.000000	
32.303407	12.002138	59.177734	9.140965	5.071026	6.515734	-111.119846	144.674565	0.000000	
31.911399	11.958098	57.801567	9.231159	5.123452	6.497853	-114.353044	149.725400	0.000000	
31.606994	12.221194	58.319808	9.053090	5.105820	6.525152	-112.797038	145.129896	0.000000	
31.782080	12.307020	57.288498	9.165087	4.966850	6.535252	-112.536998	149.636792	0.000000	
32.173964	12.305883	57.462282	9.185988	4.931762	6.590775	-111.900820	149.547501	0.000000	
31.998010	12.088549	57.460688	9.208130	4.966707	6.581468	-112.371147	150.111085	0.000000	
31.870500	12.437440	57.289495	9.165019	5.001490	6.535217	-113.210730	149.528215	0.000000	
32.261758	12.304091	57.119815	9.185681	5.053242	6.609237	-114.767409	150.442931	0.000000	
