NO_OF_SAMPLES	712
FREQUENCY	400
TIME_STAMP	2020-08-07, 12:48:47.992	3065.10169880
FIRST_SAMPLE	2144
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	7390
FORCE_PLATE_CORNER_POSX_POSY_X	586.302996
FORCE_PLATE_CORNER_POSX_POSY_Y	778.885007
FORCE_PLATE_CORNER_POSX_POSY_Z	-12.587900
FORCE_PLATE_CORNER_NEGX_POSY_X	578.343987
FORCE_PLATE_CORNER_NEGX_POSY_Y	399.753004
FORCE_PLATE_CORNER_NEGX_POSY_Z	-14.426700
FORCE_PLATE_CORNER_NEGX_NEGY_X	-1.246320
FORCE_PLATE_CORNER_NEGX_NEGY_Y	401.962012
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-16.833499
FORCE_PLATE_CORNER_POSX_NEGY_X	-0.274277
FORCE_PLATE_CORNER_POSX_NEGY_Y	785.919964
FORCE_PLATE_CORNER_POSX_NEGY_Z	-14.884100
FORCE_PLATE_OFFSET_X	-0.355600
FORCE_PLATE_OFFSET_Y	-0.050800
FORCE_PLATE_OFFSET_Z	-45.389800
FORCE_PLATE_LENGTH	599.948000
FORCE_PLATE_WIDTH	400.050000
Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
24.656550	-1.953671	364.180486	19.078401	13.048549	0.719424	-39.258576	52.579911	0.000000	
24.345116	-1.645303	362.785890	19.256865	12.978252	0.691087	-39.175391	53.235575	0.000000	
24.393296	-1.958625	364.346372	19.365945	13.101505	0.719813	-39.353412	53.345770	0.000000	
24.653317	-1.822343	363.833993	19.276377	13.206354	0.738522	-39.728951	53.157788	0.000000	
24.786592	-1.739575	365.565200	19.387357	13.242367	0.673958	-39.657551	53.199115	0.000000	
24.651103	-1.387549	365.564516	19.409841	13.260052	0.646044	-39.689180	53.217011	0.000000	
24.396672	-1.786127	364.858670	19.633069	12.961742	0.691980	-38.916016	53.981466	0.000000	
24.431939	-1.523615	365.207853	19.610122	13.225274	0.599432	-39.605126	53.834347	0.000000	
24.524426	-1.436693	366.248470	19.654653	13.120308	0.627506	-39.218471	53.792058	0.000000	
24.568242	-1.481219	365.725581	19.809622	13.137806	0.627582	-39.327316	54.298294	0.000000	
24.616847	-1.663300	367.280925	19.942782	13.121067	0.590808	-39.122712	54.453199	0.000000	
24.919885	-1.439956	367.812495	19.742009	13.296382	0.591191	-39.580725	53.801009	0.000000	
25.099690	-1.532791	369.543986	19.808803	13.279664	0.545111	-39.373781	53.740838	0.000000	
24.924467	-1.799682	369.540163	19.852809	13.332380	0.535891	-39.495316	53.893260	0.000000	
25.276696	-1.401908	370.239327	19.962925	13.332497	0.573569	-39.464900	54.040042	0.000000	
25.317543	-1.313036	370.241890	19.874178	13.402677	0.545682	-39.659188	53.789072	0.000000	
