NO_OF_SAMPLES	892
FREQUENCY	400
TIME_STAMP	2020-08-07, 12:57:46.883	3604.53445864
FIRST_SAMPLE	1191
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	7390
FORCE_PLATE_CORNER_POSX_POSY_X	586.302996
FORCE_PLATE_CORNER_POSX_POSY_Y	778.885007
FORCE_PLATE_CORNER_POSX_POSY_Z	-12.587900
FORCE_PLATE_CORNER_NEGX_POSY_X	578.343987
FORCE_PLATE_CORNER_NEGX_POSY_Y	399.753004
FORCE_PLATE_CORNER_NEGX_POSY_Z	-14.426700
FORCE_PLATE_CORNER_NEGX_NEGY_X	-1.246320
FORCE_PLATE_CORNER_NEGX_NEGY_Y	401.962012
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-16.833499
FORCE_PLATE_CORNER_POSX_NEGY_X	-0.274277
FORCE_PLATE_CORNER_POSX_NEGY_Y	785.919964
FORCE_PLATE_CORNER_POSX_NEGY_Z	-14.884100
FORCE_PLATE_OFFSET_X	-0.355600
FORCE_PLATE_OFFSET_Y	-0.050800
FORCE_PLATE_OFFSET_Z	-45.389800
FORCE_PLATE_LENGTH	599.948000
FORCE_PLATE_WIDTH	400.050000
Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
-37.505975	3.410417	-5.992670	1.081503	-0.164784	0.395343	-311.931629	-154.690548	0.000000	
-37.507554	3.583090	-4.778338	1.147191	-0.041450	0.368032	-365.317245	-206.096454	0.000000	
-37.505415	3.496642	-5.821229	1.280302	-0.129558	0.414313	-315.052265	-192.723273	0.000000	
-37.858617	3.406043	-5.476405	1.191435	-0.059251	0.395724	-324.956590	-189.378642	0.000000	
-37.813403	3.540821	-5.473342	1.081152	-0.164697	0.423361	-344.028635	-168.217626	0.000000	
-37.858561	3.850726	-5.468755	1.146303	-0.112354	0.498098	-335.120296	-177.699902	0.000000	
-37.157776	3.630550	-4.072026	0.923841	0.116204	0.405678	-386.006312	-186.456933	0.000000	
-37.553177	3.497133	-4.596857	0.946047	0.098485	0.424063	-349.734747	-171.322881	0.000000	
-37.554988	3.632448	-5.113470	0.835329	0.080593	0.442422	-317.952067	-131.165773	0.000000	
-37.334647	3.544509	-5.287459	0.901967	0.080651	0.423861	-305.598840	-140.209336	0.000000	
-37.730110	3.497910	-4.943959	0.857702	0.080776	0.423800	-330.412165	-141.421892	0.000000	
-37.729537	3.675609	-6.164018	1.014688	-0.112311	0.404616	-296.403999	-137.599615	0.000000	
-37.637546	3.631664	-5.814727	1.146264	-0.112491	0.498055	-313.500413	-168.833248	0.000000	
-37.591408	3.408375	-5.298816	1.191141	-0.129613	0.451602	-346.825415	-195.648423	0.000000	
