NO_OF_SAMPLES	892
FREQUENCY	400
TIME_STAMP	2020-08-07, 12:57:46.883	3604.53445864
FIRST_SAMPLE	1191
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	7391
FORCE_PLATE_CORNER_POSX_POSY_X	579.468012
FORCE_PLATE_CORNER_POSX_POSY_Y	379.240990
FORCE_PLATE_CORNER_POSX_POSY_Z	-16.077699
FORCE_PLATE_CORNER_NEGX_POSY_X	577.150047
FORCE_PLATE_CORNER_NEGX_POSY_Y	-4.550730
FORCE_PLATE_CORNER_NEGX_POSY_Z	-16.474199
FORCE_PLATE_CORNER_NEGX_NEGY_X	-4.632410
FORCE_PLATE_CORNER_NEGX_NEGY_Y	2.957070
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-16.989401
FORCE_PLATE_CORNER_POSX_NEGY_X	-3.978860
FORCE_PLATE_CORNER_POSX_NEGY_Y	381.323993
FORCE_PLATE_CORNER_POSX_NEGY_Z	-17.207799
FORCE_PLATE_OFFSET_X	-0.304800
FORCE_PLATE_OFFSET_Y	-0.457200
FORCE_PLATE_OFFSET_Z	-46.024800
FORCE_PLATE_LENGTH	599.948000
FORCE_PLATE_WIDTH	400.050000
Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
19.220988	13.975275	61.496704	8.222085	6.214842	3.597785	-115.749749	122.783152	0.000000	
19.438561	13.798577	61.323546	8.222664	6.249693	3.579311	-116.807334	123.273203	0.000000	
19.479380	13.537366	62.182049	8.132976	6.197555	3.597362	-114.390606	120.315945	0.000000	
19.481101	13.713561	61.839653	8.331743	6.319086	3.606861	-116.988821	124.067745	0.000000	
19.263563	13.844044	61.840815	8.176877	6.284248	3.615946	-116.261379	121.464023	0.000000	
19.480464	13.757816	62.356359	8.242313	6.249413	3.634366	-114.904146	121.569039	0.000000	
19.740383	13.186530	62.178610	8.222420	6.354276	3.532490	-117.110608	122.020818	0.000000	
19.522533	13.363735	63.039607	8.132561	6.336719	3.550510	-115.077726	118.793190	0.000000	
19.698228	13.451038	63.211666	8.198916	6.406187	3.531943	-115.992208	119.454756	0.000000	
19.740159	13.321965	63.553902	8.265155	6.284682	3.532065	-113.487759	119.944763	0.000000	
19.742832	13.537417	63.039692	8.177495	6.388843	3.513534	-116.065254	119.379012	0.000000	
19.305294	13.627090	62.009665	8.243979	6.145551	3.588421	-113.739918	122.375190	0.000000	
19.305075	13.582874	62.182064	8.199171	6.214974	3.597416	-114.541704	121.346760	0.000000	
19.437176	13.800617	62.184325	8.176560	6.197328	3.625187	-114.351542	120.817572	0.000000	
19.348779	13.320820	63.209379	8.133466	6.423897	3.485547	-116.022137	118.518458	0.000000	
19.477980	13.279896	63.897189	8.220559	6.319518	3.522524	-113.236022	118.630267	0.000000	
19.696136	13.230744	62.696718	8.132071	6.388696	3.587569	-116.661869	119.535189	0.000000	
19.478914	13.319088	62.695325	8.111065	6.336805	3.541377	-115.677332	119.137950	0.000000	
19.740236	13.232624	63.038264	8.243431	6.371581	3.532117	-115.792134	120.650223	0.000000	
19.698684	13.448466	62.179344	8.178767	6.302115	3.514040	-116.239496	121.123436	0.000000	
19.436184	13.627129	62.354978	8.264750	6.266949	3.615858	-115.155229	122.028042	0.000000	
19.478322	13.233414	62.694138	8.243863	6.336942	3.532303	-115.681258	121.321289	0.000000	
19.391329	13.232663	62.693708	8.155842	6.337013	3.513680	-115.619327	119.918692	0.000000	
19.479309	13.232047	62.349897	8.244639	6.423914	3.504576	-117.713908	122.007097	0.000000	
19.438033	13.797713	61.840202	8.044888	6.232149	3.597360	-115.549913	119.365353	0.000000	
19.739533	13.234409	63.211115	8.330811	6.371444	3.569151	-115.473666	121.700109	0.000000	
19.438573	14.020527	62.701324	8.197942	6.231928	3.624957	-113.964027	119.997192	0.000000	
19.479315	13.758275	62.186222	8.263401	6.179684	3.699314	-114.095523	122.241676	0.000000	
