NO_OF_FRAMES	416
NO_OF_CAMERAS	16
NO_OF_MARKERS	71
FREQUENCY	400
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-08-07, 12:59:53.408	3731.18528821
DATA_INCLUDED	3D
MARKER_NAMES	R_illiac	R_troch	R_asis	L_illiac	L_troch	L_asis	R_PSIS	Sacrum	L_PSIS	R_thigh1	R_thigh2	R_thigh3	R_thigh4	RL_knee	RM_Knee	R_shank1	R_shank2	R_shank3	R_shank4	R_heel	RL_ankle	RM_ankle	R_Metatarsal5	R_Metatarsal1	L_thigh1	L_thigh2	L_thigh3	L_thigh4	LL_knee	LM_Knee	L_shank1	L_shank2	L_shank3	L_shank4	L_heel	LL_ankle	LM_Ankle	L_Metatarsal5	L_Metatarsal1	Back_down	Neck	Back_right	Back_left	Head_up	Head_front	Head_left	Head_right	R_shoulder	R_humerus1	R_humerus2	R_humerus3	Rl_elbow	RM_elbow	R_radius1	R_radius2	R_radius3	RL_wrist	Rm_wrist	R_hand	L_shoulder	L_humerus1	L_humerus2	L_humerus3	LL_elbow	LM_elbow	L_radius1	L_radius2	L_radius3	LL_wrist	Lm_wrist	L_hand
R_illiac X	R_illiac Y	R_illiac Z	R_troch X	R_troch Y	R_troch Z	R_asis X	R_asis Y	R_asis Z	L_illiac X	L_illiac Y	L_illiac Z	L_troch X	L_troch Y	L_troch Z	L_asis X	L_asis Y	L_asis Z	R_PSIS X	R_PSIS Y	R_PSIS Z	Sacrum X	Sacrum Y	Sacrum Z	L_PSIS X	L_PSIS Y	L_PSIS Z	R_thigh1 X	R_thigh1 Y	R_thigh1 Z	R_thigh2 X	R_thigh2 Y	R_thigh2 Z	R_thigh3 X	R_thigh3 Y	R_thigh3 Z	R_thigh4 X	R_thigh4 Y	R_thigh4 Z	RL_knee X	RL_knee Y	RL_knee Z	RM_Knee X	RM_Knee Y	RM_Knee Z	R_shank1 X	R_shank1 Y	R_shank1 Z	R_shank2 X	R_shank2 Y	R_shank2 Z	R_shank3 X	R_shank3 Y	R_shank3 Z	R_shank4 X	R_shank4 Y	R_shank4 Z	R_heel X	R_heel Y	R_heel Z	RL_ankle X	RL_ankle Y	RL_ankle Z	RM_ankle X	RM_ankle Y	RM_ankle Z	R_Metatarsal5 X	R_Metatarsal5 Y	R_Metatarsal5 Z	R_Metatarsal1 X	R_Metatarsal1 Y	R_Metatarsal1 Z	L_thigh1 X	L_thigh1 Y	L_thigh1 Z	L_thigh2 X	L_thigh2 Y	L_thigh2 Z	L_thigh3 X	L_thigh3 Y	L_thigh3 Z	L_thigh4 X	L_thigh4 Y	L_thigh4 Z	LL_knee X	LL_knee Y	LL_knee Z	LM_Knee X	LM_Knee Y	LM_Knee Z	L_shank1 X	L_shank1 Y	L_shank1 Z	L_shank2 X	L_shank2 Y	L_shank2 Z	L_shank3 X	L_shank3 Y	L_shank3 Z	L_shank4 X	L_shank4 Y	L_shank4 Z	L_heel X	L_heel Y	L_heel Z	LL_ankle X	LL_ankle Y	LL_ankle Z	LM_Ankle X	LM_Ankle Y	LM_Ankle Z	L_Metatarsal5 X	L_Metatarsal5 Y	L_Metatarsal5 Z	L_Metatarsal1 X	L_Metatarsal1 Y	L_Metatarsal1 Z	Back_down X	Back_down Y	Back_down Z	Neck X	Neck Y	Neck Z	Back_right X	Back_right Y	Back_right Z	Back_left X	Back_left Y	Back_left Z	Head_up X	Head_up Y	Head_up Z	Head_front X	Head_front Y	Head_front Z	Head_left X	Head_left Y	Head_left Z	Head_right X	Head_right Y	Head_right Z	R_shoulder X	R_shoulder Y	R_shoulder Z	R_humerus1 X	R_humerus1 Y	R_humerus1 Z	R_humerus2 X	R_humerus2 Y	R_humerus2 Z	R_humerus3 X	R_humerus3 Y	R_humerus3 Z	Rl_elbow X	Rl_elbow Y	Rl_elbow Z	RM_elbow X	RM_elbow Y	RM_elbow Z	R_radius1 X	R_radius1 Y	R_radius1 Z	R_radius2 X	R_radius2 Y	R_radius2 Z	R_radius3 X	R_radius3 Y	R_radius3 Z	RL_wrist X	RL_wrist Y	RL_wrist Z	Rm_wrist X	Rm_wrist Y	Rm_wrist Z	R_hand X	R_hand Y	R_hand Z	L_shoulder X	L_shoulder Y	L_shoulder Z	L_humerus1 X	L_humerus1 Y	L_humerus1 Z	L_humerus2 X	L_humerus2 Y	L_humerus2 Z	L_humerus3 X	L_humerus3 Y	L_humerus3 Z	LL_elbow X	LL_elbow Y	LL_elbow Z	LM_elbow X	LM_elbow Y	LM_elbow Z	L_radius1 X	L_radius1 Y	L_radius1 Z	L_radius2 X	L_radius2 Y	L_radius2 Z	L_radius3 X	L_radius3 Y	L_radius3 Z	LL_wrist X	LL_wrist Y	LL_wrist Z	Lm_wrist X	Lm_wrist Y	Lm_wrist Z	L_hand X	L_hand Y	L_hand Z	
512.504	537.573	1445.990	537.052	570.460	1256.390	441.359	498.889	1380.542	517.617	203.138	1414.656	527.757	193.811	1260.852	448.287	245.709	1353.903	627.502	431.314	1419.304	631.521	369.493	1441.590	634.668	315.042	1408.009	535.520	566.891	1122.108	463.164	577.093	1146.770	432.235	575.402	1025.790	496.363	565.598	1004.483	410.733	548.460	854.447	425.935	415.510	837.665	482.791	560.742	721.266	411.690	557.556	719.984	423.409	555.577	610.096	482.982	557.521	615.841	522.906	504.940	415.556	474.218	543.595	435.028	449.959	451.462	436.262	310.844	550.135	340.689	310.515	456.065	348.490	521.245	199.715	1087.793	446.089	194.278	1109.520	415.206	193.161	990.417	474.463	197.228	968.389	440.467	213.903	832.795	408.124	338.022	801.599	553.383	234.127	707.240	478.751	246.433	679.319	534.190	269.233	588.770	590.409	261.915	612.836	709.245	366.734	495.586	666.011	305.471	487.487	607.174	388.735	476.461	584.041	256.974	342.834	546.032	327.075	332.296	598.717	361.687	1578.786	486.764	342.258	1890.013	578.530	431.469	1756.465	574.697	271.064	1735.069	254.394	335.038	2084.301	174.726	316.189	1952.412	289.144	237.154	1978.855	256.276	431.600	1987.190	407.564	526.666	1871.147	430.763	631.250	1696.066	513.532	668.143	1791.387	510.392	700.826	1691.972	532.493	736.844	1639.163	610.204	658.912	1626.598	484.939	641.527	1548.060	541.663	757.556	1523.958	512.002	681.388	1459.369	550.231	586.920	1412.092	495.133	657.066	1382.829	475.628	597.748	1385.093	403.225	176.186	1861.288	396.576	109.061	1665.409	460.518	16.484	1732.289	452.447	27.768	1630.596	480.268	-20.669	1557.882	573.203	38.073	1574.197	515.214	107.078	1531.458	447.263	17.827	1483.358	492.259	94.273	1431.985	530.999	165.778	1374.184	495.831	106.402	1313.031	472.746	156.305	1342.366
511.378	537.766	1444.940	536.312	570.531	1255.415	440.515	498.933	1379.281	516.891	203.350	1413.899	527.157	193.795	1260.158	447.814	245.779	1353.025	626.550	431.632	1418.425	630.484	369.927	1440.878	633.871	315.399	1407.367	534.807	567.152	1121.089	462.479	577.101	1145.566	431.554	575.367	1024.531	495.689	565.752	1003.269	410.210	548.621	853.236	425.472	415.752	836.294	482.212	561.188	719.965	411.126	557.852	718.703	422.768	556.059	608.796	482.480	557.302	614.511	522.352	505.639	414.273	473.578	544.177	433.706	449.426	451.999	434.914	310.254	550.454	339.286	310.097	456.423	347.042	520.480	199.960	1086.577	445.468	193.838	1108.810	413.865	192.340	990.178	473.485	197.585	968.344	438.549	213.660	832.565	404.916	337.229	801.234	551.477	234.974	707.289	476.688	245.602	679.269	531.835	269.107	588.722	588.601	262.477	612.367	705.967	368.700	494.050	663.303	306.648	486.835	603.702	389.315	475.496	580.813	256.506	342.894	542.087	326.148	332.148	597.425	362.210	1578.182	484.912	342.582	1888.936	576.689	432.036	1755.638	573.129	271.503	1734.328	252.797	335.157	2083.013	173.067	316.281	1951.294	287.520	237.291	1977.681	254.568	431.766	1985.934	405.266	526.764	1869.988	428.605	631.558	1695.116	511.077	668.518	1790.589	508.180	701.243	1691.181	530.515	737.243	1638.398	608.263	659.546	1626.076	483.302	641.828	1547.429	540.024	757.921	1523.272	510.576	681.641	1458.623	549.136	587.178	1411.679	494.071	657.493	1381.810	474.590	597.835	1384.279	401.476	176.515	1860.235	395.289	109.251	1664.408	458.998	16.681	1731.470	451.112	27.956	1629.673	479.197	-20.452	1556.992	572.118	38.180	1573.599	514.211	107.300	1530.693	446.404	18.010	1482.328	491.560	94.476	1431.210	530.513	165.937	1373.455	495.429	106.525	1312.228	472.393	156.364	1341.527
510.240	538.016	1443.832	535.608	570.550	1254.139	439.564	499.046	1377.880	516.206	203.576	1413.164	526.704	193.761	1259.461	447.192	245.864	1352.179	625.588	431.969	1417.546	629.738	370.134	1440.234	633.175	315.218	1406.972	534.134	567.353	1119.989	461.777	577.062	1144.370	430.933	575.373	1023.145	495.015	565.883	1001.896	409.661	548.862	851.823	424.997	415.939	834.859	481.533	561.568	718.566	410.490	558.109	717.333	422.214	556.432	607.473	481.888	557.720	613.104	521.744	506.344	412.937	472.949	544.747	432.381	448.940	452.582	433.569	309.611	550.877	337.789	309.630	456.836	345.622	519.720	200.158	1085.783	444.919	193.452	1108.175	412.910	192.087	989.568	471.853	197.201	966.783	436.921	213.400	832.337	401.920	336.665	800.834	549.683	235.880	707.202	474.753	245.212	679.022	529.499	268.973	588.343	586.393	263.867	612.155	702.661	370.264	492.360	660.427	307.834	485.662	600.307	389.966	474.479	577.199	256.110	342.986	537.760	325.351	332.131	596.074	362.792	1577.416	483.062	342.920	1887.789	574.760	432.609	1754.604	571.594	271.915	1733.333	251.217	335.298	2081.799	171.377	316.405	1950.005	285.884	237.450	1976.451	252.937	431.890	1984.716	403.015	526.918	1868.863	426.525	631.843	1694.107	508.696	668.915	1789.884	506.030	701.736	1690.503	528.423	737.720	1637.561	606.399	660.138	1625.567	481.685	642.102	1546.373	538.258	758.249	1522.391	509.167	681.873	1457.851	547.860	587.358	1411.025	493.017	657.360	1381.171	473.487	597.927	1383.269	399.661	176.810	1859.001	393.936	109.614	1663.093	457.370	16.918	1730.420	449.847	28.206	1628.613	478.184	-20.302	1556.056	571.009	38.417	1572.946	513.276	107.425	1529.876	445.680	18.241	1481.243	490.901	94.634	1430.348	529.992	166.109	1372.648	495.113	106.669	1311.250	472.024	156.405	1340.640
509.097	538.227	1442.682	534.847	570.644	1253.072	438.703	499.176	1376.494	515.458	203.898	1412.321	526.039	193.775	1258.568	446.555	245.913	1351.025	624.443	432.270	1416.496	628.794	370.606	1439.460	632.313	315.553	1406.159	533.512	567.466	1118.639	461.140	577.094	1143.253	430.282	575.454	1022.047	494.492	566.103	1000.831	409.155	549.101	850.382	424.615	416.176	833.282	481.044	561.898	717.203	409.935	558.397	715.958	421.597	556.685	606.079	481.137	558.845	611.793	521.152	506.953	411.482	472.217	545.396	430.844	448.412	453.136	432.110	309.045	551.298	336.256	309.083	457.253	344.008	519.123	200.384	1084.589	444.524	193.110	1107.405	411.855	191.194	989.339	471.067	197.516	966.664	435.447	213.204	832.116	398.908	335.922	800.314	547.970	236.754	706.930	472.905	244.844	678.742	527.187	268.881	587.876	584.125	264.550	611.543	699.423	371.636	490.300	657.518	308.758	484.418	596.903	390.603	473.312	573.224	255.796	343.080	533.297	324.792	332.070	594.771	363.338	1576.515	481.261	343.257	1886.699	572.965	433.269	1753.650	569.989	272.344	1732.402	249.661	335.425	2080.488	169.723	316.518	1948.806	284.289	237.537	1975.008	251.157	432.028	1983.305	400.651	527.030	1867.475	424.400	632.096	1693.044	506.265	669.286	1788.993	503.770	702.144	1689.561	526.364	738.119	1636.756	604.441	660.797	1624.950	480.083	642.461	1545.616	536.513	758.600	1521.497	507.789	682.061	1456.847	546.704	587.518	1410.333	491.884	657.495	1380.344	472.423	597.978	1382.228	397.881	177.101	1857.855	392.592	109.790	1661.919	455.814	17.156	1729.404	448.524	28.408	1627.519	477.090	-20.073	1555.130	569.940	38.581	1572.247	512.339	107.552	1528.910	444.784	18.438	1480.246	490.305	94.843	1429.369	529.435	166.254	1371.751	494.851	106.791	1310.303	471.522	156.420	1339.715
508.060	538.434	1441.337	534.151	570.673	1251.726	437.691	499.329	1375.102	514.687	204.154	1411.338	525.500	193.790	1257.749	445.942	246.008	1350.140	623.294	432.595	1415.271	627.896	371.035	1438.578	631.451	315.899	1405.283	532.871	567.583	1117.290	460.385	576.995	1141.759	429.601	575.467	1020.808	493.852	566.305	999.557	408.579	549.330	849.004	424.111	416.407	831.700	480.435	562.251	715.659	409.379	558.682	714.452	420.961	557.130	604.537	480.489	559.089	610.337	520.517	507.612	410.015	471.615	546.009	429.455	447.756	453.650	430.511	308.388	551.754	334.615	308.578	457.699	342.316	518.536	200.653	1083.470	444.211	192.830	1106.454	411.101	191.151	988.165	469.650	197.103	965.145	434.200	213.022	831.637	396.389	335.371	799.831	546.328	237.559	706.438	471.198	244.488	678.310	524.927	268.751	587.240	582.259	265.998	611.893	696.311	372.800	488.023	654.403	309.723	483.006	593.476	391.206	472.137	568.864	255.656	342.778	528.607	324.295	331.956	593.447	363.858	1575.689	479.386	343.570	1885.383	571.062	433.852	1752.478	568.384	272.723	1731.375	247.985	335.608	2079.010	168.252	316.458	1947.317	282.562	237.695	1973.595	249.568	432.268	1982.003	398.488	527.224	1866.334	422.208	632.453	1691.812	503.846	669.636	1788.017	501.601	702.640	1688.716	524.250	738.596	1635.856	602.581	661.303	1624.345	478.437	642.710	1544.564	534.834	758.956	1520.532	506.321	682.301	1456.063	545.522	587.749	1409.702	490.674	657.640	1379.274	471.359	598.058	1381.129	396.030	177.398	1856.493	391.292	110.026	1660.672	454.217	17.360	1728.248	447.263	28.619	1626.433	476.049	-19.904	1554.014	568.778	38.735	1571.453	511.477	107.735	1528.061	443.958	18.602	1479.057	489.656	95.001	1428.339	528.938	166.409	1370.816	494.531	106.919	1309.457	471.062	156.430	1338.666
507.014	538.614	1440.021	533.430	570.721	1250.284	436.771	499.537	1373.462	513.858	204.345	1410.429	524.848	193.818	1256.649	445.354	246.073	1348.941	622.127	432.929	1414.093	626.810	371.460	1437.590	630.579	316.298	1404.404	532.216	567.704	1115.976	459.775	577.013	1140.490	428.967	575.426	1019.216	493.193	566.364	997.957	408.093	549.597	847.424	423.721	416.693	830.057	479.853	562.657	714.143	408.881	558.909	713.103	420.355	557.593	603.041	480.033	559.075	608.688	519.844	508.265	408.458	470.962	546.578	427.976	447.142	454.272	428.984	307.820	552.289	333.092	308.025	458.186	340.722	518.063	200.970	1082.255	444.082	192.644	1105.478	412.441	192.187	986.250	468.970	197.450	964.648	432.993	212.841	831.156	393.995	334.853	799.139	544.783	238.389	705.741	469.419	244.062	677.806	522.663	268.661	586.519	580.165	266.929	611.084	693.064	373.806	485.429	651.314	310.545	481.332	590.119	391.810	470.837	564.358	255.570	342.390	522.809	323.731	332.314	592.035	364.385	1574.547	477.576	343.938	1884.121	569.253	434.483	1751.340	566.688	273.104	1730.183	246.447	335.771	2077.736	166.590	316.613	1945.988	280.935	237.895	1972.108	247.814	432.383	1980.478	396.096	527.383	1864.774	420.128	632.774	1690.613	501.403	670.028	1786.990	499.392	703.057	1687.737	522.253	738.970	1634.787	600.709	661.850	1623.642	476.776	643.052	1543.446	533.109	759.289	1519.485	504.960	682.489	1454.937	544.468	587.964	1409.044	489.674	657.796	1378.165	470.325	598.135	1380.025	394.264	177.707	1855.212	389.967	110.373	1659.128	452.689	17.563	1727.118	445.951	28.820	1625.228	474.994	-19.729	1552.905	567.744	38.926	1570.629	510.532	107.849	1526.957	443.075	18.790	1477.952	488.946	95.149	1427.299	528.358	166.571	1369.820	494.167	106.963	1308.199	470.672	156.479	1337.553
505.919	538.880	1438.529	532.741	570.680	1248.961	435.801	499.764	1371.870	513.011	204.606	1409.342	524.338	193.842	1255.788	444.612	246.155	1347.767	620.908	433.192	1412.747	625.833	371.859	1436.689	629.713	316.598	1403.471	531.576	567.807	1114.446	459.092	576.996	1139.070	428.346	575.428	1017.517	492.575	566.525	996.562	407.618	549.815	845.840	423.260	416.936	828.282	479.254	562.982	712.566	408.331	559.214	711.515	419.773	557.876	601.531	479.327	560.184	607.262	519.192	508.911	406.945	470.269	547.197	426.332	446.520	454.796	427.251	307.127	552.828	331.304	307.403	458.705	338.925	517.620	201.303	1081.028	444.643	193.000	1104.111	411.664	191.408	985.371	467.662	196.987	962.946	431.938	212.668	830.562	391.496	334.382	798.438	543.317	239.133	705.011	467.758	243.688	676.995	520.379	268.541	585.607	577.151	266.492	609.325	689.842	374.646	482.781	648.170	311.379	479.548	586.591	392.328	469.372	559.589	255.606	341.987	517.770	323.585	332.173	590.682	364.906	1573.540	475.759	344.258	1882.696	567.351	435.135	1750.035	565.112	273.480	1729.096	244.775	335.972	2076.058	164.884	316.771	1944.567	279.242	238.091	1970.648	246.131	432.593	1979.133	393.937	527.603	1863.457	417.950	633.058	1689.242	499.013	670.414	1785.942	497.182	703.468	1686.559	520.107	739.422	1633.650	598.852	662.452	1622.884	475.166	643.367	1542.412	531.439	759.624	1518.362	503.498	682.716	1453.855	543.230	588.118	1408.145	488.485	657.877	1377.235	469.235	598.222	1378.663	392.401	177.973	1853.805	388.659	110.533	1657.962	451.056	17.805	1725.849	444.677	29.050	1623.806	474.030	-19.565	1551.813	566.626	39.123	1569.728	509.590	107.986	1525.861	442.277	18.983	1476.613	488.246	95.300	1426.143	527.803	166.666	1368.739	493.805	107.063	1307.118	470.145	156.484	1336.478
504.862	539.063	1436.964	531.872	570.734	1247.591	434.784	499.941	1370.236	512.167	204.864	1408.267	523.600	193.924	1254.580	443.974	246.234	1346.576	619.635	433.533	1411.368	624.714	372.219	1435.482	628.735	317.006	1402.293	530.824	567.990	1113.134	458.374	576.948	1137.488	427.725	575.460	1016.202	491.949	566.638	995.003	407.151	550.037	844.218	422.813	417.149	826.486	478.798	563.342	710.872	407.798	559.540	709.816	419.137	558.324	599.801	478.684	560.387	605.543	518.521	509.535	405.216	469.622	547.780	424.731	445.970	455.414	425.604	306.488	553.418	329.631	306.822	459.250	337.253	517.201	201.692	1079.743	444.448	192.731	1102.954	411.194	191.225	984.422	467.358	197.533	962.551	431.024	212.526	829.961	389.307	333.922	797.635	541.874	239.852	704.022	466.089	243.399	676.313	518.106	268.454	584.559	574.923	267.136	608.033	686.595	375.385	479.901	644.843	312.055	477.603	583.203	392.861	467.978	554.621	255.641	341.250	512.869	323.619	331.657	589.339	365.406	1572.386	473.919	344.647	1881.245	565.549	435.781	1748.765	563.374	273.789	1727.758	243.240	336.125	2074.699	163.197	316.947	1943.065	277.650	238.284	1969.128	244.337	432.737	1977.421	391.636	527.840	1861.932	415.887	633.298	1687.886	496.581	670.801	1784.742	494.965	703.919	1685.464	518.127	739.876	1632.561	597.002	662.922	1622.114	473.479	643.685	1541.194	529.784	759.963	1517.278	502.090	682.936	1452.736	542.053	588.298	1407.272	487.679	658.364	1375.747	468.177	598.294	1377.447	390.640	178.306	1852.326	387.329	110.855	1656.414	449.487	17.979	1724.636	443.375	29.242	1622.677	472.939	-19.366	1550.563	565.578	39.238	1568.761	508.679	108.108	1524.734	441.392	19.102	1475.320	487.579	95.463	1424.947	527.256	166.822	1367.624	493.415	107.167	1305.940	469.748	156.528	1335.217
503.805	539.287	1435.351	531.146	570.771	1246.024	433.737	500.178	1368.569	511.138	205.092	1407.173	523.048	193.909	1253.538	443.289	246.327	1345.212	617.998	433.560	1409.781	623.762	372.685	1434.404	627.878	317.287	1401.246	530.155	568.097	1111.615	457.648	576.933	1136.020	427.029	575.432	1014.529	491.309	566.760	993.469	406.687	550.334	842.469	422.400	417.427	824.706	478.172	563.705	709.157	407.269	559.941	708.165	418.572	558.808	598.221	478.254	560.731	603.707	517.834	510.144	403.521	468.890	548.379	422.966	445.259	456.036	423.874	305.816	554.004	327.794	306.143	459.882	335.461	516.743	202.021	1078.476	444.277	192.528	1101.887	410.574	190.497	983.363	466.198	197.113	960.745	430.167	212.490	829.224	387.634	333.664	796.900	540.361	240.474	702.735	464.421	243.052	675.379	515.829	268.359	583.376	572.675	267.723	606.589	683.225	375.982	476.809	641.398	312.577	475.167	579.594	393.359	466.342	548.886	255.639	340.753	507.879	323.907	331.206	587.987	365.941	1571.147	472.159	344.993	1879.834	563.668	436.407	1747.266	561.953	274.277	1726.533	241.570	336.324	2072.992	161.542	317.153	1941.521	275.956	238.487	1967.421	242.726	432.949	1975.871	389.460	528.058	1860.368	413.744	633.628	1686.475	494.176	671.169	1783.514	492.748	704.355	1684.278	516.116	740.287	1631.347	595.049	663.543	1621.100	471.927	643.938	1539.753	528.024	760.270	1515.952	500.711	683.100	1451.436	540.726	588.394	1406.350	486.568	658.526	1374.449	467.250	598.400	1376.009	388.772	178.576	1850.800	386.073	111.153	1654.732	447.852	18.173	1723.165	442.114	29.464	1621.172	471.835	-19.209	1549.259	564.429	39.421	1567.719	507.706	108.224	1523.543	440.457	19.285	1473.881	486.865	95.565	1423.709	526.643	166.937	1366.442	493.104	107.234	1304.749	469.204	156.560	1333.900
502.728	539.516	1433.651	530.409	570.824	1244.519	432.772	500.386	1366.711	510.246	205.288	1405.852	522.472	194.052	1252.474	442.514	246.420	1343.826	616.571	433.809	1408.178	622.723	373.070	1433.075	626.912	317.676	1399.928	529.485	568.195	1110.021	456.997	576.971	1134.438	426.507	575.558	1013.156	490.792	566.965	992.103	406.217	550.597	840.743	421.998	417.708	822.699	477.611	564.091	707.330	406.712	560.279	706.399	418.026	559.179	596.438	477.506	561.496	601.890	517.179	510.835	401.859	468.216	548.993	421.241	444.109	456.438	422.033	305.140	554.648	326.067	305.479	460.582	333.632	516.432	202.376	1077.079	444.007	192.315	1100.651	410.184	190.373	982.215	466.101	197.793	960.139	429.350	212.485	828.231	385.726	333.395	795.822	538.899	241.079	701.420	463.087	242.845	674.090	513.528	268.259	581.930	570.416	268.318	604.955	679.874	376.470	473.712	638.016	313.172	473.000	576.054	393.835	464.603	543.725	255.848	339.655	502.681	324.150	330.615	586.625	366.441	1569.817	470.314	345.385	1878.232	561.888	437.095	1745.879	560.289	274.650	1725.071	239.925	336.557	2071.354	159.764	317.342	1939.842	274.267	238.702	1965.815	240.877	433.124	1974.136	387.162	528.246	1858.705	411.653	633.919	1684.877	491.798	671.541	1782.238	490.585	704.768	1682.898	514.012	740.732	1630.023	593.227	664.065	1620.157	470.291	644.254	1538.512	526.355	760.618	1514.778	499.292	683.338	1450.188	539.732	588.551	1405.157	485.549	658.617	1373.147	466.158	598.474	1374.518	386.984	178.845	1849.225	384.762	111.350	1653.383	446.312	18.401	1721.834	440.826	29.671	1619.758	470.877	-19.012	1548.045	563.351	39.527	1566.669	506.802	108.356	1522.298	439.624	19.464	1472.352	486.159	95.720	1422.441	526.059	167.030	1365.201	492.544	107.280	1303.347	468.716	156.577	1332.647
