NO_OF_SAMPLES	644
FREQUENCY	400
TIME_STAMP	2020-08-07, 12:51:27.875	3225.14729873
FIRST_SAMPLE	2397
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	7390
FORCE_PLATE_CORNER_POSX_POSY_X	586.302996
FORCE_PLATE_CORNER_POSX_POSY_Y	778.885007
FORCE_PLATE_CORNER_POSX_POSY_Z	-12.587900
FORCE_PLATE_CORNER_NEGX_POSY_X	578.343987
FORCE_PLATE_CORNER_NEGX_POSY_Y	399.753004
FORCE_PLATE_CORNER_NEGX_POSY_Z	-14.426700
FORCE_PLATE_CORNER_NEGX_NEGY_X	-1.246320
FORCE_PLATE_CORNER_NEGX_NEGY_Y	401.962012
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-16.833499
FORCE_PLATE_CORNER_POSX_NEGY_X	-0.274277
FORCE_PLATE_CORNER_POSX_NEGY_Y	785.919964
FORCE_PLATE_CORNER_POSX_NEGY_Z	-14.884100
FORCE_PLATE_OFFSET_X	-0.355600
FORCE_PLATE_OFFSET_Y	-0.050800
FORCE_PLATE_OFFSET_Z	-45.389800
FORCE_PLATE_LENGTH	599.948000
FORCE_PLATE_WIDTH	400.050000
Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
-0.052705	-1.111735	358.149017	3.076377	15.060589	2.730755	-42.400100	8.679753	0.000000	
0.432256	-1.109323	359.721680	2.787542	15.113360	2.740405	-42.424179	7.838338	0.000000	
0.296981	-1.155023	358.150866	3.032433	15.113399	2.665674	-42.591652	8.562495	0.000000	
0.560617	-1.067329	357.974372	3.166418	15.061059	2.609814	-42.499694	8.929909	0.000000	
0.429367	-1.377481	356.924898	3.300460	15.008448	2.562933	-42.459519	9.371304	0.000000	
0.299019	-1.512320	356.744471	3.434138	14.956040	2.534920	-42.317323	9.767941	0.000000	
0.737707	-1.334530	356.747543	3.522757	14.973679	2.516532	-42.422220	9.993646	0.000000	
0.778582	-1.335575	355.524678	3.679843	14.921284	2.404456	-42.424758	10.470170	0.000000	
0.868679	-1.120159	356.557880	3.924797	14.834433	2.339591	-42.070742	11.099257	0.000000	
1.132827	-1.429546	357.255068	3.857278	14.974950	2.321408	-42.416219	10.927813	0.000000	
1.260557	-1.252854	355.862835	4.101741	14.992466	2.265474	-42.646282	11.635186	0.000000	
1.303079	-1.252698	354.990539	4.169705	14.922369	2.199952	-42.558176	11.855335	0.000000	
1.257021	-1.256925	355.156471	4.303629	14.958067	2.097687	-42.633087	12.227394	0.000000	
1.567471	-1.389915	354.628707	4.482950	14.800514	2.022927	-42.291465	12.768349	0.000000	
1.170588	-1.661380	354.092756	4.772062	14.836170	1.920546	-42.404758	13.639035	0.000000	
1.518631	-1.129084	352.353312	4.974520	14.625685	1.826793	-42.059807	14.212635	0.000000	
1.341756	-1.532049	352.167784	5.174620	14.714002	1.715248	-42.309760	14.840282	0.000000	
1.691261	-1.488835	352.864560	5.174209	14.837185	1.659861	-42.620968	14.804153	0.000000	
1.913502	-1.710782	352.161365	5.375701	14.697183	1.575771	-42.336460	15.434582	0.000000	
1.997277	-1.448011	350.762532	5.688396	14.609866	1.445124	-42.265784	16.353805	0.000000	
2.349256	-1.362782	352.151327	5.776597	14.698245	1.399254	-42.396837	16.528588	0.000000	
2.175187	-1.542935	352.317907	5.931841	14.698548	1.380769	-42.355392	16.984595	0.000000	
2.302015	-1.323333	351.794458	6.043493	14.751465	1.287716	-42.584671	17.298986	0.000000	
2.352002	-1.506179	352.649193	6.355244	14.612021	1.222735	-42.093334	18.164496	0.000000	
2.486460	-1.946651	353.173260	6.199224	14.682114	1.241504	-42.247146	17.752310	0.000000	
2.485820	-2.037619	353.167639	6.310652	14.700034	1.176419	-42.298471	18.079794	0.000000	
2.491963	-2.480590	353.685100	6.376686	14.665042	1.213802	-42.138959	18.296818	0.000000	
2.538587	-2.838953	355.068142	6.442848	14.753488	1.158490	-42.231265	18.457499	0.000000	
2.585920	-3.368701	354.893301	6.486291	14.805964	1.186546	-42.405813	18.656781	0.000000	
2.629317	-3.676769	353.849728	6.552822	14.840833	1.167783	-42.633934	18.939493	0.000000	
2.503468	-3.812704	355.234978	6.618807	14.788562	1.214651	-42.305842	19.068558	0.000000	
2.853936	-3.856373	356.632007	6.417928	14.964206	1.205934	-42.678626	18.435954	0.000000	
2.987393	-3.947025	356.976500	6.616734	15.017094	1.206371	-42.802908	18.986555	0.000000	
2.508811	-4.306550	357.306868	6.730068	14.824839	1.122156	-42.164799	19.331816	0.000000	
2.595296	-4.482379	356.611051	6.730608	14.842340	1.075406	-42.306460	19.393529	0.000000	
2.821118	-4.837079	357.654014	6.883562	14.930124	1.159959	-42.458227	19.809501	0.000000	
3.306080	-4.875813	357.489489	6.728217	14.894635	1.197076	-42.439908	19.389013	0.000000	
3.130381	-5.236566	358.518706	6.817866	14.965841	1.057704	-42.495460	19.628933	0.000000	
3.129591	-5.059576	358.345332	6.840346	14.930726	1.057617	-42.417758	19.678770	0.000000	
3.484167	-5.237260	359.737750	6.838927	15.036286	1.076912	-42.593122	19.620878	0.000000	
3.620927	-5.767503	359.910632	6.926335	15.088825	1.123793	-42.736060	19.921160	0.000000	
