NO_OF_SAMPLES	592
FREQUENCY	400
TIME_STAMP	2020-08-07, 12:52:13.993	3271.31435500
FIRST_SAMPLE	2369
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	7391
FORCE_PLATE_CORNER_POSX_POSY_X	579.468012
FORCE_PLATE_CORNER_POSX_POSY_Y	379.240990
FORCE_PLATE_CORNER_POSX_POSY_Z	-16.077699
FORCE_PLATE_CORNER_NEGX_POSY_X	577.150047
FORCE_PLATE_CORNER_NEGX_POSY_Y	-4.550730
FORCE_PLATE_CORNER_NEGX_POSY_Z	-16.474199
FORCE_PLATE_CORNER_NEGX_NEGY_X	-4.632410
FORCE_PLATE_CORNER_NEGX_NEGY_Y	2.957070
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-16.989401
FORCE_PLATE_CORNER_POSX_NEGY_X	-3.978860
FORCE_PLATE_CORNER_POSX_NEGY_Y	381.323993
FORCE_PLATE_CORNER_POSX_NEGY_Z	-17.207799
FORCE_PLATE_OFFSET_X	-0.304800
FORCE_PLATE_OFFSET_Y	-0.457200
FORCE_PLATE_OFFSET_Z	-46.024800
FORCE_PLATE_LENGTH	599.948000
FORCE_PLATE_WIDTH	400.050000
Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
-3.097741	14.518574	475.786817	9.085490	-14.522132	4.029529	30.517208	17.234075	0.000000	
-3.095372	14.781804	475.957112	9.131404	-14.626140	3.955727	30.724474	17.298757	0.000000	
-2.833405	14.738185	476.128270	9.242032	-14.573979	3.937242	30.578445	17.528940	0.000000	
-2.968942	13.998403	477.153046	9.264194	-14.486450	3.862615	30.341750	17.608116	0.000000	
-3.054382	14.349437	477.328932	9.306753	-14.417373	3.918002	30.193980	17.656773	0.000000	
-2.923247	14.217555	476.295734	9.529495	-14.364980	3.890936	30.137468	18.176464	0.000000	
-3.009100	14.479074	476.125346	9.441378	-14.469356	3.900323	30.375880	17.972782	0.000000	
-3.315479	14.484240	476.813807	9.572038	-14.399949	3.937056	30.215590	18.219699	0.000000	
-3.444336	14.790147	476.471856	9.572316	-14.434824	3.946531	30.323136	18.204139	0.000000	
-3.527519	15.443980	475.101538	9.617050	-14.539528	4.012157	30.639914	18.288779	0.000000	
-3.135041	15.578366	475.963750	9.857967	-14.522537	4.067612	30.510209	18.747993	0.000000	
-3.439508	15.533609	474.756734	9.883243	-14.591497	3.994279	30.763322	18.854400	0.000000	
-3.526837	15.494893	475.787496	10.081022	-14.435010	3.966096	30.375560	19.231995	0.000000	
-3.264136	15.671581	475.960571	10.301492	-14.435181	3.984857	30.339361	19.670960	0.000000	
-3.481013	15.980902	475.618735	10.500130	-14.504809	4.022397	30.528766	20.073136	0.000000	
-3.393459	16.021934	474.932367	10.455984	-14.504996	4.059641	30.565237	20.005877	0.000000	
-3.477182	16.462812	474.762218	10.787642	-14.400821	4.050800	30.364990	20.669048	0.000000	
-3.693690	16.854971	473.219692	10.832027	-14.540195	4.144262	30.780542	20.793564	0.000000	
-3.734431	17.294680	473.565644	10.964155	-14.523011	4.144306	30.725506	21.014312	0.000000	
-3.951158	17.514957	473.050955	11.097159	-14.540389	4.153997	30.817090	21.297406	0.000000	
-3.818278	17.998989	473.399717	11.315970	-14.540971	4.237434	30.782474	21.696531	0.000000	
-4.034443	18.219889	472.883699	11.516033	-14.540797	4.210200	30.837067	22.122276	0.000000	
-4.077251	18.485697	473.401092	11.647540	-14.593118	4.238002	30.917716	22.349547	0.000000	
-3.730583	18.143090	474.772407	12.110530	-14.471208	4.200843	30.537152	23.292069	0.000000	
-3.988657	18.886602	473.746450	12.154937	-14.697532	4.275752	31.106748	23.365005	0.000000	
-4.030292	19.192070	473.233743	12.198895	-14.680427	4.313030	31.108684	23.453993	0.000000	
-4.291908	19.326719	473.234277	12.331155	-14.732549	4.331783	31.244232	23.720354	0.000000	
-4.073510	19.156180	474.090564	12.684698	-14.488979	4.257526	30.652283	24.438969	0.000000	
-4.287866	19.899122	472.549046	12.795889	-14.732668	4.342033	31.289839	24.683125	0.000000	
-4.460943	20.207166	472.725028	12.860218	-14.628842	4.406631	31.075294	24.779854	0.000000	
-4.506275	20.034207	472.552174	12.992699	-14.663492	4.425419	31.164513	25.086283	0.000000	
-4.460791	20.298045	472.724499	13.103513	-14.698261	4.407086	31.222163	25.285699	0.000000	
-4.548501	20.213736	472.894467	13.280628	-14.680645	4.379468	31.182117	25.659188	0.000000	
-4.678528	20.390951	472.552937	13.478693	-14.611337	4.426029	31.070870	26.079940	0.000000	
-4.200706	19.909134	472.891359	13.568588	-14.593483	4.342734	30.964156	26.297939	0.000000	
-4.025445	19.950230	472.032942	13.613430	-14.576205	4.361661	30.967329	26.437585	0.000000	
-4.070248	19.821426	471.861368	13.811459	-14.489366	4.398847	30.799035	26.879605	0.000000	
-4.465975	19.564546	473.234594	13.765513	-14.506576	4.398146	30.783632	26.728173	0.000000	
-4.286318	19.997843	471.860439	13.878759	-14.437027	4.343373	30.709252	27.005077	0.000000	
-4.550322	20.132041	471.005577	14.031416	-14.663402	4.510768	31.271960	27.365917	0.000000	
-4.723670	20.174427	470.317506	14.010603	-14.628492	4.483236	31.260892	27.358220	0.000000	
-4.679125	20.259874	469.287609	14.077510	-14.611221	4.511512	31.288995	27.553455	0.000000	
