NO_OF_SAMPLES	364
FREQUENCY	400
TIME_STAMP	2020-08-07, 12:53:28.464	3345.85763032
FIRST_SAMPLE	3312
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	7391
FORCE_PLATE_CORNER_POSX_POSY_X	579.468012
FORCE_PLATE_CORNER_POSX_POSY_Y	379.240990
FORCE_PLATE_CORNER_POSX_POSY_Z	-16.077699
FORCE_PLATE_CORNER_NEGX_POSY_X	577.150047
FORCE_PLATE_CORNER_NEGX_POSY_Y	-4.550730
FORCE_PLATE_CORNER_NEGX_POSY_Z	-16.474199
FORCE_PLATE_CORNER_NEGX_NEGY_X	-4.632410
FORCE_PLATE_CORNER_NEGX_NEGY_Y	2.957070
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-16.989401
FORCE_PLATE_CORNER_POSX_NEGY_X	-3.978860
FORCE_PLATE_CORNER_POSX_NEGY_Y	381.323993
FORCE_PLATE_CORNER_POSX_NEGY_Z	-17.207799
FORCE_PLATE_OFFSET_X	-0.304800
FORCE_PLATE_OFFSET_Y	-0.457200
FORCE_PLATE_OFFSET_Z	-46.024800
FORCE_PLATE_LENGTH	599.948000
FORCE_PLATE_WIDTH	400.050000
Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
-4.167861	16.814679	408.444401	1.155912	0.463068	-3.502814	-0.968887	0.478104	0.000000	
-4.301238	16.733334	410.163480	1.197275	0.428179	-3.466489	-0.866077	0.584157	0.000000	
-3.691328	16.294661	410.500769	1.332325	0.480923	-3.596000	-1.062486	0.961473	0.000000	
-3.690464	16.514945	411.019411	1.374695	0.550065	-3.550019	-1.229846	1.038101	0.000000	
-3.907100	16.554569	409.300313	1.310814	0.550255	-3.567856	-1.209835	0.883853	0.000000	
-3.600891	16.820026	410.677675	1.419143	0.549876	-3.540520	-1.240196	1.113386	0.000000	
-3.381513	16.728178	409.815719	1.377622	0.567577	-3.614198	-1.309993	1.025688	0.000000	
-3.770520	17.338036	408.274279	1.311715	0.480278	-3.539457	-1.056111	0.801109	0.000000	
-3.510095	17.250456	408.445800	1.333629	0.358600	-3.520804	-0.787236	0.864102	0.000000	
-3.552540	17.382878	408.275904	1.487470	0.514793	-3.493010	-1.165219	1.226531	0.000000	
-3.638784	17.427413	408.101621	1.555516	0.463012	-3.557493	-1.028976	1.388964	0.000000	
-3.854040	17.687194	407.413828	1.425002	0.428433	-3.612790	-0.921008	1.042386	0.000000	
-3.507274	17.424206	407.928800	1.402027	0.410985	-3.594527	-0.916581	1.013845	0.000000	
-3.245471	17.202677	407.068690	1.513301	0.602186	-3.603545	-1.417177	1.315355	0.000000	
