NO_OF_SAMPLES	779
FREQUENCY	400
TIME_STAMP	2020-08-07, 12:56:57.763	3555.36470950
FIRST_SAMPLE	1262
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	7391
FORCE_PLATE_CORNER_POSX_POSY_X	579.468012
FORCE_PLATE_CORNER_POSX_POSY_Y	379.240990
FORCE_PLATE_CORNER_POSX_POSY_Z	-16.077699
FORCE_PLATE_CORNER_NEGX_POSY_X	577.150047
FORCE_PLATE_CORNER_NEGX_POSY_Y	-4.550730
FORCE_PLATE_CORNER_NEGX_POSY_Z	-16.474199
FORCE_PLATE_CORNER_NEGX_NEGY_X	-4.632410
FORCE_PLATE_CORNER_NEGX_NEGY_Y	2.957070
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-16.989401
FORCE_PLATE_CORNER_POSX_NEGY_X	-3.978860
FORCE_PLATE_CORNER_POSX_NEGY_Y	381.323993
FORCE_PLATE_CORNER_POSX_NEGY_Z	-17.207799
FORCE_PLATE_OFFSET_X	-0.304800
FORCE_PLATE_OFFSET_Y	-0.457200
FORCE_PLATE_OFFSET_Z	-46.024800
FORCE_PLATE_LENGTH	599.948000
FORCE_PLATE_WIDTH	400.050000
Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
20.744525	13.577620	63.045559	8.262817	6.301009	3.680327	-115.392558	120.691857	0.000000	
20.703213	13.795236	62.530265	8.286091	6.318433	3.652836	-116.589192	121.902230	0.000000	
20.485084	13.882213	61.672411	8.286250	6.248830	3.699555	-116.915321	123.541906	0.000000	
20.659078	13.837452	61.844908	8.241492	6.248696	3.717922	-116.717386	122.505654	0.000000	
20.572995	14.100572	62.363569	8.173639	6.283104	3.754555	-116.237417	120.200796	0.000000	
20.701701	13.575480	62.529253	8.197687	6.318512	3.652692	-116.591234	120.652169	0.000000	
20.702482	13.620123	63.044644	8.197423	6.405415	3.624588	-117.019591	119.625324	0.000000	
20.617342	13.882579	62.187059	8.352636	6.440064	3.643642	-119.123295	123.582958	0.000000	
20.788930	13.488925	63.214650	8.197996	6.353469	3.596846	-115.946902	119.406953	0.000000	
20.746771	13.840982	63.561168	8.263211	6.301046	3.633889	-114.461160	119.524593	0.000000	
20.704075	13.967232	61.845360	8.175566	6.266037	3.699325	-117.030415	121.342191	0.000000	
20.357222	14.319221	62.189722	8.131654	6.196574	3.671488	-115.010423	119.701151	0.000000	
20.443080	14.143895	61.846718	8.197182	6.265950	3.717847	-116.832218	121.557552	0.000000	
20.920144	13.620280	63.216439	8.241529	6.318486	3.633975	-115.485779	119.996567	0.000000	
20.789718	13.576527	62.699129	8.309169	6.336127	3.597264	-116.621728	122.101320	0.000000	
