NO_OF_SAMPLES	722
FREQUENCY	400
TIME_STAMP	2020-08-07, 13:01:23.894	3821.76205471
FIRST_SAMPLE	1180
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	7390
FORCE_PLATE_CORNER_POSX_POSY_X	586.302996
FORCE_PLATE_CORNER_POSX_POSY_Y	778.885007
FORCE_PLATE_CORNER_POSX_POSY_Z	-12.587900
FORCE_PLATE_CORNER_NEGX_POSY_X	578.343987
FORCE_PLATE_CORNER_NEGX_POSY_Y	399.753004
FORCE_PLATE_CORNER_NEGX_POSY_Z	-14.426700
FORCE_PLATE_CORNER_NEGX_NEGY_X	-1.246320
FORCE_PLATE_CORNER_NEGX_NEGY_Y	401.962012
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-16.833499
FORCE_PLATE_CORNER_POSX_NEGY_X	-0.274277
FORCE_PLATE_CORNER_POSX_NEGY_Y	785.919964
FORCE_PLATE_CORNER_POSX_NEGY_Z	-14.884100
FORCE_PLATE_OFFSET_X	-0.355600
FORCE_PLATE_OFFSET_Y	-0.050800
FORCE_PLATE_OFFSET_Z	-45.389800
FORCE_PLATE_LENGTH	599.948000
FORCE_PLATE_WIDTH	400.050000
Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
-8.654784	1.614486	-5.569440	0.862146	-0.745229	-0.027492	-204.697191	-141.692506	0.000000	
-8.616228	1.968222	-6.262784	0.928862	-0.692643	-0.064737	-173.398805	-134.100523	0.000000	
-8.832132	1.789918	-6.791729	1.107089	-0.832958	-0.055725	-182.024605	-151.094113	0.000000	
-8.918061	1.788638	-5.575136	0.973767	-0.832743	-0.036939	-222.329066	-160.151219	0.000000	
-8.831587	1.746398	-5.918397	0.928734	-0.762843	-0.018267	-196.981048	-143.580486	0.000000	
-8.874813	1.876150	-5.051998	0.994921	-0.744957	-0.017945	-227.549485	-180.130658	0.000000	
-9.053801	1.919566	-5.750598	0.996081	-0.762421	-0.083435	-204.398906	-158.113070	0.000000	
-9.096215	1.742900	-5.925806	1.018246	-0.780026	-0.074194	-201.661805	-158.533210	0.000000	
-8.347041	1.702180	-6.096786	0.997704	-0.902665	-0.139565	-210.554160	-151.022560	0.000000	
-9.050573	1.610858	-6.798862	1.130390	-0.902851	-0.102510	-193.572419	-155.558185	0.000000	
-9.011373	2.051325	-6.972014	1.263215	-0.832539	-0.130192	-178.433681	-167.879669	0.000000	
-8.834961	1.966759	-6.092440	0.929284	-0.745168	-0.064860	-188.487927	-137.928743	0.000000	
-8.879166	2.187707	-6.093010	0.907978	-0.832828	-0.074388	-203.186668	-132.773178	0.000000	
