NO_OF_SAMPLES	426
FREQUENCY	400
TIME_STAMP	2020-08-07, 12:58:18.372	3636.05697697
FIRST_SAMPLE	1977
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	7390
FORCE_PLATE_CORNER_POSX_POSY_X	586.302996
FORCE_PLATE_CORNER_POSX_POSY_Y	778.885007
FORCE_PLATE_CORNER_POSX_POSY_Z	-12.587900
FORCE_PLATE_CORNER_NEGX_POSY_X	578.343987
FORCE_PLATE_CORNER_NEGX_POSY_Y	399.753004
FORCE_PLATE_CORNER_NEGX_POSY_Z	-14.426700
FORCE_PLATE_CORNER_NEGX_NEGY_X	-1.246320
FORCE_PLATE_CORNER_NEGX_NEGY_Y	401.962012
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-16.833499
FORCE_PLATE_CORNER_POSX_NEGY_X	-0.274277
FORCE_PLATE_CORNER_POSX_NEGY_Y	785.919964
FORCE_PLATE_CORNER_POSX_NEGY_Z	-14.884100
FORCE_PLATE_OFFSET_X	-0.355600
FORCE_PLATE_OFFSET_Y	-0.050800
FORCE_PLATE_OFFSET_Z	-45.389800
FORCE_PLATE_LENGTH	599.948000
FORCE_PLATE_WIDTH	400.050000
Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
-39.580323	3.446436	-11.203663	0.987096	1.360723	0.070457	-39.255374	-74.192915	0.000000	
-39.098623	3.450273	-11.369313	0.875862	1.430693	0.061249	-30.611225	-63.313591	0.000000	
-39.228565	3.671024	-11.192826	1.029233	1.447912	0.182618	-30.076864	-77.118520	0.000000	
-38.919086	3.716529	-10.843387	0.985457	1.377844	0.173274	-36.200974	-75.374548	0.000000	
-37.995643	3.145081	-11.014578	0.941747	1.465854	0.052427	-23.848200	-72.590329	0.000000	
-37.422741	3.278886	-12.236654	1.188902	1.203035	-0.059859	-40.854854	-85.047421	0.000000	
-37.906540	3.412544	-12.578822	1.208547	1.289991	0.098569	-34.586098	-83.814810	0.000000	
-37.242847	2.792807	-11.542263	1.121923	1.238268	-0.059656	-39.531359	-86.269445	0.000000	
-35.133532	2.805429	-12.215500	1.011490	1.255501	-0.124608	-28.123864	-72.430300	0.000000	
-35.087782	2.543297	-13.255027	1.099101	1.272448	-0.050191	-24.510930	-74.261251	0.000000	
-34.694565	2.491282	-10.659376	0.968607	1.344463	-0.319676	-21.962563	-80.311422	0.000000	
-32.752628	1.666074	-11.505645	0.922063	1.413659	-0.226151	-6.698240	-73.618172	0.000000	
-32.221089	1.582468	-12.199726	0.836175	1.132908	-0.273477	-27.372639	-62.703640	0.000000	
-32.833779	1.219834	-11.872041	1.147601	1.098674	-0.357184	-33.344403	-92.051226	0.000000	
