NO_OF_SAMPLES	433
FREQUENCY	400
TIME_STAMP	2020-08-07, 12:58:50.977	3668.69162029
FIRST_SAMPLE	1729
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	7391
FORCE_PLATE_CORNER_POSX_POSY_X	579.468012
FORCE_PLATE_CORNER_POSX_POSY_Y	379.240990
FORCE_PLATE_CORNER_POSX_POSY_Z	-16.077699
FORCE_PLATE_CORNER_NEGX_POSY_X	577.150047
FORCE_PLATE_CORNER_NEGX_POSY_Y	-4.550730
FORCE_PLATE_CORNER_NEGX_POSY_Z	-16.474199
FORCE_PLATE_CORNER_NEGX_NEGY_X	-4.632410
FORCE_PLATE_CORNER_NEGX_NEGY_Y	2.957070
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-16.989401
FORCE_PLATE_CORNER_POSX_NEGY_X	-3.978860
FORCE_PLATE_CORNER_POSX_NEGY_Y	381.323993
FORCE_PLATE_CORNER_POSX_NEGY_Z	-17.207799
FORCE_PLATE_OFFSET_X	-0.304800
FORCE_PLATE_OFFSET_Y	-0.457200
FORCE_PLATE_OFFSET_Z	-46.024800
FORCE_PLATE_LENGTH	599.948000
FORCE_PLATE_WIDTH	400.050000
Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
19.352004	13.799765	61.664212	8.224190	6.197960	3.496008	-115.260169	122.613515	0.000000	
19.568348	13.667669	62.009796	8.156075	6.215007	3.560472	-115.054991	120.927222	0.000000	
19.219291	13.669364	62.352129	8.068058	6.180482	3.523236	-113.613611	118.847924	0.000000	
19.305719	13.627781	62.525674	8.243161	6.284497	3.578725	-115.026288	121.347890	0.000000	
19.743058	13.449255	62.521336	8.223679	6.337075	3.458414	-116.197162	121.176157	0.000000	
19.698986	13.405644	62.005283	8.290533	6.285024	3.468056	-116.289527	123.299051	0.000000	
19.873105	13.229795	62.689772	8.180874	6.285305	3.393616	-115.155448	120.327660	0.000000	
19.305499	13.364936	62.865093	8.200519	6.371872	3.476627	-115.796611	120.204357	0.000000	
19.568656	13.363107	62.862057	8.202725	6.337464	3.384230	-115.447514	120.246626	0.000000	
19.526070	13.625833	62.522618	8.267462	6.389124	3.467640	-116.867537	121.743953	0.000000	
19.569389	13.667673	62.179304	8.157437	6.232685	3.486390	-115.027250	120.618211	0.000000	
19.523565	13.364739	63.208056	8.200775	6.302403	3.458108	-114.229704	119.553850	0.000000	
19.697979	13.232185	62.862330	8.246252	6.302618	3.421332	-114.987365	121.034372	0.000000	
19.698515	13.450782	63.208869	8.156579	6.250151	3.467399	-113.528956	118.790461	0.000000	
19.526090	13.844147	61.838629	8.310871	6.249731	3.560721	-115.902688	123.635088	0.000000	
