NO_OF_FRAMES	438
NO_OF_CAMERAS	16
NO_OF_MARKERS	71
FREQUENCY	400
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-08-07, 12:59:22.875	3700.62326688
DATA_INCLUDED	3D
MARKER_NAMES	R_illiac	R_troch	R_asis	L_illiac	L_troch	L_asis	R_PSIS	Sacrum	L_PSIS	R_thigh1	R_thigh2	R_thigh3	R_thigh4	RL_knee	RM_Knee	R_shank1	R_shank2	R_shank3	R_shank4	R_heel	RL_ankle	RM_ankle	R_Metatarsal5	R_Metatarsal1	L_thigh1	L_thigh2	L_thigh3	L_thigh4	LL_knee	LM_Knee	L_shank1	L_shank2	L_shank3	L_shank4	L_heel	LL_ankle	LM_Ankle	L_Metatarsal5	L_Metatarsal1	Back_down	Neck	Back_right	Back_left	Head_up	Head_front	Head_left	Head_right	R_shoulder	R_humerus1	R_humerus2	R_humerus3	Rl_elbow	RM_elbow	R_radius1	R_radius2	R_radius3	RL_wrist	Rm_wrist	R_hand	L_shoulder	L_humerus1	L_humerus2	L_humerus3	LL_elbow	LM_elbow	L_radius1	L_radius2	L_radius3	LL_wrist	Lm_wrist	L_hand
R_illiac X	R_illiac Y	R_illiac Z	R_troch X	R_troch Y	R_troch Z	R_asis X	R_asis Y	R_asis Z	L_illiac X	L_illiac Y	L_illiac Z	L_troch X	L_troch Y	L_troch Z	L_asis X	L_asis Y	L_asis Z	R_PSIS X	R_PSIS Y	R_PSIS Z	Sacrum X	Sacrum Y	Sacrum Z	L_PSIS X	L_PSIS Y	L_PSIS Z	R_thigh1 X	R_thigh1 Y	R_thigh1 Z	R_thigh2 X	R_thigh2 Y	R_thigh2 Z	R_thigh3 X	R_thigh3 Y	R_thigh3 Z	R_thigh4 X	R_thigh4 Y	R_thigh4 Z	RL_knee X	RL_knee Y	RL_knee Z	RM_Knee X	RM_Knee Y	RM_Knee Z	R_shank1 X	R_shank1 Y	R_shank1 Z	R_shank2 X	R_shank2 Y	R_shank2 Z	R_shank3 X	R_shank3 Y	R_shank3 Z	R_shank4 X	R_shank4 Y	R_shank4 Z	R_heel X	R_heel Y	R_heel Z	RL_ankle X	RL_ankle Y	RL_ankle Z	RM_ankle X	RM_ankle Y	RM_ankle Z	R_Metatarsal5 X	R_Metatarsal5 Y	R_Metatarsal5 Z	R_Metatarsal1 X	R_Metatarsal1 Y	R_Metatarsal1 Z	L_thigh1 X	L_thigh1 Y	L_thigh1 Z	L_thigh2 X	L_thigh2 Y	L_thigh2 Z	L_thigh3 X	L_thigh3 Y	L_thigh3 Z	L_thigh4 X	L_thigh4 Y	L_thigh4 Z	LL_knee X	LL_knee Y	LL_knee Z	LM_Knee X	LM_Knee Y	LM_Knee Z	L_shank1 X	L_shank1 Y	L_shank1 Z	L_shank2 X	L_shank2 Y	L_shank2 Z	L_shank3 X	L_shank3 Y	L_shank3 Z	L_shank4 X	L_shank4 Y	L_shank4 Z	L_heel X	L_heel Y	L_heel Z	LL_ankle X	LL_ankle Y	LL_ankle Z	LM_Ankle X	LM_Ankle Y	LM_Ankle Z	L_Metatarsal5 X	L_Metatarsal5 Y	L_Metatarsal5 Z	L_Metatarsal1 X	L_Metatarsal1 Y	L_Metatarsal1 Z	Back_down X	Back_down Y	Back_down Z	Neck X	Neck Y	Neck Z	Back_right X	Back_right Y	Back_right Z	Back_left X	Back_left Y	Back_left Z	Head_up X	Head_up Y	Head_up Z	Head_front X	Head_front Y	Head_front Z	Head_left X	Head_left Y	Head_left Z	Head_right X	Head_right Y	Head_right Z	R_shoulder X	R_shoulder Y	R_shoulder Z	R_humerus1 X	R_humerus1 Y	R_humerus1 Z	R_humerus2 X	R_humerus2 Y	R_humerus2 Z	R_humerus3 X	R_humerus3 Y	R_humerus3 Z	Rl_elbow X	Rl_elbow Y	Rl_elbow Z	RM_elbow X	RM_elbow Y	RM_elbow Z	R_radius1 X	R_radius1 Y	R_radius1 Z	R_radius2 X	R_radius2 Y	R_radius2 Z	R_radius3 X	R_radius3 Y	R_radius3 Z	RL_wrist X	RL_wrist Y	RL_wrist Z	Rm_wrist X	Rm_wrist Y	Rm_wrist Z	R_hand X	R_hand Y	R_hand Z	L_shoulder X	L_shoulder Y	L_shoulder Z	L_humerus1 X	L_humerus1 Y	L_humerus1 Z	L_humerus2 X	L_humerus2 Y	L_humerus2 Z	L_humerus3 X	L_humerus3 Y	L_humerus3 Z	LL_elbow X	LL_elbow Y	LL_elbow Z	LM_elbow X	LM_elbow Y	LM_elbow Z	L_radius1 X	L_radius1 Y	L_radius1 Z	L_radius2 X	L_radius2 Y	L_radius2 Z	L_radius3 X	L_radius3 Y	L_radius3 Z	LL_wrist X	LL_wrist Y	LL_wrist Z	Lm_wrist X	Lm_wrist Y	Lm_wrist Z	L_hand X	L_hand Y	L_hand Z	
519.996	506.539	1466.587	536.988	544.550	1282.701	442.832	471.271	1405.909	512.029	172.020	1425.629	523.575	168.021	1272.418	441.766	220.972	1365.450	630.156	396.502	1434.228	634.587	333.285	1452.464	633.680	281.174	1419.159	539.743	541.586	1147.416	469.024	560.526	1169.413	440.619	562.282	1047.987	503.552	543.721	1028.427	418.669	537.763	878.321	414.650	404.717	860.377	492.236	536.781	745.865	420.983	547.499	746.981	430.140	545.565	636.690	488.256	535.157	640.459	509.287	476.125	431.044	469.861	522.611	454.260	428.607	437.327	458.997	304.221	561.304	376.883	286.865	469.140	383.852	524.162	173.395	1106.177	447.050	178.647	1119.809	430.402	179.481	998.076	490.956	175.402	983.529	473.578	187.580	841.505	464.445	316.728	805.685	589.661	192.422	715.449	516.916	214.397	687.866	574.579	229.291	596.607	629.670	215.427	620.411	760.655	294.255	508.294	705.547	244.570	495.706	668.250	339.490	486.464	620.984	221.623	350.570	602.247	299.247	340.793	610.321	324.370	1589.554	514.959	318.249	1906.578	599.441	402.746	1766.395	592.657	241.678	1751.581	336.189	313.921	2137.845	229.895	293.322	2027.203	347.428	216.930	2026.553	314.406	410.746	2042.583	438.679	506.269	1889.718	456.749	606.055	1709.913	546.094	641.606	1799.791	539.207	671.650	1699.506	559.201	705.973	1645.738	632.941	624.614	1630.847	505.868	610.882	1557.025	563.789	725.624	1529.831	529.202	650.258	1467.065	564.333	555.322	1416.735	507.242	626.133	1391.906	489.642	569.651	1402.117	421.887	152.497	1886.850	408.394	86.753	1689.809	471.899	-8.998	1752.711	460.202	4.273	1651.570	484.351	-43.704	1576.603	578.819	13.559	1590.239	519.917	83.396	1547.959	450.708	-5.764	1501.414	496.048	69.532	1448.762	532.816	139.800	1389.861	501.101	79.313	1328.062	476.879	128.110	1355.633
518.711	506.922	1466.326	536.131	544.835	1282.305	441.977	471.383	1405.472	511.385	172.395	1425.769	523.083	168.212	1272.420	441.153	221.247	1365.434	629.158	397.027	1434.202	633.695	333.875	1452.808	632.925	281.652	1419.373	538.975	541.924	1146.888	468.271	560.699	1168.982	439.687	562.424	1047.499	502.752	544.018	1027.969	417.753	537.998	877.855	413.792	404.952	859.983	491.357	537.119	745.343	420.123	547.814	746.522	429.222	545.658	636.341	487.520	535.777	639.996	508.823	476.782	430.763	469.231	523.085	453.755	428.263	437.679	458.541	303.684	561.284	376.130	286.509	469.064	383.139	522.841	173.550	1105.802	445.824	178.035	1120.025	428.186	178.537	998.493	488.630	175.134	983.481	469.847	187.056	841.704	459.505	316.019	805.711	586.246	192.722	716.181	513.379	214.016	688.288	571.381	229.257	597.282	626.480	215.824	621.245	757.158	295.690	510.391	702.788	245.379	497.054	664.787	340.023	487.527	620.018	221.702	350.953	600.519	299.137	341.009	608.941	325.150	1589.670	513.085	318.817	1906.339	597.690	403.572	1766.573	591.040	242.456	1751.623	334.142	314.385	2137.206	227.911	293.715	2026.510	345.531	217.415	2026.073	312.136	411.249	2041.491	436.460	506.673	1889.519	454.532	606.537	1709.774	543.718	642.369	1799.867	537.038	672.392	1699.579	557.035	706.685	1645.790	631.121	625.496	1631.220	504.220	611.431	1557.145	561.973	726.282	1529.924	527.762	650.749	1467.105	563.069	555.807	1416.946	506.096	626.552	1391.886	488.513	569.926	1401.973	420.210	153.090	1886.575	407.124	87.146	1689.695	470.542	-8.482	1752.696	459.022	4.699	1651.498	483.398	-43.327	1576.598	577.818	13.939	1590.414	518.998	83.793	1548.026	449.914	-5.373	1501.311	495.350	69.877	1448.791	532.277	140.149	1389.930	500.737	79.652	1328.044	476.367	128.400	1355.623
517.482	507.344	1466.017	535.624	545.048	1281.764	441.033	471.522	1404.875	510.666	172.868	1425.877	522.619	168.382	1272.418	440.523	221.548	1365.390	628.173	397.580	1434.116	632.771	334.494	1452.899	632.111	282.154	1419.520	538.570	542.103	1145.692	467.528	560.861	1168.500	438.851	562.591	1046.969	501.940	544.328	1027.402	416.833	538.276	877.281	413.058	405.213	859.520	490.499	537.525	744.734	419.287	548.085	745.883	428.418	545.976	635.813	486.680	536.185	639.370	508.361	477.335	430.302	468.659	523.596	453.295	427.877	438.048	457.929	303.151	561.279	375.308	286.240	469.003	382.306	521.491	173.614	1105.346	444.615	177.446	1120.204	425.978	177.596	998.834	486.278	174.864	983.213	466.311	186.627	842.008	454.701	315.413	805.826	582.869	193.073	716.853	510.003	213.678	688.561	568.256	229.284	597.950	623.344	216.321	622.171	753.660	297.161	512.400	700.040	246.267	498.382	661.240	340.568	488.441	619.085	221.707	351.341	598.629	298.894	341.264	607.637	325.960	1589.797	511.187	319.430	1906.076	595.825	404.344	1766.638	589.361	243.146	1751.655	332.322	314.877	2136.828	226.059	294.100	2025.797	343.687	217.852	2025.453	310.301	411.570	2041.196	434.212	507.066	1889.326	452.541	607.102	1709.663	541.335	643.126	1799.890	534.752	673.100	1699.597	554.910	707.426	1645.724	629.234	626.361	1631.511	502.594	611.914	1556.964	560.065	726.843	1529.828	526.320	651.220	1466.971	561.859	556.346	1417.220	504.898	626.959	1391.837	487.348	570.173	1401.806	418.509	153.646	1886.126	405.708	87.549	1689.432	469.210	-8.018	1752.587	457.846	5.129	1651.355	482.465	-42.960	1576.572	576.815	14.406	1590.654	518.087	84.180	1548.052	449.067	-5.039	1501.171	494.675	70.246	1448.778	531.784	140.501	1389.969	499.328	79.795	1328.277	474.757	128.426	1355.794
516.145	507.762	1465.596	534.805	545.274	1281.470	440.181	471.663	1404.290	510.096	173.268	1425.982	522.084	168.558	1272.398	439.897	221.795	1365.295	627.216	398.153	1434.010	631.863	335.152	1452.950	631.250	282.656	1419.524	537.516	542.582	1145.752	466.719	561.014	1168.015	437.859	562.713	1046.335	501.189	544.667	1026.869	415.949	538.530	876.671	412.313	405.459	858.854	489.683	537.950	744.183	418.447	548.398	745.326	427.655	546.225	635.121	485.992	536.647	638.901	507.934	477.993	429.808	468.136	524.119	452.818	427.554	438.470	457.350	302.611	561.294	374.390	285.928	468.961	381.493	520.014	173.699	1105.020	443.335	176.771	1120.330	425.220	177.922	998.189	483.999	174.592	982.983	462.802	186.176	842.116	449.828	314.704	805.949	579.412	193.380	717.650	507.011	213.451	688.674	565.096	229.311	598.478	620.297	217.020	623.348	750.017	298.823	514.301	697.352	247.159	499.685	657.652	341.114	489.321	618.121	221.685	351.661	596.714	298.572	341.482	606.499	326.832	1589.856	509.266	320.036	1905.791	593.928	405.094	1766.629	587.779	243.903	1751.564	330.083	315.344	2135.999	224.181	294.545	2025.105	341.822	218.329	2024.897	308.281	412.159	2040.241	431.979	507.504	1888.995	450.476	607.603	1709.392	538.943	643.830	1799.812	532.570	673.875	1699.612	552.814	708.090	1645.693	627.349	627.265	1631.697	500.887	612.484	1556.978	558.271	727.486	1529.878	524.808	651.699	1466.908	560.646	556.876	1417.391	503.735	627.334	1391.725	486.189	570.469	1401.547	416.811	154.257	1885.795	404.362	87.903	1689.169	467.913	-7.506	1752.479	456.704	5.526	1651.236	481.537	-42.611	1576.510	575.750	14.731	1590.741	517.166	84.532	1548.045	448.297	-4.688	1501.015	494.015	70.577	1448.744	531.155	140.806	1389.967	499.849	80.291	1327.997	475.417	128.945	1355.551
514.875	508.183	1465.206	534.088	545.434	1281.012	439.294	471.800	1403.676	509.588	173.632	1425.963	521.578	168.790	1272.339	439.334	222.050	1365.108	626.220	398.643	1433.828	630.919	335.802	1453.011	630.374	283.026	1419.732	537.137	542.733	1144.346	465.901	561.137	1167.349	437.080	562.832	1045.758	500.369	545.030	1026.260	415.104	538.804	876.076	411.496	405.756	858.138	488.856	538.395	743.634	417.525	548.690	744.621	426.871	546.493	634.356	485.101	537.172	638.114	507.564	478.660	429.311	467.412	524.794	452.236	427.163	438.901	456.648	302.047	561.357	373.473	285.666	468.925	380.510	518.831	173.881	1104.524	442.185	176.121	1120.396	423.167	177.112	998.454	481.869	174.361	982.807	459.303	185.665	842.324	445.342	314.194	805.981	575.899	193.615	718.372	503.532	213.083	689.198	562.002	229.395	598.972	617.139	217.390	623.995	746.514	300.455	515.929	694.730	248.132	500.956	654.050	341.664	490.178	617.112	221.603	351.984	594.813	298.163	341.731	605.210	327.626	1589.874	507.394	320.641	1905.419	592.086	405.930	1766.592	586.126	244.644	1751.466	327.982	315.873	2135.221	222.291	294.914	2024.263	339.967	218.798	2024.151	306.330	412.484	2039.685	429.708	507.954	1888.633	448.238	608.116	1709.110	536.569	644.587	1799.777	530.304	674.605	1699.546	550.688	708.802	1645.636	625.452	628.156	1631.833	499.333	612.999	1556.849	556.555	727.959	1529.517	523.340	652.204	1466.778	559.471	557.373	1417.556	502.590	627.735	1391.514	484.945	570.741	1401.188	415.140	154.854	1885.376	403.180	88.209	1688.763	466.550	-7.013	1752.298	455.563	5.940	1651.045	480.487	-42.221	1576.401	574.738	15.126	1590.892	516.192	84.883	1547.957	447.498	-4.363	1500.799	493.360	70.887	1448.619	530.599	141.125	1389.898	499.523	80.616	1327.917	474.920	129.206	1355.410
513.669	508.555	1464.570	533.283	545.649	1280.474	438.366	471.990	1402.975	508.860	174.025	1425.869	521.107	168.980	1272.251	438.684	222.291	1364.830	625.257	399.165	1433.597	629.576	336.532	1453.049	629.851	283.208	1419.819	536.397	543.058	1143.698	465.131	561.231	1166.721	436.493	563.056	1045.346	499.602	545.354	1025.578	414.245	539.091	875.358	410.765	406.044	857.403	487.978	538.828	742.929	416.697	548.960	743.891	426.117	546.864	633.672	484.447	537.644	637.503	507.182	479.416	428.736	466.917	525.314	451.440	426.818	439.307	455.961	301.492	561.452	372.549	285.409	468.959	379.509	517.571	174.044	1103.999	441.043	175.439	1120.469	421.100	176.278	998.653	479.528	174.155	982.583	455.922	185.221	842.617	440.725	313.310	806.012	572.609	193.965	719.073	500.214	212.716	689.573	558.861	229.411	599.514	614.128	217.956	624.814	743.025	302.126	517.630	692.084	249.110	502.059	650.375	342.192	490.972	616.184	221.478	352.300	592.785	297.802	342.004	603.944	328.482	1589.832	505.529	321.297	1905.018	590.257	406.764	1766.463	584.573	245.423	1751.319	326.096	316.366	2134.531	220.375	295.329	2023.266	338.113	219.297	2023.441	304.323	413.052	2038.665	427.394	508.362	1888.159	446.201	608.721	1708.737	534.137	645.333	1799.733	528.072	675.326	1699.412	548.465	709.525	1645.580	623.442	629.060	1631.923	497.616	613.541	1556.595	554.629	728.726	1529.543	521.831	652.695	1466.670	558.220	557.864	1417.527	501.368	628.154	1391.297	483.871	571.029	1400.719	413.422	155.445	1884.869	401.839	88.581	1688.308	465.221	-6.554	1752.060	454.370	6.313	1650.803	479.557	-41.818	1576.230	573.743	15.582	1591.012	515.307	85.229	1547.862	446.775	-4.052	1500.570	492.706	71.228	1448.470	530.118	141.468	1389.810	499.244	80.903	1327.717	474.489	129.431	1355.253
512.393	508.967	1463.914	532.759	545.835	1279.446	437.465	472.144	1402.188	508.232	174.457	1425.746	520.601	169.198	1272.112	438.002	222.550	1364.574	625.091	399.938	1433.899	628.496	337.190	1453.049	629.101	283.660	1419.758	535.624	543.292	1142.896	464.354	561.317	1166.028	435.574	563.155	1044.672	498.842	545.699	1024.872	413.420	539.311	874.493	410.069	406.330	856.579	487.136	539.310	742.277	415.844	549.257	743.083	425.357	547.253	632.965	483.660	538.128	636.719	506.793	480.137	428.085	466.321	526.000	450.797	426.525	439.805	455.103	301.002	561.511	371.422	285.183	469.019	378.388	516.312	174.216	1103.624	439.902	174.811	1120.524	419.045	175.447	998.817	477.433	173.973	982.287	452.600	184.812	842.765	436.468	312.612	806.148	569.449	194.354	719.686	497.003	212.556	689.707	555.780	229.428	600.048	611.020	218.536	625.730	739.506	303.870	518.929	689.503	250.167	503.231	646.630	342.684	491.650	615.161	221.342	352.691	590.824	297.293	342.178	602.742	329.328	1589.693	503.618	321.973	1904.600	588.371	407.600	1766.300	582.996	246.179	1751.074	324.141	316.822	2133.731	218.519	295.776	2022.451	336.282	219.770	2022.646	302.486	413.411	2038.150	425.129	508.792	1887.694	444.146	609.248	1708.313	531.708	646.093	1799.594	525.810	676.070	1699.230	546.310	710.206	1645.232	621.552	629.912	1632.023	495.965	614.067	1556.248	552.805	729.315	1529.328	520.416	653.198	1466.479	556.904	558.318	1417.485	500.275	628.533	1390.919	482.739	571.285	1400.290	411.631	156.132	1884.297	400.527	88.975	1687.792	463.864	-6.040	1751.839	453.187	6.682	1650.498	478.638	-41.448	1576.026	572.737	15.921	1591.008	514.341	85.601	1547.737	445.965	-3.724	1500.322	492.021	71.553	1448.268	529.481	141.709	1389.626	498.848	81.183	1327.624	474.055	129.665	1355.086
511.088	509.372	1463.246	531.731	546.061	1278.982	436.559	472.324	1401.284	507.651	174.886	1425.610	520.162	169.362	1271.981	437.411	222.765	1364.292	624.176	400.479	1433.561	627.536	337.849	1452.897	628.245	284.155	1419.551	534.905	543.611	1142.150	463.662	561.407	1165.405	434.690	563.249	1043.877	498.054	546.045	1024.190	412.598	539.567	873.694	409.413	406.620	855.773	486.336	539.747	741.473	415.081	549.569	742.313	424.583	547.616	632.134	482.850	538.694	635.842	506.386	480.910	427.347	465.706	526.967	450.272	426.222	440.319	454.268	300.452	561.683	370.417	284.892	469.058	377.280	515.078	174.390	1103.121	438.764	174.203	1120.584	417.038	174.663	998.978	475.294	173.754	982.159	449.304	184.341	842.907	432.590	312.186	806.024	566.170	194.662	720.335	493.768	212.199	690.193	552.782	229.475	600.599	607.888	218.793	626.294	736.126	305.784	520.235	687.020	251.316	504.205	642.897	343.180	492.199	614.135	221.166	352.972	588.820	296.814	342.382	601.534	330.142	1589.505	501.696	322.582	1904.056	586.523	408.435	1766.069	581.382	246.948	1750.845	322.091	317.345	2132.749	216.609	296.182	2021.498	334.409	220.282	2021.819	300.357	413.882	2037.020	422.826	509.125	1887.340	441.996	609.833	1708.032	529.302	646.840	1799.339	523.566	676.820	1698.997	544.174	710.950	1644.950	619.609	630.807	1632.066	494.395	614.588	1555.976	550.999	729.909	1529.059	518.906	653.713	1466.275	555.693	558.784	1417.424	499.085	628.952	1390.534	481.642	571.569	1399.806	409.875	156.738	1883.686	399.200	89.384	1687.250	462.523	-5.530	1751.579	452.018	7.035	1650.211	477.712	-41.102	1575.833	571.743	16.364	1591.008	513.403	85.947	1547.529	445.261	-3.431	1499.974	491.369	71.865	1448.021	529.009	142.108	1389.514	498.554	81.462	1327.387	473.539	129.853	1354.830
509.933	509.756	1462.587	531.101	546.259	1278.199	435.731	472.483	1400.325	506.949	175.284	1425.368	519.736	169.466	1271.677	436.762	222.970	1363.969	623.205	401.029	1433.103	626.659	338.453	1452.754	627.400	284.717	1419.252	534.156	543.781	1141.143	462.797	561.464	1164.569	433.958	563.431	1043.099	497.249	546.350	1023.316	411.792	539.875	872.894	408.712	406.929	854.736	485.566	540.235	740.457	414.258	549.897	741.372	423.827	547.996	631.130	482.183	539.216	635.073	506.009	481.649	426.550	465.151	527.619	449.496	425.859	440.843	453.315	299.883	561.850	369.242	284.660	469.174	376.121	513.988	174.602	1102.337	437.673	173.621	1120.592	415.034	173.885	999.189	473.189	173.571	981.768	446.182	183.929	843.006	427.026	311.368	806.355	563.028	194.995	720.923	490.655	211.847	690.521	549.908	229.492	600.955	605.111	219.692	627.193	732.783	307.827	521.220	684.602	252.573	505.151	639.114	343.744	492.750	612.999	220.981	353.239	586.738	296.225	342.506	600.240	330.997	1589.256	499.715	323.183	1903.368	584.722	409.338	1765.797	579.772	247.697	1750.533	320.148	317.897	2131.798	214.684	296.616	2020.407	332.533	220.765	2020.905	298.378	414.479	2035.942	420.466	509.653	1886.580	439.754	610.325	1707.640	526.815	647.599	1799.019	521.279	677.544	1698.699	541.935	711.711	1644.755	617.668	631.698	1632.026	492.722	615.157	1555.629	549.182	730.535	1528.676	517.467	654.175	1465.836	554.478	559.293	1417.395	497.928	629.310	1390.221	480.498	571.824	1399.257	408.150	157.341	1883.115	397.844	89.736	1686.713	461.135	-5.011	1751.245	450.827	7.443	1649.804	476.795	-40.754	1575.575	570.726	16.673	1590.878	512.490	86.290	1547.317	444.471	-3.173	1499.597	490.664	72.138	1447.700	528.498	142.378	1389.232	498.125	81.737	1327.103	473.090	130.056	1354.528
508.658	510.197	1461.911	530.317	546.402	1277.479	434.788	472.676	1399.475	506.360	175.675	1425.079	519.215	169.652	1271.327	436.091	223.155	1363.660	622.222	401.523	1432.537	625.678	339.079	1452.514	626.618	285.263	1418.973	533.376	544.118	1140.366	461.973	561.466	1163.593	432.953	563.496	1042.168	496.475	546.665	1022.368	411.003	540.212	871.887	408.041	407.175	853.616	484.749	540.744	739.636	413.343	550.230	740.379	422.995	548.464	630.255	481.467	539.782	634.078	505.584	482.523	425.707	464.614	527.992	448.379	425.582	441.397	452.316	299.357	562.057	368.068	284.394	469.334	374.843	512.628	174.650	1101.752	436.590	173.047	1120.503	413.082	173.188	999.244	471.012	173.365	981.449	443.089	183.526	843.189	420.208	310.115	807.140	560.054	195.437	721.503	487.679	211.684	690.596	546.991	229.597	601.392	602.268	220.307	627.860	729.435	310.126	522.092	682.181	254.000	505.986	635.270	344.267	493.174	611.773	220.766	353.589	584.530	295.689	342.584	598.930	331.834	1588.955	497.816	323.863	1902.736	582.849	410.198	1765.471	578.252	248.449	1750.174	318.078	318.371	2130.733	212.797	297.063	2019.338	330.721	221.248	2020.023	296.325	414.896	2034.861	418.074	509.980	1885.954	437.709	610.872	1706.870	524.349	648.336	1798.685	519.029	678.321	1698.355	539.878	712.377	1644.355	615.790	632.568	1631.990	491.021	615.699	1555.227	547.380	731.113	1528.251	516.016	654.664	1465.315	553.286	559.776	1417.309	496.812	629.690	1389.780	479.339	572.104	1398.537	406.388	157.977	1882.344	396.540	90.077	1686.068	459.753	-4.490	1750.908	449.649	7.863	1649.341	475.847	-40.411	1575.249	569.668	17.061	1590.769	511.596	86.615	1547.053	443.617	-2.866	1499.128	489.988	72.427	1447.358	527.988	142.705	1388.920	497.719	81.994	1326.668	471.807	129.889	1354.192
