NO_OF_SAMPLES	693
FREQUENCY	400
TIME_STAMP	2020-08-07, 12:49:26.408	3103.55664704
FIRST_SAMPLE	1946
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	7390
FORCE_PLATE_CORNER_POSX_POSY_X	586.302996
FORCE_PLATE_CORNER_POSX_POSY_Y	778.885007
FORCE_PLATE_CORNER_POSX_POSY_Z	-12.587900
FORCE_PLATE_CORNER_NEGX_POSY_X	578.343987
FORCE_PLATE_CORNER_NEGX_POSY_Y	399.753004
FORCE_PLATE_CORNER_NEGX_POSY_Z	-14.426700
FORCE_PLATE_CORNER_NEGX_NEGY_X	-1.246320
FORCE_PLATE_CORNER_NEGX_NEGY_Y	401.962012
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-16.833499
FORCE_PLATE_CORNER_POSX_NEGY_X	-0.274277
FORCE_PLATE_CORNER_POSX_NEGY_Y	785.919964
FORCE_PLATE_CORNER_POSX_NEGY_Z	-14.884100
FORCE_PLATE_OFFSET_X	-0.355600
FORCE_PLATE_OFFSET_Y	-0.050800
FORCE_PLATE_OFFSET_Z	-45.389800
FORCE_PLATE_LENGTH	599.948000
FORCE_PLATE_WIDTH	400.050000
Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
23.082613	-9.270383	347.581045	-5.877145	15.397782	2.557085	-47.669738	-15.748905	0.000000	
23.080245	-9.225530	347.407560	-6.009126	15.380311	2.500952	-47.642764	-16.142507	0.000000	
23.348196	-9.356790	348.630311	-6.077622	15.450367	2.594592	-47.712747	-16.265453	0.000000	
23.520874	-8.917957	349.671759	-6.054918	15.486097	2.520468	-47.696297	-16.209194	0.000000	
23.217591	-9.186601	350.186477	-5.900568	15.486250	2.567267	-47.587841	-15.709858	0.000000	
23.569789	-9.275828	350.880990	-5.900344	15.521755	2.511689	-47.641099	-15.666683	0.000000	
23.568802	-9.014363	351.223923	-5.678657	15.539719	2.484101	-47.645951	-15.054039	0.000000	
23.433672	-8.968325	351.228625	-5.944650	15.592146	2.474583	-47.777122	-15.817110	0.000000	
23.305920	-9.234564	350.350811	-5.743625	15.416776	2.455517	-47.378830	-15.248339	0.000000	
23.222180	-9.285652	352.253069	-5.566680	15.435197	2.437563	-47.166398	-14.657363	0.000000	
23.526316	-9.062814	352.433970	-5.656006	15.540391	2.428506	-47.480019	-14.932018	0.000000	
23.702167	-8.886193	353.305194	-5.744639	15.540615	2.419368	-47.387040	-15.168881	0.000000	
23.702801	-8.844762	353.997778	-5.634422	15.593553	2.419774	-47.444648	-14.833266	0.000000	
23.880325	-8.670778	355.212282	-5.545946	15.594051	2.410911	-47.307731	-14.555876	0.000000	
23.876393	-8.492039	354.521155	-5.612366	15.628870	2.401427	-47.496974	-14.794388	0.000000	
23.879746	-8.717038	355.731630	-5.524072	15.664511	2.383255	-47.437181	-14.467307	0.000000	
23.792551	-8.806787	355.204036	-5.411972	15.576970	2.336431	-47.249518	-14.161659	0.000000	
23.795197	-8.678570	356.764097	-5.301752	15.595080	2.346307	-47.095560	-13.807322	0.000000	
24.020201	-8.678314	357.982924	-5.324626	15.542546	2.411773	-46.818202	-13.824415	0.000000	
23.972665	-8.721652	357.811565	-5.479798	15.630199	2.374461	-47.079393	-14.259183	0.000000	
24.631713	-8.809729	358.159628	-5.434813	15.665752	2.281642	-47.216773	-14.108612	0.000000	
24.281522	-8.637063	359.894757	-5.524086	15.683703	2.309905	-46.996559	-14.310666	0.000000	
24.371151	-8.680171	359.721535	-5.501783	15.630966	2.328431	-46.883723	-14.250093	0.000000	
24.550489	-8.901710	359.892566	-5.390908	15.596034	2.328552	-46.787166	-13.907327	0.000000	
24.243337	-8.815504	360.060781	-5.411831	15.491010	2.300319	-46.435072	-13.969830	0.000000	
24.061648	-8.812559	358.849528	-5.567264	15.595748	2.290705	-46.859496	-14.450327	0.000000	
24.196072	-8.680365	358.673087	-5.389258	15.473035	2.299947	-46.557254	-13.977850	0.000000	
