NO_OF_FRAMES	644
NO_OF_CAMERAS	16
NO_OF_MARKERS	71
FREQUENCY	400
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-08-07, 12:51:27.875	3225.14729873
DATA_INCLUDED	3D
MARKER_NAMES	R_illiac	R_troch	R_asis	L_illiac	L_troch	L_asis	R_PSIS	Sacrum	L_PSIS	R_thigh1	R_thigh2	R_thigh3	R_thigh4	RL_knee	RM_Knee	R_shank1	R_shank2	R_shank3	R_shank4	R_heel	RL_ankle	RM_ankle	R_Metatarsal5	R_Metatarsal1	L_thigh1	L_thigh2	L_thigh3	L_thigh4	LL_knee	LM_Knee	L_shank1	L_shank2	L_shank3	L_shank4	L_heel	LL_ankle	LM_Ankle	L_Metatarsal5	L_Metatarsal1	Back_down	Neck	Back_right	Back_left	Head_up	Head_front	Head_left	Head_right	R_shoulder	R_humerus1	R_humerus2	R_humerus3	Rl_elbow	RM_elbow	R_radius1	R_radius2	R_radius3	RL_wrist	Rm_wrist	R_hand	L_shoulder	L_humerus1	L_humerus2	L_humerus3	LL_elbow	LM_elbow	L_radius1	L_radius2	L_radius3	LL_wrist	Lm_wrist	L_hand
R_illiac X	R_illiac Y	R_illiac Z	R_troch X	R_troch Y	R_troch Z	R_asis X	R_asis Y	R_asis Z	L_illiac X	L_illiac Y	L_illiac Z	L_troch X	L_troch Y	L_troch Z	L_asis X	L_asis Y	L_asis Z	R_PSIS X	R_PSIS Y	R_PSIS Z	Sacrum X	Sacrum Y	Sacrum Z	L_PSIS X	L_PSIS Y	L_PSIS Z	R_thigh1 X	R_thigh1 Y	R_thigh1 Z	R_thigh2 X	R_thigh2 Y	R_thigh2 Z	R_thigh3 X	R_thigh3 Y	R_thigh3 Z	R_thigh4 X	R_thigh4 Y	R_thigh4 Z	RL_knee X	RL_knee Y	RL_knee Z	RM_Knee X	RM_Knee Y	RM_Knee Z	R_shank1 X	R_shank1 Y	R_shank1 Z	R_shank2 X	R_shank2 Y	R_shank2 Z	R_shank3 X	R_shank3 Y	R_shank3 Z	R_shank4 X	R_shank4 Y	R_shank4 Z	R_heel X	R_heel Y	R_heel Z	RL_ankle X	RL_ankle Y	RL_ankle Z	RM_ankle X	RM_ankle Y	RM_ankle Z	R_Metatarsal5 X	R_Metatarsal5 Y	R_Metatarsal5 Z	R_Metatarsal1 X	R_Metatarsal1 Y	R_Metatarsal1 Z	L_thigh1 X	L_thigh1 Y	L_thigh1 Z	L_thigh2 X	L_thigh2 Y	L_thigh2 Z	L_thigh3 X	L_thigh3 Y	L_thigh3 Z	L_thigh4 X	L_thigh4 Y	L_thigh4 Z	LL_knee X	LL_knee Y	LL_knee Z	LM_Knee X	LM_Knee Y	LM_Knee Z	L_shank1 X	L_shank1 Y	L_shank1 Z	L_shank2 X	L_shank2 Y	L_shank2 Z	L_shank3 X	L_shank3 Y	L_shank3 Z	L_shank4 X	L_shank4 Y	L_shank4 Z	L_heel X	L_heel Y	L_heel Z	LL_ankle X	LL_ankle Y	LL_ankle Z	LM_Ankle X	LM_Ankle Y	LM_Ankle Z	L_Metatarsal5 X	L_Metatarsal5 Y	L_Metatarsal5 Z	L_Metatarsal1 X	L_Metatarsal1 Y	L_Metatarsal1 Z	Back_down X	Back_down Y	Back_down Z	Neck X	Neck Y	Neck Z	Back_right X	Back_right Y	Back_right Z	Back_left X	Back_left Y	Back_left Z	Head_up X	Head_up Y	Head_up Z	Head_front X	Head_front Y	Head_front Z	Head_left X	Head_left Y	Head_left Z	Head_right X	Head_right Y	Head_right Z	R_shoulder X	R_shoulder Y	R_shoulder Z	R_humerus1 X	R_humerus1 Y	R_humerus1 Z	R_humerus2 X	R_humerus2 Y	R_humerus2 Z	R_humerus3 X	R_humerus3 Y	R_humerus3 Z	Rl_elbow X	Rl_elbow Y	Rl_elbow Z	RM_elbow X	RM_elbow Y	RM_elbow Z	R_radius1 X	R_radius1 Y	R_radius1 Z	R_radius2 X	R_radius2 Y	R_radius2 Z	R_radius3 X	R_radius3 Y	R_radius3 Z	RL_wrist X	RL_wrist Y	RL_wrist Z	Rm_wrist X	Rm_wrist Y	Rm_wrist Z	R_hand X	R_hand Y	R_hand Z	L_shoulder X	L_shoulder Y	L_shoulder Z	L_humerus1 X	L_humerus1 Y	L_humerus1 Z	L_humerus2 X	L_humerus2 Y	L_humerus2 Z	L_humerus3 X	L_humerus3 Y	L_humerus3 Z	LL_elbow X	LL_elbow Y	LL_elbow Z	LM_elbow X	LM_elbow Y	LM_elbow Z	L_radius1 X	L_radius1 Y	L_radius1 Z	L_radius2 X	L_radius2 Y	L_radius2 Z	L_radius3 X	L_radius3 Y	L_radius3 Z	LL_wrist X	LL_wrist Y	LL_wrist Z	Lm_wrist X	Lm_wrist Y	Lm_wrist Z	L_hand X	L_hand Y	L_hand Z	
282.008	552.622	1109.019	305.874	569.843	926.645	198.816	513.592	1057.613	284.949	215.808	1097.128	287.526	199.005	953.457	205.435	251.844	1047.889	394.415	441.561	1075.971	401.397	383.207	1095.499	399.591	329.477	1072.076	329.587	573.641	809.976	253.697	586.611	814.295	256.069	586.562	689.486	323.337	574.873	685.696	278.852	565.330	517.764	291.324	433.957	494.499	367.217	581.131	399.142	296.045	578.507	391.431	317.045	583.252	283.001	376.268	584.217	293.279	438.722	534.714	77.501	391.920	570.093	103.773	364.001	483.141	102.675	221.449	597.414	34.355	214.601	502.818	39.200	315.050	193.637	791.770	239.577	197.761	793.976	239.858	197.164	670.944	300.014	193.098	665.501	293.219	202.046	518.490	289.411	324.872	473.948	357.198	180.729	374.452	284.175	210.332	369.875	300.571	207.783	263.531	359.258	188.546	265.643	432.768	238.487	67.759	376.670	204.608	100.270	349.432	298.563	106.136	213.673	187.746	36.464	201.162	266.454	41.798	398.636	383.102	1222.323	394.645	382.260	1551.073	430.123	467.203	1389.188	431.207	305.613	1376.374	324.848	373.463	1823.451	182.173	337.629	1773.197	295.120	271.610	1720.188	253.295	461.995	1745.486	301.357	565.144	1552.795	274.033	658.871	1370.322	376.354	701.154	1442.702	349.632	726.776	1343.607	357.397	762.071	1288.499	431.893	684.891	1258.428	289.621	662.348	1217.976	335.793	776.361	1171.118	292.592	695.581	1122.432	318.678	598.814	1075.380	258.527	666.100	1051.521	237.822	608.987	1059.875	313.060	205.190	1557.384	271.064	125.676	1368.326	362.740	49.953	1424.006	330.165	51.587	1326.712	351.321	0.617	1252.861	429.922	78.488	1241.681	352.737	129.855	1211.219	292.367	25.315	1190.327	305.061	102.373	1123.770	312.651	171.730	1054.537	275.739	101.562	1007.150	250.199	151.706	1032.543
282.067	552.656	1109.015	306.002	569.874	926.657	198.913	513.548	1057.631	285.055	215.818	1097.171	287.781	198.985	953.592	205.584	251.874	1047.930	394.499	441.599	1076.009	401.480	383.229	1095.548	399.801	329.577	1072.226	329.680	573.642	809.940	253.820	586.649	814.299	256.141	586.591	689.493	323.401	574.898	685.689	278.849	565.349	517.760	291.312	433.970	494.474	367.207	581.131	399.125	296.040	578.523	391.430	317.033	583.246	282.992	376.289	584.226	293.300	438.730	534.719	77.504	391.920	570.090	103.775	364.007	483.154	102.674	221.463	597.435	34.355	214.610	502.828	39.201	315.558	193.937	791.672	239.687	197.774	794.013	239.924	197.186	670.955	300.068	193.111	665.508	293.193	202.045	518.495	289.349	324.871	473.944	357.188	180.726	374.433	284.143	210.350	369.866	300.567	207.779	263.529	359.228	188.542	265.637	432.780	238.485	67.780	376.659	204.606	100.261	349.444	298.542	106.162	213.677	187.747	36.468	201.153	266.475	41.814	398.651	383.098	1222.386	394.558	382.267	1551.119	430.102	467.169	1389.303	431.110	305.574	1376.480	324.676	373.463	1823.455	182.027	337.561	1773.172	295.015	271.621	1720.190	253.094	461.968	1745.501	301.281	565.159	1552.831	274.051	658.896	1370.364	376.319	701.160	1442.758	349.692	726.765	1343.640	357.465	762.078	1288.560	431.912	684.903	1258.513	289.669	662.361	1218.006	335.893	776.360	1171.142	292.774	695.600	1122.419	318.767	598.813	1075.430	258.673	666.122	1051.565	237.921	609.023	1059.900	312.893	205.214	1557.452	270.949	125.708	1368.391	362.591	49.954	1424.081	330.085	51.599	1326.706	351.241	0.625	1252.939	429.892	78.458	1241.871	352.717	129.851	1211.202	292.319	25.380	1190.337	305.087	102.408	1123.803	312.786	171.733	1054.547	275.840	101.612	1007.190	250.305	151.731	1032.606
282.144	552.677	1109.027	306.213	569.921	926.731	199.029	513.542	1057.636	285.143	215.844	1097.234	287.812	199.047	953.486	205.733	251.901	1047.960	394.635	441.640	1076.059	401.598	383.306	1095.580	399.937	329.611	1072.291	329.793	573.651	809.925	253.916	586.667	814.299	256.493	586.575	689.555	323.466	574.905	685.677	278.855	565.380	517.777	291.275	433.978	494.486	367.215	581.123	399.119	296.029	578.534	391.414	317.045	583.265	282.980	376.277	584.200	293.245	438.750	534.737	77.488	391.924	570.105	103.774	364.014	483.164	102.679	221.464	597.430	34.361	214.612	502.827	39.221	315.707	193.964	791.594	239.785	197.792	794.025	239.990	197.199	670.946	300.120	193.115	665.493	293.199	202.040	518.481	289.310	324.883	473.950	357.176	180.722	374.445	284.120	210.337	369.867	300.545	207.779	263.532	359.230	188.558	265.620	432.786	238.474	67.781	376.670	204.589	100.266	349.431	298.530	106.145	213.670	187.744	36.468	201.153	266.454	41.800	398.654	383.104	1222.423	394.455	382.267	1551.169	430.051	467.125	1389.370	431.065	305.552	1376.548	324.514	373.461	1823.485	181.872	337.473	1773.179	294.920	271.622	1720.180	252.874	461.944	1745.511	301.220	565.178	1552.861	274.055	658.919	1370.421	376.278	701.168	1442.820	349.742	726.779	1343.692	357.510	762.066	1288.629	431.969	684.869	1258.577	289.749	662.387	1218.009	336.018	776.373	1171.227	292.852	695.623	1122.466	318.896	598.828	1075.496	258.802	666.160	1051.583	238.044	609.051	1059.897	312.721	205.229	1557.510	270.824	125.728	1368.444	362.421	49.953	1424.159	329.967	51.629	1326.788	351.115	0.651	1253.021	429.856	78.475	1241.990	352.726	129.876	1211.312	292.278	25.436	1190.384	305.055	102.417	1123.926	312.927	171.747	1054.579	275.960	101.623	1007.179	250.448	151.753	1032.632
282.228	552.692	1109.037	306.355	569.970	926.703	199.139	513.536	1057.621	285.228	215.865	1097.293	288.081	199.011	953.589	205.909	251.939	1047.996	394.759	441.665	1076.091	401.704	383.331	1095.657	400.094	329.658	1072.372	329.899	573.661	809.919	254.031	586.695	814.282	256.589	586.608	689.574	323.546	574.911	685.642	278.854	565.403	517.770	291.253	433.992	494.482	367.205	581.123	399.107	296.023	578.556	391.401	317.045	583.281	282.942	376.264	584.204	293.238	438.747	534.741	77.486	391.942	570.119	103.769	364.009	483.172	102.668	221.475	597.442	34.356	214.633	502.846	39.219	315.387	193.750	791.721	239.902	197.807	794.054	240.054	197.180	670.953	300.195	193.136	665.483	293.185	202.042	518.500	289.260	324.870	473.931	357.157	180.728	374.442	284.086	210.336	369.863	300.540	207.776	263.519	359.217	188.549	265.622	432.791	238.474	67.769	376.676	204.597	100.265	349.452	298.532	106.163	213.672	187.740	36.470	201.163	266.458	41.791	398.682	383.122	1222.492	394.326	382.259	1551.246	430.023	467.106	1389.523	430.979	305.500	1376.661	324.330	373.478	1823.475	181.727	337.426	1773.141	294.818	271.633	1720.171	252.679	461.933	1745.520	301.143	565.198	1552.907	274.079	658.927	1370.429	376.247	701.184	1442.895	349.746	726.756	1343.741	357.586	762.040	1288.704	431.983	684.890	1258.665	289.771	662.393	1218.056	336.061	776.322	1171.218	292.961	695.663	1122.518	318.966	598.839	1075.549	258.917	666.190	1051.619	238.141	609.066	1059.921	312.553	205.251	1557.591	270.726	125.782	1368.501	362.251	49.943	1424.266	329.819	51.646	1326.911	351.032	0.669	1253.070	429.789	78.475	1242.056	352.735	129.894	1211.362	292.259	25.495	1190.388	305.172	102.475	1123.869	313.077	171.779	1054.584	276.118	101.667	1007.171	250.566	151.770	1032.693
282.288	552.697	1109.079	306.442	569.990	926.716	199.275	513.539	1057.587	285.303	215.875	1097.371	288.209	199.024	953.573	206.060	251.951	1048.051	394.869	441.692	1076.130	401.809	383.354	1095.736	400.223	329.697	1072.422	330.025	573.686	809.923	254.175	586.717	814.290	256.658	586.614	689.583	323.621	574.924	685.652	278.850	565.426	517.766	291.232	434.014	494.481	367.207	581.112	399.092	296.033	578.571	391.380	317.040	583.284	282.929	376.286	584.198	293.240	438.742	534.754	77.473	391.955	570.112	103.735	364.015	483.180	102.664	221.474	597.444	34.368	214.628	502.838	39.227	315.975	194.055	791.571	240.029	197.829	794.069	240.130	197.202	670.966	300.251	193.142	665.466	293.177	202.046	518.472	289.238	324.880	473.919	357.148	180.740	374.432	284.082	210.321	369.842	300.526	207.775	263.529	359.203	188.557	265.627	432.787	238.461	67.790	376.691	204.582	100.257	349.435	298.520	106.158	213.687	187.746	36.458	201.150	266.441	41.818	398.685	383.129	1222.562	394.221	382.256	1551.295	429.951	467.095	1389.566	430.894	305.502	1376.706	324.148	373.476	1823.499	181.569	337.341	1773.137	294.700	271.633	1720.179	252.448	461.897	1745.499	301.074	565.209	1552.950	274.081	658.930	1370.399	376.211	701.186	1442.956	349.742	726.754	1343.771	357.627	762.038	1288.761	432.037	684.934	1258.703	289.845	662.421	1218.082	336.140	776.314	1171.247	293.096	695.685	1122.544	319.044	598.844	1075.616	259.064	666.198	1051.643	238.255	609.092	1059.911	312.370	205.273	1557.667	270.584	125.817	1368.542	362.077	49.938	1424.335	329.723	51.664	1326.934	350.965	0.697	1253.147	429.739	78.442	1242.237	352.758	129.913	1211.430	292.198	25.543	1190.447	305.224	102.536	1123.915	313.250	171.802	1054.600	276.192	101.692	1007.221	250.674	151.781	1032.725
282.357	552.716	1109.116	306.623	570.002	926.740	199.379	513.523	1057.602	285.435	215.912	1097.423	288.451	199.037	953.700	206.224	251.984	1048.067	394.975	441.708	1076.161	401.941	383.407	1095.776	400.357	329.723	1072.460	330.144	573.687	809.886	254.293	586.757	814.288	256.736	586.656	689.596	323.692	574.945	685.657	278.855	565.455	517.762	291.214	434.024	494.496	367.186	581.092	399.075	296.023	578.580	391.376	317.063	583.301	282.916	376.282	584.196	293.225	438.773	534.780	77.461	391.962	570.117	103.728	364.035	483.192	102.680	221.481	597.454	34.395	214.643	502.836	39.235	315.575	193.800	791.710	240.154	197.852	794.081	240.193	197.207	670.976	300.318	193.148	665.461	293.191	202.046	518.503	289.183	324.860	473.918	357.138	180.737	374.417	284.047	210.321	369.858	300.533	207.771	263.507	359.206	188.569	265.636	432.786	238.454	67.757	376.680	204.582	100.271	349.436	298.523	106.148	213.698	187.747	36.480	201.168	266.438	41.788	398.719	383.127	1222.617	394.081	382.249	1551.364	429.879	467.067	1389.643	430.811	305.451	1376.820	323.983	373.478	1823.517	181.410	337.292	1773.107	294.573	271.636	1720.167	252.242	461.890	1745.517	300.985	565.218	1552.993	274.100	658.952	1370.443	376.190	701.211	1443.095	349.805	726.753	1343.815	357.703	762.036	1288.838	432.088	684.939	1258.772	289.898	662.436	1218.117	336.266	776.315	1171.303	293.191	695.704	1122.582	319.151	598.860	1075.695	259.244	666.189	1051.652	238.344	609.109	1059.924	312.186	205.277	1557.743	270.450	125.836	1368.609	361.934	49.937	1424.435	329.593	51.682	1327.060	350.880	0.721	1253.222	429.691	78.447	1242.394	352.756	129.934	1211.477	292.182	25.583	1190.450	305.290	102.564	1123.970	313.394	171.818	1054.608	276.346	101.721	1007.224	250.807	151.801	1032.757
282.430	552.735	1109.171	306.747	570.033	926.774	199.484	513.515	1057.605	285.579	215.930	1097.473	288.520	199.055	953.614	206.395	252.026	1048.105	395.097	441.760	1076.199	402.048	383.445	1095.835	400.499	329.761	1072.537	330.258	573.711	809.857	254.398	586.775	814.314	256.814	586.675	689.593	323.764	574.979	685.632	278.860	565.479	517.756	291.164	434.038	494.475	367.198	581.090	399.107	296.006	578.596	391.361	317.067	583.309	282.912	376.318	584.188	293.206	438.767	534.777	77.429	391.977	570.151	103.744	364.043	483.206	102.669	221.488	597.462	34.401	214.673	502.839	39.251	316.098	194.076	791.600	240.279	197.871	794.089	240.270	197.209	670.979	300.385	193.156	665.457	293.197	202.040	518.491	289.156	324.868	473.925	357.143	180.762	374.405	284.067	210.311	369.827	300.527	207.771	263.483	359.209	188.567	265.612	432.804	238.458	67.785	376.681	204.578	100.256	349.427	298.504	106.163	213.685	187.722	36.479	201.168	266.432	41.823	398.745	383.153	1222.687	393.956	382.248	1551.410	429.847	467.054	1389.701	430.730	305.440	1376.896	323.771	373.474	1823.549	181.229	337.218	1773.112	294.434	271.631	1720.176	252.034	461.850	1745.530	300.890	565.220	1553.023	274.101	658.954	1370.421	376.142	701.204	1443.187	349.815	726.736	1343.878	357.757	762.026	1288.911	432.143	684.955	1258.810	289.986	662.460	1218.135	336.382	776.302	1171.349	293.302	695.715	1122.653	319.238	598.863	1075.754	259.301	666.246	1051.698	238.468	609.144	1059.935	312.012	205.310	1557.853	270.360	125.877	1368.645	361.753	49.930	1424.518	329.478	51.699	1327.069	350.757	0.733	1253.296	429.647	78.433	1242.531	352.768	129.941	1211.550	292.139	25.639	1190.504	305.377	102.612	1124.004	313.531	171.833	1054.635	276.422	101.733	1007.271	250.955	151.830	1032.777
282.511	552.762	1109.185	306.862	570.072	926.772	199.626	513.491	1057.594	285.681	215.946	1097.515	288.776	199.026	953.755	206.566	252.052	1048.182	395.207	441.763	1076.246	402.134	383.504	1095.888	400.152	329.795	1072.483	330.367	573.713	809.852	254.532	586.801	814.318	256.890	586.702	689.608	323.842	574.996	685.648	278.861	565.485	517.757	291.150	434.048	494.483	367.197	581.099	399.097	296.008	578.615	391.338	317.073	583.319	282.903	376.320	584.168	293.177	438.785	534.790	77.433	391.984	570.147	103.728	364.052	483.201	102.661	221.502	597.451	34.422	214.669	502.841	39.265	316.252	194.122	791.587	240.416	197.901	794.096	240.339	197.191	670.994	300.466	193.179	665.435	293.203	202.046	518.496	289.097	324.867	473.919	357.122	180.748	374.423	284.021	210.296	369.824	300.519	207.757	263.458	359.218	188.574	265.636	432.791	238.434	67.767	376.692	204.567	100.253	349.438	298.497	106.178	213.690	187.736	36.481	201.182	266.437	41.822	398.760	383.166	1222.760	393.844	382.229	1551.459	429.763	467.024	1389.772	430.645	305.401	1376.981	323.554	373.464	1823.542	181.044	337.164	1773.084	294.291	271.631	1720.154	251.813	461.846	1745.556	300.796	565.242	1553.070	274.115	658.973	1370.509	376.113	701.219	1443.285	349.859	726.736	1343.926	357.816	762.018	1288.971	432.206	684.927	1258.904	290.044	662.468	1218.172	336.473	776.344	1171.476	293.433	695.726	1122.648	319.328	598.871	1075.804	259.489	666.259	1051.725	238.589	609.154	1059.937	311.808	205.327	1557.919	270.214	125.902	1368.720	361.562	49.934	1424.589	329.360	51.719	1327.150	350.721	0.759	1253.354	428.984	78.345	1242.573	352.764	129.964	1211.614	292.112	25.689	1190.552	305.421	102.640	1124.067	313.681	171.862	1054.643	276.553	101.763	1007.286	251.098	151.845	1032.812
282.586	552.785	1109.206	307.022	570.099	926.746	199.742	513.482	1057.572	285.786	215.965	1097.592	289.045	199.008	953.836	206.751	252.096	1048.193	395.328	441.802	1076.288	402.272	383.534	1095.965	400.304	329.820	1072.553	330.495	573.733	809.816	254.650	586.840	814.317	256.956	586.717	689.592	323.914	574.999	685.545	278.856	565.525	517.755	291.110	434.064	494.484	367.189	581.072	399.082	295.995	578.619	391.315	317.068	583.328	282.893	376.319	584.152	293.174	438.751	534.708	77.421	392.265	570.265	103.976	364.083	483.206	102.656	221.483	597.451	34.424	214.664	502.835	39.267	316.410	194.167	791.534	240.544	197.921	794.110	240.441	197.211	671.022	300.538	193.189	665.428	293.203	202.045	518.477	289.073	324.876	473.896	357.615	181.322	374.117	284.028	210.287	369.781	300.525	207.749	263.433	359.208	188.579	265.617	432.791	238.434	67.765	376.695	204.555	100.252	349.435	298.481	106.181	213.698	187.729	36.485	201.187	266.435	41.849	398.782	383.199	1222.811	393.704	382.230	1551.525	429.744	467.005	1389.826	430.544	305.374	1377.068	323.346	373.439	1823.542	180.854	337.109	1773.041	294.159	271.621	1720.157	251.584	461.822	1745.567	300.706	565.246	1553.101	274.129	658.988	1370.528	376.071	701.218	1443.372	349.890	726.740	1343.990	357.900	762.001	1289.044	432.264	684.921	1258.969	290.094	662.483	1218.251	336.648	776.327	1171.514	293.553	695.740	1122.692	319.448	598.885	1075.895	259.579	666.272	1051.808	238.703	609.157	1059.956	311.602	205.343	1558.011	270.089	125.930	1368.780	361.393	49.925	1424.692	329.247	51.756	1327.227	350.600	0.777	1253.437	428.920	78.343	1242.693	352.766	129.959	1211.638	292.081	25.731	1190.585	305.492	102.690	1124.121	313.832	171.873	1054.660	276.696	101.784	1007.297	251.240	151.863	1032.848
282.675	552.781	1109.223	307.209	570.137	926.761	199.911	513.477	1057.566	285.877	216.000	1097.657	289.173	199.057	953.828	206.913	252.105	1048.232	395.439	441.820	1076.318	402.357	383.556	1096.014	400.436	329.858	1072.588	330.595	573.745	809.818	254.803	586.885	814.391	257.032	586.737	689.596	323.973	575.028	685.557	278.856	565.538	517.748	291.094	434.076	494.476	367.178	581.067	399.045	295.995	578.636	391.299	317.059	583.321	282.865	376.324	584.173	293.161	438.771	534.715	77.404	392.283	570.279	103.995	364.087	483.210	102.670	221.498	597.455	34.424	214.676	502.844	39.268	316.494	194.173	791.544	240.680	197.942	794.123	240.522	197.215	671.015	300.617	193.194	665.415	293.205	202.041	518.482	289.014	324.873	473.895	357.127	180.792	374.383	284.008	210.283	369.781	300.512	207.752	263.458	359.191	188.579	265.640	432.804	238.421	67.767	376.703	204.559	100.255	349.445	298.481	106.176	213.703	187.727	36.471	201.197	266.440	41.839	398.802	383.193	1222.871	393.575	382.208	1551.569	430.296	467.054	1390.186	430.456	305.352	1377.174	323.153	373.433	1823.582	180.671	337.058	1773.058	294.086	271.467	1720.244	251.366	461.794	1745.561	300.598	565.250	1553.164	274.132	658.995	1370.535	376.028	701.198	1443.463	349.894	726.731	1344.021	357.963	761.992	1289.117	432.338	684.902	1259.079	290.169	662.499	1218.289	336.682	776.432	1172.079	293.653	695.752	1122.749	319.597	598.897	1075.976	259.755	666.286	1051.815	238.818	609.170	1059.972	311.397	205.365	1558.093	269.969	125.964	1368.839	361.205	49.916	1424.808	329.149	51.767	1327.283	350.531	0.793	1253.513	428.859	78.342	1242.839	352.761	129.983	1211.772	292.050	25.773	1190.590	305.561	102.729	1124.156	314.025	171.894	1054.695	276.857	101.818	1007.369	251.373	151.873	1032.886
